Id	GroupId	CharacterId	Weight
1	1001	1541003	100
2	1001	1031004	100
3	1001	1071003	100
4	1001	1051003	100
5	1001	1051004	100
6	1001	1011004	100
7	1001	1011002	3167
8	1001	1111002	3167
9	1002	1031004	80
10	1002	1071003	80
11	1002	1051003	80
12	1002	1051004	80
13	1002	1011004	80
14	1002	1011002	1583
15	1002	1111002	1583
16	1002	1541003	1583
17	1002	1021004	8
18	1002	1121003	8
19	1002	1091003	8
20	1002	1211002	302
21	1002	1161002	302
22	1002	1561003	302
23	1002	1231002	302
24	1002	1061003	6
25	1002	1071004	6
26	1002	1531004	6
27	1002	1171003	6
28	1002	1081003	302
29	1002	1131002	302
30	1002	1221002	302
31	1002	1511003	302
32	1002	1041003	8
33	1002	1131003	8
34	1002	1021005	16
35	1002	1021002	241
36	1002	1031002	241
37	1002	1121002	241
38	1002	1531003	241
39	1002	1571003	241
40	1002	1011003	5
41	1002	1031003	5
42	1002	1021003	5
43	1002	1141003	5
44	1002	1041004	5
45	1002	1041002	121
46	1002	1081002	121
47	1002	1061002	121
48	1002	1091002	121
49	1002	1071002	121
50	1002	1021001	121
51	1002	1031001	121
52	1002	1051001	121
53	1002	1521003	121
54	1002	1551003	121
55	1003	1031004	80
56	1003	1071003	80
57	1003	1051003	80
58	1003	1051004	80
59	1003	1011004	80
60	1003	1011002	633
61	1003	1111002	633
62	1003	1541003	633
63	1003	1021004	8
64	1003	1121003	8
65	1003	1091003	8
66	1003	1211002	480
67	1003	1161002	480
68	1003	1561003	480
69	1003	1231002	480
70	1003	1061003	6
71	1003	1071004	6
72	1003	1531004	6
73	1003	1171003	6
74	1003	1081003	480
75	1003	1131002	480
76	1003	1221002	480
77	1003	1511003	480
78	1003	1041003	8
79	1003	1131003	8
80	1003	1021005	16
81	1003	1021002	384
82	1003	1031002	384
83	1003	1121002	384
84	1003	1531003	384
85	1003	1571003	384
86	1003	1011003	5
87	1003	1031003	5
88	1003	1021003	5
89	1003	1141003	5
90	1003	1041004	5
91	1003	1041002	192
92	1003	1081002	192
93	1003	1061002	192
94	1003	1091002	192
95	1003	1071002	192
96	1003	1021001	192
97	1003	1031001	192
98	1003	1051001	192
99	1003	1521003	192
100	1003	1551003	192
101	2001	1021004	167
102	2001	1121003	167
103	2001	1091003	167
104	2001	1211002	2375
105	2001	1161002	2375
106	2001	1561003	2375
107	2001	1231002	2375
108	2002	1031004	5
109	2002	1071003	5
110	2002	1051003	5
111	2002	1051004	5
112	2002	1011004	5
113	2002	1011002	402
114	2002	1111002	402
115	2002	1541003	402
116	2002	1021004	133
117	2002	1121003	133
118	2002	1091003	133
119	2002	1211002	1188
120	2002	1161002	1188
121	2002	1561003	1188
122	2002	1231002	1188
123	2002	1061003	6
124	2002	1071004	6
125	2002	1531004	6
126	2002	1171003	6
127	2002	1081003	302
128	2002	1131002	302
129	2002	1221002	302
130	2002	1511003	302
131	2002	1041003	8
132	2002	1131003	8
133	2002	1021005	16
134	2002	1021002	241
135	2002	1031002	241
136	2002	1121002	241
137	2002	1531003	241
138	2002	1571003	241
139	2002	1011003	5
140	2002	1031003	5
141	2002	1021003	5
142	2002	1141003	5
143	2002	1041004	5
144	2002	1041002	121
145	2002	1081002	121
146	2002	1061002	121
147	2002	1091002	121
148	2002	1071002	121
149	2002	1021001	121
150	2002	1031001	121
151	2002	1051001	121
152	2002	1521003	121
153	2002	1551003	121
154	2003	1031004	5
155	2003	1071003	5
156	2003	1051003	5
157	2003	1051004	5
158	2003	1011004	5
159	2003	1011002	640
160	2003	1111002	640
161	2003	1541003	640
162	2003	1021004	133
163	2003	1121003	133
164	2003	1091003	133
165	2003	1211002	475
166	2003	1161002	475
167	2003	1561003	475
168	2003	1231002	475
169	2003	1061003	6
170	2003	1071004	6
171	2003	1531004	6
172	2003	1171003	6
173	2003	1081003	480
174	2003	1131002	480
175	2003	1221002	480
176	2003	1511003	480
177	2003	1041003	8
178	2003	1131003	8
179	2003	1021005	16
180	2003	1021002	384
181	2003	1031002	384
182	2003	1121002	384
183	2003	1531003	384
184	2003	1571003	384
185	2003	1011003	5
186	2003	1031003	5
187	2003	1021003	5
188	2003	1141003	5
189	2003	1041004	5
190	2003	1041002	192
191	2003	1081002	192
192	2003	1061002	192
193	2003	1091002	192
194	2003	1071002	192
195	2003	1021001	192
196	2003	1031001	192
197	2003	1051001	192
198	2003	1521003	192
199	2003	1551003	192
200	3001	1061003	125
201	3001	1071004	125
202	3001	1531004	125
203	3001	1171003	125
204	3001	1081003	2375
205	3001	1131002	2375
206	3001	1221002	2375
207	3001	1511003	2375
208	3002	1031004	5
209	3002	1071003	5
210	3002	1051003	5
211	3002	1051004	5
212	3002	1011004	5
213	3002	1011002	402
214	3002	1111002	402
215	3002	1541003	402
216	3002	1021004	8
217	3002	1121003	8
218	3002	1091003	8
219	3002	1211002	302
220	3002	1161002	302
221	3002	1561003	302
222	3002	1231002	302
223	3002	1061003	100
224	3002	1071004	100
225	3002	1531004	100
226	3002	1171003	100
227	3002	1081003	1188
228	3002	1131002	1188
229	3002	1221002	1188
230	3002	1511003	1188
231	3002	1041003	8
232	3002	1131003	8
233	3002	1021005	16
234	3002	1021002	241
235	3002	1031002	241
236	3002	1121002	241
237	3002	1531003	241
238	3002	1571003	241
239	3002	1011003	5
240	3002	1031003	5
241	3002	1021003	5
242	3002	1141003	5
243	3002	1041004	5
244	3002	1041002	121
245	3002	1081002	121
246	3002	1061002	121
247	3002	1091002	121
248	3002	1071002	121
249	3002	1021001	121
250	3002	1031001	121
251	3002	1051001	121
252	3002	1521003	121
253	3002	1551003	121
254	3003	1031004	5
255	3003	1071003	5
256	3003	1051003	5
257	3003	1051004	5
258	3003	1011004	5
259	3003	1011002	640
260	3003	1111002	640
261	3003	1541003	640
262	3003	1021004	8
263	3003	1121003	8
264	3003	1091003	8
265	3003	1211002	480
266	3003	1161002	480
267	3003	1561003	480
268	3003	1231002	480
269	3003	1061003	100
270	3003	1071004	100
271	3003	1531004	100
272	3003	1171003	100
273	3003	1081003	475
274	3003	1131002	475
275	3003	1221002	475
276	3003	1511003	475
277	3003	1041003	8
278	3003	1131003	8
279	3003	1021005	16
280	3003	1021002	384
281	3003	1031002	384
282	3003	1121002	384
283	3003	1531003	384
284	3003	1571003	384
285	3003	1011003	5
286	3003	1031003	5
287	3003	1021003	5
288	3003	1141003	5
289	3003	1041004	5
290	3003	1041002	192
291	3003	1081002	192
292	3003	1061002	192
293	3003	1091002	192
294	3003	1071002	192
295	3003	1021001	192
296	3003	1031001	192
297	3003	1051001	192
298	3003	1521003	192
299	3003	1551003	192
300	4001	1041003	167
301	4001	1131003	167
302	4001	1021005	334
303	4001	1021002	1900
304	4001	1031002	1900
305	4001	1121002	1900
306	4001	1531003	1900
