Key	IntValues[1]	IntValues[2]	IntValues[3]	FloatValues[1]	FloatValues[2]	FloatValues[3]	StringValues[1]	StringValues[2]	StringValues[3]	StringValues[4]	Comment
MemberSystemCondition											Member Requirement
TalentSystemCondition											Talent Requirement
BaseSystemCondition											Base Requirement
MissionSystemCondition											Mission Requirement
HuntingCondition											Hunting Requirement
RucksackMaxCount	4										Max Inventory Slot
OnlineMinMemberCount	1										Minimum Requirement
ChatacterDefaultLevel	1										Default Member Level
ChatacterPowerDefaultLevel	0										Default Member Ability Level
ChatacterSkillDefaultLevel	1										Default Member Skill Level
HuntingLevelExpId	152										Hunting EXP Item ID
HuntingTalentsId	1										Hunting Talent Item ID
