Id	Order	Name	BigIcon	Path	Description	WorldDesc	IsFree	ConvertItemId	ConvertItemCount	TimeLimitType	ExpireTimeStr	Duration	PackageId
11000001	1	Stamp 1	Assets/Product/Texture/Image/IconExpression/IconExpressA1.png	Assets/Product/Texture/Image/IconExpression/IconExpressA1.png	Chat Stamp	One of the default stamps	1	1	10000	1			
11000002	2	Stamp 2	Assets/Product/Texture/Image/IconExpression/IconExpressA2.png	Assets/Product/Texture/Image/IconExpression/IconExpressA2.png	Chat Stamp	One of the default stamps	1	1	10000	1			
11000003	3	Stamp 3	Assets/Product/Texture/Image/IconExpression/IconExpressA3.png	Assets/Product/Texture/Image/IconExpression/IconExpressA3.png	Chat Stamp	One of the default stamps	1	1	10000	1			
11000004	4	Stamp 4	Assets/Product/Texture/Image/IconExpression/IconExpressA4.png	Assets/Product/Texture/Image/IconExpression/IconExpressA4.png	Chat Stamp	One of the default stamps	1	1	10000	1			
11000005	5	Stamp 5	Assets/Product/Texture/Image/IconExpression/IconExpressA5.png	Assets/Product/Texture/Image/IconExpression/IconExpressA5.png	Chat Stamp	One of the default stamps	1	1	10000	1			
11000006	6	Stamp 6	Assets/Product/Texture/Image/IconExpression/IconExpressA6.png	Assets/Product/Texture/Image/IconExpression/IconExpressA6.png	Chat Stamp	One of the default stamps	1	1	10000	1			
11000007	7	Stamp - My Song	Assets/Product/Texture/Image/IconExpression/IconExpressA7.png	Assets/Product/Texture/Image/IconExpression/IconExpressA7.png	Chat Stamp	Please, hear my song — Bianca: Veritas		1	10000	1			
11000008	8	Stamp - Dinner's Ready	Assets/Product/Texture/Image/IconExpression/IconExpressA8.png	Assets/Product/Texture/Image/IconExpression/IconExpressA8.png	Chat Stamp	Dinner's ready, guys — Chrome: Arclight		1	10000	1			
11000009	9	Stamp - Good Shot	Assets/Product/Texture/Image/IconExpression/IconExpressA9.png	Assets/Product/Texture/Image/IconExpression/IconExpressA9.png	Chat Stamp	No one can escape my shots. —Lee: Palefire		1	10000	1			
11000010	10	Stamp - Hmph	Assets/Product/Texture/Image/IconExpression/IconExpressA10.png	Assets/Product/Texture/Image/IconExpression/IconExpressA10.png	Chat Stamp	Hmph—Lee: Palefire		1	10000	1			
11000011	11	Stamp - Novice	Assets/Product/Texture/Image/IconExpression/IconExpressA11.png	Assets/Product/Texture/Image/IconExpression/IconExpressA11.png	Chat Stamp	Awarded to the top 30%-95% in Simulated Siege		1	10000	2		604800	
11000012	12	Stamp - Veteran	Assets/Product/Texture/Image/IconExpression/IconExpressA12.png	Assets/Product/Texture/Image/IconExpression/IconExpressA12.png	Chat Stamp	Awarded to the top 10%-30% in Simulated Siege		1	10000	2		604800	
11000013	13	Stamp - Expert	Assets/Product/Texture/Image/IconExpression/IconExpressA13.png	Assets/Product/Texture/Image/IconExpression/IconExpressA13.png	Chat Stamp	Awarded to the top 5%-10% in Simulated Siege		1	10000	2		604800	
11000014	14	Stamp - Ace	Assets/Product/Texture/Image/IconExpression/IconExpressA14.png	Assets/Product/Texture/Image/IconExpression/IconExpressA14.png	Chat Stamp	Awarded to the top 1%-5% in Simulated Siege		1	10000	2		604800	
11000015	15	Stamp - Ultimate	Assets/Product/Texture/Image/IconExpression/IconExpressA15.png	Assets/Product/Texture/Image/IconExpression/IconExpressA15.png	Chat Stamp	Awarded to the top 1% in Simulated Siege		1	10000	2		604800	
11000016	16	Stamp - Love Love	Assets/Product/Texture/Image/IconExpression/IconExpressA16.png	Assets/Product/Texture/Image/IconExpression/IconExpressA16.png	Chat Stamp	Love Love — Lucia: Plume		1	10000	1			
11000017	17	Stamp - You have many Cogs	Assets/Product/Texture/Image/IconExpression/IconExpressA17.png	Assets/Product/Texture/Image/IconExpression/IconExpressA17.png	Chat Stamp	You have many Cogs — Kamui		1	10000	1			
11000018	18	Stamp - Phew	Assets/Product/Texture/Image/IconExpression/IconExpressA18.png	Assets/Product/Texture/Image/IconExpression/IconExpressA18.png	Chat Stamp	Phew! — Nanami: Pulse		1	10000	1			
11000019	19	Stamp - Happy Year of Rabbit	Assets/Product/Texture/Image/IconExpression/IconExpressA19.png	Assets/Product/Texture/Image/IconExpression/IconExpressA19.png	Spring Festival - Claim to use this stamp for 7 days	Happy Year of Rabbit - Karenina		1	10000	2		604800	
11000020	20	Stamp - Wishes come true	Assets/Product/Texture/Image/IconExpression/IconExpressA20.png	Assets/Product/Texture/Image/IconExpression/IconExpressA20.png	Spring Festival - Claim to use this stamp for 7 days	Wishes come true - Pulao		1	10000	2		604800	
11000021	21	Stamp - Great wealth	Assets/Product/Texture/Image/IconExpression/IconExpressA21.png	Assets/Product/Texture/Image/IconExpression/IconExpressA21.png	Spring Festival - Claim to use this stamp for 7 days	Great wealth - Changyu		1	10000	2		604800	
11000022	22	Stamp - Firecrackers	Assets/Product/Texture/Image/IconExpression/IconExpressA22.png	Assets/Product/Texture/Image/IconExpression/IconExpressA22.png	Spring Festival - Claim to use this stamp for 7 days	Firecrackers - Chrome		1	10000	2		604800	
11000023	23	Stamp - Great Luck	Assets/Product/Texture/Image/IconExpression/IconExpressA23.png	Assets/Product/Texture/Image/IconExpression/IconExpressA23.png	Spring Festival - Claim to use this stamp for 7 days	Great luck - Kamui		1	10000	2		604800	
11000024	24	Stamp - Sleepy	Assets/Product/Texture/Image/IconExpression/IconExpressA24.png	Assets/Product/Texture/Image/IconExpression/IconExpressA24.png	Chat Stamp — Available from Restrain Simulation	Sleepy — Wanshi		1	10000	1			
11000025	25	Emoji - Voting Time!	Assets/Product/Texture/Image/IconExpression/IconExpressA25.png	Assets/Product/Texture/Image/IconExpression/IconExpressA25.png	Chatting Emoji—Obtain by participating in "Eden Festival Support" Event	Voting Time—Celica		1	10000	1			1000
11000026	26	Stamp - Hug	Assets/Product/Texture/Image/IconExpression/IconExpressA26.png	Assets/Product/Texture/Image/IconExpression/IconExpressA26.png	Chat Stamp — Obtained by participating in the "Spectroscopic Binary Star" event	Hug ?— Liv		1	10000	1			1000
11000027	27	Stamp - Choo	Assets/Product/Texture/Image/IconExpression/IconExpressA27.png	Assets/Product/Texture/Image/IconExpression/IconExpressA27.png	Chat Stamp — Obtained by participating in the "Ultimate Brawl" event	Choo ?— Liv		1	10000	1			1000
11000028	28	Achievement Stamp - Palefire	Assets/Product/Texture/Image/IconExpression/IconExpressA28.png	Assets/Product/Texture/Image/IconExpression/IconExpressA28.png	Evolve Achievement Stamp - Palefire to SSS	Achievement - Palefire		1	10000	1			1001
11000029	29	Achievement Stamp - Lotus	Assets/Product/Texture/Image/IconExpression/IconExpressA29.png	Assets/Product/Texture/Image/IconExpression/IconExpressA29.png	Evolve Achievement Stamp - Lotus to SSS	Achievement - Lotus		1	10000	1			1001
11000030	30	Achievement Stamp - Eclipse	Assets/Product/Texture/Image/IconExpression/IconExpressA30.png	Assets/Product/Texture/Image/IconExpression/IconExpressA30.png	Evolve Achievement Stamp - Eclipse to SSS	Achievement - Eclipse		1	10000	1			1001
11000031	31	Achievement Stamp - Zero	Assets/Product/Texture/Image/IconExpression/IconExpressA31.png	Assets/Product/Texture/Image/IconExpression/IconExpressA31.png	Evolve Achievement Stamp - Zero to SSS	Achievement - Zero		1	10000	1			1001
11000032	32	Achievement Stamp - Storm	Assets/Product/Texture/Image/IconExpression/IconExpressA32.png	Assets/Product/Texture/Image/IconExpression/IconExpressA32.png	Evolve Achievement Stamp - Storm to SSS	Achievement - Storm		1	10000	1			1001
11000033	33	Achievement Stamp - Bastion	Assets/Product/Texture/Image/IconExpression/IconExpressA33.png	Assets/Product/Texture/Image/IconExpression/IconExpressA33.png	Evolve Achievement Stamp - Bastion to SSS	Achievement - Bastion		1	10000	1			1001
11000034	34	Achievement Stamp - Blast	Assets/Product/Texture/Image/IconExpression/IconExpressA34.png	Assets/Product/Texture/Image/IconExpression/IconExpressA34.png	Evolve Achievement Stamp - Blast to SSS	Achievement - Blast		1	10000	1			1001
11000035	35	Achievement Stamp - Nightblade	Assets/Product/Texture/Image/IconExpression/IconExpressA35.png	Assets/Product/Texture/Image/IconExpression/IconExpressA35.png	Evolve Achievement Stamp - Nightblade to SSS	Achievement - Nightblade		1	10000	1			1001
11000036	36	Achievement Stamp - Dawn	Assets/Product/Texture/Image/IconExpression/IconExpressA36.png	Assets/Product/Texture/Image/IconExpression/IconExpressA36.png	Evolve Achievement Stamp - Dawn to SSS	Achievement - Dawn		1	10000	1			1001
11000037	37	Achievement Stamp - Lux	Assets/Product/Texture/Image/IconExpression/IconExpressA37.png	Assets/Product/Texture/Image/IconExpression/IconExpressA37.png	Evolve Achievement Stamp - Lux to SSS	Achievement - Lux		1	10000	1			1001
11000038	38	Achievement Stamp - Luminance	Assets/Product/Texture/Image/IconExpression/IconExpressA38.png	Assets/Product/Texture/Image/IconExpression/IconExpressA38.png	Evolve Achievement Stamp - Luminance to SSS	Achievement - Luminance		1	10000	1			1001
11000039	39	Achievement Stamp - Tenebrion	Assets/Product/Texture/Image/IconExpression/IconExpressA39.png	Assets/Product/Texture/Image/IconExpression/IconExpressA39.png	Evolve Achievement Stamp - Tenebrion to SSS	Achievement - Tenebrion		1	10000	1			1001
11000040	40	Achievement Stamp - Entropy	Assets/Product/Texture/Image/IconExpression/IconExpressA40.png	Assets/Product/Texture/Image/IconExpression/IconExpressA40.png	Evolve Achievement Stamp - Entropy to SSS	Achievement - Entropy		1	10000	1			1001
11000041	41	Achievement Stamp - Ember	Assets/Product/Texture/Image/IconExpression/IconExpressA41.png	Assets/Product/Texture/Image/IconExpression/IconExpressA41.png	Evolve Achievement Stamp - Ember to SSS	Achievement - Ember		1	10000	1			1001
11000042	42	Achievement Stamp - Pulse	Assets/Product/Texture/Image/IconExpression/IconExpressA42.png	Assets/Product/Texture/Image/IconExpression/IconExpressA42.png	Evolve Achievement Stamp - Pulse to SSS	Achievement - Pulse		1	10000	1			1001
11000043	43	Achievement Stamp - Crimson Abyss	Assets/Product/Texture/Image/IconExpression/IconExpressA43.png	Assets/Product/Texture/Image/IconExpression/IconExpressA43.png	Evolve Achievement Stamp - Crimson Abyss to SSS	Achievement - Crimson Abyss		1	10000	1			1001
11000044	44	Achievement Stamp - Astral	Assets/Product/Texture/Image/IconExpression/IconExpressA44.png	Assets/Product/Texture/Image/IconExpression/IconExpressA44.png	Evolve Achievement Stamp - Astral to SSS	Achievement - Astral		1	10000	1			1001
11000045	45	Achievement Stamp - Brilliance	Assets/Product/Texture/Image/IconExpression/IconExpressA45.png	Assets/Product/Texture/Image/IconExpression/IconExpressA45.png	Evolve Achievement Stamp - Brilliance to SSS	Achievement - Brilliance		1	10000	1			1001
11000046	46	Achievement Stamp - Veritas	Assets/Product/Texture/Image/IconExpression/IconExpressA46.png	Assets/Product/Texture/Image/IconExpression/IconExpressA46.png	Evolve Achievement Stamp - Veritas to SSS	Achievement - Veritas		1	10000	1			1001
11000047	47	Achievement Stamp - Silverfang	Assets/Product/Texture/Image/IconExpression/IconExpressA47.png	Assets/Product/Texture/Image/IconExpression/IconExpressA47.png	Evolve Achievement Stamp - Silverfang to SSS	Achievement - Silverfang		1	10000	1			1001
11000048	48	Achievement Stamp - Arclight	Assets/Product/Texture/Image/IconExpression/IconExpressA48.png	Assets/Product/Texture/Image/IconExpression/IconExpressA48.png	Evolve Achievement Stamp - Arclight to SSS	Achievement - Arclight		1	10000	1			1001
11000049	49	Achievement Stamp - Plume	Assets/Product/Texture/Image/IconExpression/IconExpressA49.png	Assets/Product/Texture/Image/IconExpression/IconExpressA49.png	Evolve Achievement Stamp - Plume to SSS	Achievement - Plume		1	10000	1			1001
11000050	50	Achievement Stamp - Rozen	Assets/Product/Texture/Image/IconExpression/IconExpressA50.png	Assets/Product/Texture/Image/IconExpression/IconExpressA50.png	Evolve Achievement Stamp - Rozen to SSS	Achievement - Rozen		1	10000	1			1001
11000051	51	Achievement Stamp - Crocotta	Assets/Product/Texture/Image/IconExpression/IconExpressA51.png	Assets/Product/Texture/Image/IconExpression/IconExpressA51.png	Evolve Achievement Stamp - Crocotta to SSS	Achievement - Crocotta		1	10000	1			1001
11000052	52	Achievement Stamp - Rigor	Assets/Product/Texture/Image/IconExpression/IconExpressA52.png	Assets/Product/Texture/Image/IconExpression/IconExpressA52.png	Evolve Achievement Stamp - Rigor to SSS	Achievement - Rigor		1	10000	1			1001
11000053	53	Achievement Stamp - Pavo	Assets/Product/Texture/Image/IconExpression/IconExpressA53.png	Assets/Product/Texture/Image/IconExpression/IconExpressA53.png	Evolve Achievement Stamp - Pavo to SSS	Achievement - Pavo		1	10000	1			1001
11000054	54	Achievement Stamp - Qilin	Assets/Product/Texture/Image/IconExpression/IconExpressA54.png	Assets/Product/Texture/Image/IconExpression/IconExpressA54.png	Evolve Achievement Stamp - Qilin to SSS	Achievement - Qilin		1	10000	1			1001
11000055	55	Achievement Stamp - Laurel	Assets/Product/Texture/Image/IconExpression/IconExpressA55.png	Assets/Product/Texture/Image/IconExpression/IconExpressA55.png	Evolve Achievement Stamp - Laurel to SSS	Achievement - Laurel		1	10000	1			1001
11000056	56	Achievement Stamp - Hypnos	Assets/Product/Texture/Image/IconExpression/IconExpressA56.png	Assets/Product/Texture/Image/IconExpression/IconExpressA56.png	Evolve Achievement Stamp - Hypnos to SSS	Achievement - Hypnos		1	10000	1			1001
11000057	57	Achievement Stamp - Tempest	Assets/Product/Texture/Image/IconExpression/IconExpressA57.png	Assets/Product/Texture/Image/IconExpression/IconExpressA57.png	Evolve Achievement Stamp - Tempest to SSS	Achievement - Tempest		1	10000	1			1001
11000058	58	Achievement Stamp - Glory	Assets/Product/Texture/Image/IconExpression/IconExpressA58.png	Assets/Product/Texture/Image/IconExpression/IconExpressA58.png	Evolve Achievement Stamp - Glory to SSS	Achievement - Glory		1	10000	1			1001
11000059	59	Achievement Stamp - XXI	Assets/Product/Texture/Image/IconExpression/IconExpressA59.png	Assets/Product/Texture/Image/IconExpression/IconExpressA59.png	Evolve Achievement Stamp - XXI to SSS	Achievement - XXI		1	10000	1			1001
11000060	60	Achievement Stamp - Garnet	Assets/Product/Texture/Image/IconExpression/IconExpressA60.png	Assets/Product/Texture/Image/IconExpression/IconExpressA60.png	Evolve Achievement Stamp - Garnet to SSS	Achievement - Garnet		1	10000	1			1001
11000061	61	Achievement Stamp - Flambeau	Assets/Product/Texture/Image/IconExpression/IconExpressA61.png	Assets/Product/Texture/Image/IconExpression/IconExpressA61.png	Evolve Achievement Stamp - Flambeau to SSS	Achievement - Flambeau		1	10000	1			1001
