Id	Name	EffectId	SubCoin	TargetType	Describe	Quality	QualityIcon	QualityIconSmall	QualityIconTips	ShopBgQualityIcon	TipsQualityIconBg	Icon	Effect
1	Forward 1	1	10	0	Can be used on the <color=#f5b60b>Main Target</color> to replace its action in the next turn with <color=#f5b60b>forward 1 block</color>.	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon01.png	
2	Forward 1	1	10	0	Can be used on the <color=#f5b60b>Main Target</color> to replace its action in the next turn with <color=#f5b60b>forward 1 block</color>.	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon01.png	
3	Forward 2	2	10	0	Can be used on the <color=#f5b60b>Main Target</color> to replace its action in the next turn with <color=#f5b60b>forward 2 blocks</color>.	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon02.png	
4	Forward 2	2	10	0	Can be used on the <color=#f5b60b>Main Target</color> to replace its action in the next turn with <color=#f5b60b>forward 2 blocks</color>.	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon02.png	
5	Forward 3	3	10	0	Can be used on the <color=#f5b60b>Main Target</color> to replace its action in the next turn with <color=#f5b60b>forward 3 blocks</color>.	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon03.png	
6	Forward 3	3	10	0	Can be used on the <color=#f5b60b>Main Target</color> to replace its action in the next turn with <color=#f5b60b>forward 3 blocks</color>.	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon03.png	
7	Forward 4	4	10	0	Can be used on the <color=#f5b60b>Main Target</color> to replace its action in the next turn with <color=#f5b60b>forward 4 blocks</color>.	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon04.png	
8	Forward 4	4	10	0	Can be used on the <color=#f5b60b>Main Target</color> to replace its action in the next turn with <color=#f5b60b>forward 4 blocks</color>.	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon04.png	
9	Forward 5	5	10	0	Can be used on the <color=#f5b60b>Main Target</color> to replace its action in the next turn with <color=#f5b60b>forward 5 blocks</color>.	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon05.png	
10	Forward 5	5	10	0	Can be used on the <color=#f5b60b>Main Target</color> to replace its action in the next turn with <color=#f5b60b>forward 5 blocks</color>.	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon05.png	
11	Forward 6	6	10	0	Can be used on the <color=#f5b60b>Main Target</color> to replace its action in the next turn with <color=#f5b60b>forward 6 blocks</color>.	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCards01-2.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitShopCards03.png	Assets/Product/Texture/Atlas/UiChessPursuit/ChessPursuitTipsCards03.png	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon06.png	
