Id	EffectType	Param[1]	EffctTrigger	KeepType	KeepCount	KeepTypeDesc
1	1001	1	1	2	1	Duration: {0} round(s)
2	1001	2	1	2	1	Duration: {0} round(s)
3	1001	3	1	2	1	Duration: {0} round(s)
4	1001	4	1	2	1	Duration: {0} round(s)
5	1001	5	1	2	1	Duration: {0} round(s)
6	1001	6	1	2	1	Duration: {0} round(s)
7	1002	1	1	2	1	Duration: {0} round(s)
8	1002	2	1	2	1	Duration: {0} round(s)
9	1002	3	1	2	1	Duration: {0} round(s)
10	1002	4	1	2	1	Duration: {0} round(s)
11	1002	5	1	2	1	Duration: {0} round(s)
12	1002	6	1	2	1	Duration: {0} round(s)
13	1005	1	1	2	1	Duration: {0} round(s)
14	1004	-1	1	6	1	Disappears after taking effect {0} time(s)
15	1006	200	5	6	1	Disappears after taking effect {0} time(s)
16	1007	5	5	6	1	Disappears after taking effect {0} time(s)
17	1006	200	1	1	1	Duration: {0} round(s)
18	1007	5	1	1	1	Duration: {0} round(s)
101	1008	120512	3	0	1	Duration: Permanent
102	1008	120513	3	0	1	Duration: Permanent
103	1008	120514	3	0	1	Duration: Permanent
104	1008	120515	3	0	1	Duration: Permanent
201	1002	2	2	2	1	Duration: {0} round(s)
202	1003	1	2	2	1	Duration: {0} round(s)
203	1004	4	2	2	1	Duration: {0} round(s)
204	1005	1	2	2	1	Duration: {0} round(s)
205	1006	200	1	1	1	Duration: {0} round(s)
206	1007	5	1	1	1	Duration: {0} round(s)
207	1008	51065	4	5	3	Duration: {0} round(s)
208	1008	51065	4	4	3	Duration: {0} round(s)
