Id	Type	Formula	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]	Params[26]	Params[27]	Params[28]	Params[29]	Desc
1	13102		1																													Omniframes are Tank Omniframes
2	13102		2																													Construct is Vanguard type
3	13102		3																													Construct is Bio type
4	13102		1	2	3																											Universal Omniframe
5	10107		50																													Commandant Level below 50
6	10107		40																													Commandant Level below 40
7	10105		10030202																													Complete Normal Story 3-6
8	10105		10050202																													Complete Normal Story 5-6
9	15110																															War Zone is now available
10	15111																															Phantom Pain Cage is now available
301	10102		1011002																													Own Omniframe Lee: Palefire
302	10102		1021001																													Own Omniframe Lucia: Lotus
303	10102		1031001																													Own Omniframe Liv: Eclipse
304	10102		1041002																													Own Omniframe Bianca: Zero
305	10102		1051001																													Own Omniframe Nanami: Storm
306	10102		1061002																													Own Omniframe Kamui: Bastion
307	10102		1071002																													Own Omniframe Karenina: Blast
308	10102		1081002																													Own Omniframe Watanabe: Nightblade
309	10102		1021002																													Own Omniframe Lucia: Dawn
310	10102		1031002																													Own Omniframe Liv: Lux
311	10102		1061003																													Own Omniframe Kamui: Tenebrion
312	10102		1031003																													Own Omniframe Liv: Luminance
313	10102		1071003																													Own Omniframe Karenina: Ember
314	10102		1011003																													Own Omniframe Lee: Entropy
315	10102		1051003																													Own Omniframe Nanami: Pulse
316	10102		1021003																													Own Omniframe Lucia: Crimson Abyss
317	10102		1081003																													Own Omniframe Watanabe: Astral
318	10102		1091002																													Own Omniframe Ayla: Brilliance
319	10102		1041003																													Own Omniframe Bianca: Veritas
320	10102		1111002																													Own Omniframe Sophia: Silverfang
321	10102		1121002																													Own Omniframe Chrome: Arclight
322	10102		1021004																													Own Omniframe Lucia: Plume
323	10102		1131002																													Own Omniframe Vera: Rozen
324	10102		1511003																													Own Uniframe Camu: Crocotta
325	10102		1141003																													Own Omniframe Rosetta: Rigor
326	10102		1521003																													Own Uniframe Qu: Pavo
327	10102		1161002																													Own Omniframe Changyu: Qilin
328	10102		1171003																													Own Omniframe Luna: Laurel
329	10102		1181003																													Own Omniframe 2B
330	10102		1191003																													Own Omniframe 9S
331	10102		1201003																													Own Omniframe A2
332	10102		1211002																													Own Omniframe Wanshi: Hypnos
333	10102		1531003																													Own Uniframe Selena: Tempest
334	10102		1121003																													Own Omniframe Chrome: Glory
335	10102		1221002																													Own Omniframe No. 21: XXI
336	10102		1131003																													Own Omniframe Vera: Garnet
337	10102		1541003																													Own Uniframe Roland: Flambeau
338	10102		1031004																													Own Omniframe Liv: Empyrea
339	10102		1531004																													Own Omniframe Selena: Capriccio
340	10102		1551003																													Own Uniframe Pulao: Dragontoll
341	10102		1051004																													Own Omniframe Nanami: Starfarer
342	10102		1561003																													Own Uniframe Haicma: Starveil
343	10102		1071004																													Own Omniframe Karenina: Scire
344	10102		1571003																													Own Uniframe Noan: Arca
345	10102		1041004																													Own Omniframe Bianca: Stigmata
346	10102		1231002																													Own Omniframe Bambinata: Vitrum
347	10102		1011004																													Own Omniframe Lee: Hyperreal
348	10102		1091003																													Own Omniframe Ayla: Kaleido
401	11105		6210204																													Coating owned
7001	10105		13010116																													Complete all Lucia Interludes
7002	10105		13010216																													Complete all Liv Interludes
7003	10105		13010315																													Complete all Nanami Interludes
7004	10105		13010415																													Complete all Lee Interludes
7005	10105		13010516																													Complete all Karenina Interludes
7006	10105		13010615																													Complete all Watanabe Interludes
7007	10105		13010716																													Complete all Bianca Interludes
7008	10105		13010815																													Complete all Kamui Interludes
10436000	10101		40																													Reach Commandant Level 40
10436001	10101		1																													Recommended BP: 2500
10436002	10101		1																													Recommended BP: 3500
10436003	10101		1																													Recommended BP: 4500
10436004	10101		1																													Recommended BP: 6500
10436005	10101		1																													Recommended BP: 7000
10436011	10101		40																													Reach Commandant Level 40
10436012	10102		1081002																													Own Omniframe Watanabe: Nightblade
10436013	13103		80																													Watanabe: Nightblade reaches Lv.80
10436014	10105		10040203																													Clear Main Stage 4-7 once
10436015	13117		5																													Watanabe: Nightblade reaches Affection 5
10436016	13114		4																													Awaken Watanabe: Nightblade's Ultima Rank
10436017	13108		6200																													Have Watanabe: Nightblade reach 6200 BP
10436018	17117		15	21000100	21000101	21000102	21000103	21000104																								Complete [Heart-Lock Trial] with a 3-star rating
10436019	10105		21000114																													Unlocks after clearing all stages of [Fragmented Memories]
10436020	11101		1201	1																												Unlocks Display Poses
10436021	10101		40																													Reach Commandant Level 40
10436022	10102		1021003																													Own Omniframe Lucia: Crimson Abyss
10436023	13103		80																													Lucia: Crimson Abyss reaches Lv.80
10436024	10105		11140105																													Clear Main Story Hidden Stage 14-5 once
10436025	13117		5																													Lucia: Crimson Abyss reaches Affection 5
10436026	13114		4																													Awaken Lucia: Crimson Abyss's Ultima Rank
10436027	13108		6200																													Have Lucia: Crimson Abyss reach 6200 BP
10436028	17117		15	21000200	21000201	21000202	21000203	21000204																								Complete [Heart-Lock Trial] with a 3-star rating
10436029	10105		21000214																													Unlocks after clearing all stages of [Fragmented Memories]
10436030	11101		1202	1																												Unlocks Display Poses
21000100	18103		1	1081002																												Watanabe: Nightblade required
21000200	18103		1	1021003																												Lucia: Crimson Abyss required
8000	10101		25																													Reach Commandant Level 25
8001	10101		35																													Reach Commandant Level 35
8002	10101		45																													Reach Commandant Level 45
8003	10101		55																													Reach Commandant Level 55
8004	10101		62																													Unlocked when Commandant reaches Lv.62
8005	10101		52																													Unlocked when Commandant reaches Lv.52
8006	10101		61																													Unlocked when Commandant reaches Lv.61
8007	10101		56																													Unlocked when Commandant reaches Lv.56
8008	10101		47																													Unlocked when Commandant reaches Lv.47
10001	10101		1																													Requires Commandant Lv.50
10002	11101		1	999																												Requires 999 items
10003	10102		1021001																													Own the specified Omniframe
10005	10103		1																													Number of Constructs obtained, Parameter: Quantity
10006	13101		1																													Construct Gender, Parameter: Gender
10007	13102		1																													Construct Type, Parameter: Type
10010	18101		1																													Only use male Omniframes
10011	18102		3	1																												No Vanguard-type Constructs
10115	10115		1	0																												Unlocks after Amberia's death
10450	10105		30010405																													Clear Combat Supply AE-5
1001201	18103		1	1031001																												Liv: Eclipse required
1001202	18103		1	1051001																												Nanami: Storm required
10013	18104		1031001																													Cannot deploy Liv
10014	10101		40																													Requires Commandant Lv.40
10015	10105		10010202																													Must complete Stage 5-2
10016	13103		25																													Requires member Lv.25
30001	10101		1																													Requires Commandant Lv.1
30002	20102		1																													Must complete Dormitory 1F
30003	20102		2																													Must complete Dormitory 2F
30050	10151		90370	0																												Owned B5 Pointy (duplicate purchases not allowed)
30051	10151		90220	0																												Owned B5 Pokey (duplicate purchases not allowed)
30052	10151		81600	0																												Owned Roland (duplicate purchases not allowed)
30053	10151		81500	0																												Owned Nozzle (duplicate purchases not allowed)
30054	10151		92030	0																												Owned Repairer (duplicate purchases not allowed)
30055	10151		92670	0																												Owned Kemuri (duplicate purchases not allowed)
30056	10151		813000	0																												Owned Roseblade (duplicate purchases not allowed)
30057	10151		837000	0																												Owned Shark-speare (duplicate purchases not allowed)
30101	20101		1	1																												Requires Mainframe Lv.1
30201	20101		2	1																												Requires Generator Lv.1
30202	20101		2	3																												Requires Generator Lv.3
30203	20101		2	5																												Requires Generator Lv.5
30301	20101		3	1																												Requires Factory Lv.1
30302	20101		3	3																												Requires Factory Lv.3
30303	20101		3	5																												Requires Factory Lv.5
30401	10101		2																													Requires Commandant Lv.2
30402	10101		10																													Requires Commandant Lv.10
30403	10101		15																													Requires Commandant Lv.15
30404	10101		20																													Requires Commandant Lv.20
30405	10101		25																													Requires Commandant Lv.25
30406	10101		40																													Requires Commandant Lv.40
31001	20104		2																													Commission System reaches Lv.2
31002	20104		3																													Commission System reaches Lv.3
31101	20105		5	5																												Complete 5 missions for the WGAA
31102	20105		3	5																												Complete 5 missions for the Engineering Force
31103	20105		8	5																												Complete 5 missions for the Forsaken
31200	34002																															The dispatched members meet the commission's type recommendation
31201	34001		1031001																													The dispatched members include [Liv: Eclipse]
31202	10105		10170128																													Unlocks after clearing The Surviving Lucem (17-28)
31203	34001		1571003																													The dispatched members include [Noan: Arca]
31204	10105		15020324																													Unlocks after clearing Cinder Burns (ER02-24)
31205	34001		1121002																													The dispatched members include [Chrome: Arclight]
31206	10105		10200115																													Unlocks after clearing Across the Ruined Sea (20-15)
31207	34001		1551003																													The dispatched members include [Pulao: Dragontoll]
31901	20104		2																													Commission Terminal reaches Lv.2
31902	20104		3																													Commission Terminal reaches Lv.3
31903	20104		4																													Commission Terminal reaches Lv.4
31904	20104		5																													Commission Terminal reaches Lv.5
31905	20104		6																													Commission Terminal reaches Lv.6
31906	20104		7																													Commission Terminal reaches Lv.7
31907	20104		8																													Commission Terminal reaches Lv.8
31908	20104		9																													Commission Terminal reaches Lv.9
31909	20104		10																													Commission Terminal reaches Lv.10
100000	10105		10010204																													Complete Normal Story 1-8
100001	10105		10010304																													Complete Normal Story 1-12
100002	10105		10010104																													Complete Normal Story 1-4
100102	10105		10020304																													Complete Normal Story 2-12
100103	10105		11010106																													Complete Hidden Story 1-6
100104	10105		10030304																													Complete Normal Story 3-12
100105	10105		11020106																													Complete Hidden Story 2-6
100106	10105		10040304																													Complete Normal Story 4-12
100107	10105		11030106																													Complete Hidden Story 3-6
100108	10105		10050304																													Complete Normal Story 5-12
100109	10105		11040106																													Complete Hidden Story 4-6
100110	10105		10060304																													Complete Normal Story 6-12
100111	10105		11050106																													Complete Hidden Story 5-6
100112	10105		10070304																													Complete Normal Story 7-12
100113	10105		11060106																													Complete Hidden Story 6-6
100202	10105		10010304																													Complete Normal Story 1-12
100203	10105		10020304																													Complete Normal Story 2-12
100204	10105		10030304																													Complete Normal Story 3-12
100205	10105		10040104																													Complete Normal Story 4-4
100206	10105		10040404																													Complete Normal Story 4-16
100207	10105		10050304																													Complete Normal Story 5-12
100208	10105		10060204																													Complete Normal Story 6-8
100209	10105		10070104																													Complete Normal Story 7-4
100210	10105		10070404																													Complete Normal Story 7-16
100211	10105		10080304																													Complete Normal Story 8-12
100212	10105		11060106																													Complete Hidden Story 6-8
100213	10105		11080106																													Complete Hidden Story 8-4
100302	10105		10020104																													Complete Normal Story 2-4
100303	10105		10020404																													Complete Normal Story 2-16
100304	10105		10030404																													Complete Normal Story 3-16
100305	10105		10040204																													Complete Normal Story 4-8
100306	10105		10050104																													Complete Normal Story 5-4
100307	10105		10050404																													Complete Normal Story 5-16
100308	10105		10060304																													Complete Normal Story 6-12
100309	10105		10070204																													Complete Normal Story 7-8
100310	10105		10080104																													Complete Normal Story 8-4
100311	10105		10080404																													Complete Normal Story 8-16
100312	10105		11060106																													Complete Hidden Story 6-8
100313	10105		11080106																													Complete Hidden Story 8-4
100402	10105		10010404																													Complete Normal Story 1-16
100403	10105		11010106																													Complete Hidden Story 1-8
100404	10105		11010106																													Complete Hidden Story 1-16
100405	10105		11010106																													Complete Hidden Story 2-8
100406	10105		11020106																													Complete Hidden Story 2-16
100407	10105		11030106																													Complete Hidden Story 3-8
100408	10105		11030106																													Complete Hidden Story 3-16
100409	10105		11040106																													Complete Hidden Story 4-6
100410	10105		11040106																													Complete Hidden Story 4-16
100411	10105		11050106																													Complete Hidden Story 5-8
100412	10105		11070106																													Complete Hidden Story 7-8
100413	10105		11080106																													Complete Hidden Story 8-16
100501	10105		10010203																													Complete Normal Story 1-7
100601	10105		10120111																													Complete Normal Story 12-11
100701	10105		15010120																													Clear Extra Story EX01-20
100801	10105		15020118																													Unlocks after clearing Extra Hidden Story EX02-18
100811	10105		10130200																													Clear Chapter 1 Stage 1 on Normal
100812	10105		10130171																													Clear Chapter 1 Stage 2 on Normal
100813	10105		10130172																													Clear Chapter 1 Stage 3 on Normal
100814	10105		10130201																													Clear Chapter 1 Stage 4 on Normal
100815	10105		10130202																													Clear Chapter 1 Stage 5 on Normal
100816	10105		10130203																													Clear Chapter 1 Stage 6 on Normal
100817	10105		10130173																													Clear Chapter 1 Stage 7 on Normal
100818	10105		10130204																													Clear Chapter 1 Stage 8 on Normal
100819	10105		10130174																													Clear Chapter 1 Stage 9 on Normal
100820	10105		10130205																													Clear Chapter 1 Stage 10 on Normal
100821	10105		10130206																													Clear Chapter 2 Stage 1 on Normal
100822	10105		10130207																													Clear Chapter 2 Stage 2 on Normal
100823	10105		10130208																													Clear Chapter 2 Stage 3 on Normal
100824	10105		10130175																													Clear Chapter 2 Stage 4 on Normal
100825	10105		10130209																													Clear Chapter 2 Stage 5 on Normal
100826	10105		10130210																													Clear Chapter 2 Stage 6 on Normal
100827	10105		10130176																													Clear Chapter 2 Stage 7 on Normal
100828	10105		10130211																													Clear Chapter 2 Stage 8 on Normal
100829	10105		10130212																													Clear Chapter 2 Stage 9 on Normal
100830	10105		10130213																													Clear Chapter 2 Stage 10 on Normal
100831	10105		10130214																													Clear Chapter 2 Stage on Normal
100832	10105		10130215																													Clear Chapter 2 Stage 12 on Normal
100833	10105		10130177																													Clear Chapter 2 Stage 13 on Normal
100834	10105		10130216																													Clear Chapter 2 Stage 14 on Normal
100835	10105		10130217																													Clear Chapter 3 Stage 1 on Normal
100836	10105		10130218																													Clear Chapter 3 Stage 2 on Normal
100837	10105		10130178																													Clear Chapter 3 Stage 3 in Regular Mode
100838	10105		10130219																													Clear Chapter 3 Stage 4 in Regular Mode
100839	10105		10130220																													Clear Chapter 3 Stage 5 in Regular Mode
100840	10105		10130179																													Clear Chapter 3 Stage 6 in Regular Mode
100841	10105		10130221																													Clear Chapter 3 Stage 7 in Regular Mode
100842	10105		10130180																													Clear Chapter 3 Stage 8 in Regular Mode
100843	10105		10130181																													Clear Chapter 3 Stage 9 in Regular Mode
100844	10105		10130222																													Clear Chapter 3 Stage 10 in Regular Mode
100845	10105		10130223																													Clear Chapter 3 Stage 11 in Regular Mode
100846	10105		10130224																													Clear Chapter 3 Stage 12 in Regular Mode
100847	10105		10130225																													Clear Chapter 3 Stage 13 in Regular Mode
100848	10105		10130226																													Clear Chapter 3 Stage 14 in Regular Mode
100849	10105		10130227																													Clear Chapter 3 Stage 15 in Regular Mode
100850	10105		10130228																													Clear Chapter 3 Stage 16 in Regular Mode
100851	10105		10130229																													Clear Chapter 3 Stage 17 in Regular Mode
100852	10105		10130230																													Clear Chapter 3 Stage 18 in Regular Mode
100853	10105		10130231																													Clear Chapter 3 Stage 19 in Regular Mode
100854	10105		10130182																													Clear Chapter 3 Stage 20 in Regular Mode
100855	10105		10130232																													Clear Chapter 3 Stage 21 in Regular Mode
100856	10105		10130233																													Clear Chapter 4 Stage 1 on Normal
100857	10105		10130234																													Clear Chapter 4 Stage 2 on Normal
100858	10105		10130235																													Clear Chapter 4 Stage 3 on Normal
100859	10105		10130236																													Clear Chapter 4 Stage 4 on Normal
100860	10105		10130237																													Clear Chapter 4 Stage 5 on Normal
100861	10105		10130238																													Clear Chapter 4 Stage 6 on Normal
100862	10105		10130183																													Clear Chapter 4 Stage 7 on Normal
100863	10105		10130239																													Clear Chapter 4 Stage 8 on Normal
100864	10105		10130240																													Clear Chapter 4 Stage 9 on Normal
100865	10105		10130184																													Clear Chapter 4 Stage 10 on Normal
100866	10105		10130241																													Clear Chapter 4 Stage 11 on Normal
100867	10105		10130185																													Clear Chapter 4 Stage 12 on Normal
100868	10105		10130186																													Clear Chapter 4 Stage 13 on Normal
100901	10105		30110114																													Stay tuned
101001	10105		10140115																													Clear Normal Story Mission 14-15
101101	10105		10150117																													Clear Normal Story Mission 15-17
101201	10105		15010613																													Clear Extra Story Mission EX05-12
101301	10105		10160115																													Clear Normal Story Mission 16-15
101401	10105		10170111																													Clear area "Sunken in Scarlet" to unlock
101402	10105		10170117																													Clear area "Escaping from Calamity" to unlock
109000	13103		2																													Member reaches Lv.2
110000	13103		10																													Member reaches Lv.10
110001	13103		20																													Member reaches Lv.20
110002	13103		30																													Member reaches Lv.30
110003	13103		40																													Member reaches Lv.40
110004	13103		45																													Member reaches Lv.45
110005	13103		50																													Member reaches Lv.50
110006	13103		55																													Member reaches Lv.55
110007	13103		60																													Member reaches Lv.60
110008	13103		65																													Member reaches Lv.65
110009	13103		70																													Member reaches Lv.70
110010	13103		75																													Member reaches Lv.75
110011	13103		80																													Member reaches Lv.80
120000	10101		200																													Event is not available yet.
200000	10101		200																													Not yet available
200001	10105		12021201																													Clear Stronghold Chapter 2
200002	10105		12050402																													Clear Stronghold Chapter 5
200003	10105		12080402																													Clear Stronghold Chapter 8
200010	10105		12011601																													Clear Stronghold Chapter 1
200011	10105		12021201																													Clear Stronghold Chapter 2
200012	10105		12030802																													Clear Stronghold Chapter 3
200013	10105		12040401																													Clear Stronghold Chapter 4
200014	10105		12050402																													Clear Stronghold Chapter 5
200015	10105		12060402																													Clear Stronghold Chapter 6
200016	10105		12070402																													Clear Stronghold Chapter 7
200017	10105		12080402																													Clear Stronghold Chapter 8
300001	18105		1	2																												Dispatch at least 2 Omniframes of the same type
300002	18106		10	2																												Dispatch at least 2 Omniframes with BP no less than 10
300003	18107		1	2																												Have 2 Constructs at rank 1 or above in the team
300004	18108		10	2																												Dispatch at least 2 Omniframes of Lv.10 or above
300005	18109		1	2																												Have 2 Constructs with gender 1 in the team
300006	18110		1031001	1																												Liv: Eclipse required
40000	18108		10	1																												Have 1 Lv.10 member in the team
40001	18108		20	2																												Have 2 Lv.20 members in the team
40002	18108		30	3																												Have 3 Lv.30 members in the team
40003	18108		40	1																												Have 1 Lv.40 member in the team
40004	18108		50	2																												Have 2 Lv.50 members in the team
40005	18108		60	3																												Have 3 Lv.60 members in the team
40006	18108		10	1																												Have 1 Lv.10 member in the team
40007	18108		20	2																												Have 2 Lv.20 members in the team
