Id	Life	Attack	AttackIntensity	Defense	DefensePierceP	CritP	CritResistanceP	CritDmgRateP	CritDmgRateReductionP	ShieldEfficiencyP	ShieldAmpP	ShieldReductionP	ShieldGainBonusP	ShieldGainReductionP	PhysicalAmpP	Element1AmpP	Element2AmpP	Element3AmpP	Element4AmpP	PhysicalReductionP	Element1ReductionP	Element2ReductionP	Element3ReductionP	Element4ReductionP	PhysicalPierceP	Element1PierceP	Element2PierceP	Element3PierceP	Element4PierceP	SignalSkillDmgAmpP	SpecialSkillDmgAmpP	NormalAtkDmgAmpP	ExSkillDmgAmpP	HuntSkillDmgAmpP	SignalSkillDmgReductionP	SpecialSkillDmgReductionP	NormalAtkDmgReductionP	ExSkillDmgReductionP	HuntSkillDmgReductionP	ThreatRate	CharacterValue	ExSkillPoint	IdleSpinningSpeed	RunSpinningSpeed	DodgeEnergy	JumpEnergy	DodgeEnergyRegen	JumpEnergyRegen	CustomEnergyGroup1	CustomEnergyGroup2	CustomEnergyGroup3	CustomEnergyGroup4
400101		168		201																																																
400102		217		260																																																
400201	378	34																																																		
400202	488	44																																																		
500101		174		210																																																
500102		232		280																																																
500103		365		441																																																
500201	394	35																																																		
500202	525	46																																																		
500203	826	73																																																		
