EventId	CharacterId	Type	Weight	BehaviorId	FinishReward	HappenReward	ConditionList[1]	ConditionList[2]	ConditionList[3]	CompletedType[0]	CompletedType[1]	CompletedType[2]
1	1021001	1	350	REWAWRD	101	102	101001	102001	107001	4		
2	1021001	2	10	TIRED	201	202	101002	102002		2		
3	1021001	3	50	REWAWRD	301	302	101003	102003		6		
4	1021001	4	50	REWAWRD	401	402	101004	102004	107004	7		
5	1021001	2	10	ANNOY	501	502	101005	102005		1		
6	1021001	2	10	BORING	601	602	101006	102006		5		
7	1021001	2	10	LAZY	701	702	101007	102007		3		
8	1021001	2	10	WANTTOUCH	801	802	101008	102008		8		
101	1031001	1	350	REWAWRD	101	102	101001	102001	107001	4		
102	1031001	2	10	TIRED	201	202	101002	102002		2		
103	1031001	3	50	REWAWRD	301	302	101003	102003		6		
104	1031001	4	50	REWAWRD	401	402	101004	102004	107004	7		
105	1031001	2	10	ANNOY	501	502	101005	102005		1		
106	1031001	2	10	BORING	601	602	101006	102006		5		
107	1031001	2	10	LAZY	701	702	101007	102007		3		
108	1031001	2	10	WANTTOUCH	801	802	101008	102008		8		
201	1011002	1	350	REWAWRD	101	102	101001	102001	107001	4		
202	1011002	2	10	TIRED	201	202	101002	102002		2		
203	1011002	3	50	REWAWRD	301	302	101003	102003		6		
204	1011002	4	50	REWAWRD	401	402	101004	102004	107004	7		
205	1011002	2	10	ANNOY	501	502	101005	102005		1		
206	1011002	2	10	BORING	601	602	101006	102006		5		
207	1011002	2	10	LAZY	701	702	101007	102007		3		
208	1011002	2	10	WANTTOUCH	801	802	101008	102008		8		
301	1041002	1	350	REWAWRD	101	102	101001	102001	107001	4		
302	1041002	2	10	TIRED	201	202	101002	102002		2		
303	1041002	3	50	REWAWRD	301	302	101003	102003		6		
304	1041002	4	50	REWAWRD	401	402	101004	102004	107004	7		
305	1041002	2	10	ANNOY	501	502	101005	102005		1		
306	1041002	2	10	BORING	601	602	101006	102006		5		
307	1041002	2	10	LAZY	701	702	101007	102007		3		
308	1041002	2	10	WANTTOUCH	801	802	101008	102008		8		
401	1051001	1	350	REWAWRD	101	102	101001	102001	107001	4		
402	1051001	2	10	TIRED	201	202	101002	102002		2		
403	1051001	3	50	REWAWRD	301	302	101003	102003		6		
404	1051001	4	50	REWAWRD	401	402	101004	102004	107004	7		
405	1051001	2	10	ANNOY	501	502	101005	102005		1		
406	1051001	2	10	BORING	601	602	101006	102006		5		
407	1051001	2	10	LAZY	701	702	101007	102007		3		
408	1051001	2	10	WANTTOUCH	801	802	101008	102008		8		
501	1061002	1	350	REWAWRD	101	102	101001	102001	107001	4		
502	1061002	2	10	TIRED	201	202	101002	102002		2		
503	1061002	3	50	REWAWRD	301	302	101003	102003		6		
504	1061002	4	50	REWAWRD	401	402	101004	102004	107004	7		
505	1061002	2	10	ANNOY	501	502	101005	102005		1		
506	1061002	2	10	BORING	601	602	101006	102006		5		
507	1061002	2	10	LAZY	701	702	101007	102007		3		
508	1061002	2	10	WANTTOUCH	801	802	101008	102008		8		
601	1071002	1	350	REWAWRD	101	102	101001	102001	107001	4		
602	1071002	2	10	TIRED	201	202	101002	102002		2		
603	1071002	3	50	REWAWRD	301	302	101003	102003		6		
604	1071002	4	50	REWAWRD	401	402	101004	102004	107004	7		
605	1071002	2	10	ANNOY	501	502	101005	102005		1		
606	1071002	2	10	BORING	601	602	101006	102006		5		
607	1071002	2	10	LAZY	701	702	101007	102007		3		
608	1071002	2	10	WANTTOUCH	801	802	101008	102008		8		
701	1081002	1	350	REWAWRD	101	102	101001	102001	107001	4		
702	1081002	2	10	TIRED	201	202	101002	102002		2		
703	1081002	3	50	REWAWRD	301	302	101003	102003		6		
704	1081002	4	50	REWAWRD	401	402	101004	102004	107004	7		
705	1081002	2	10	ANNOY	501	502	101005	102005		1		
706	1081002	2	10	BORING	601	602	101006	102006		5		
707	1081002	2	10	LAZY	701	702	101007	102007		3		
708	1081002	2	10	WANTTOUCH	801	802	101008	102008		8		
801	1021002	1	350	REWAWRD	101	102	101001	102001	107001	4		
802	1021002	2	10	TIRED	201	202	101002	102002		2		
803	1021002	3	50	REWAWRD	301	302	101003	102003		6		
804	1021002	4	50	REWAWRD	401	402	101004	102004	107004	7		
805	1021002	2	10	ANNOY	501	502	101005	102005		1		
806	1021002	2	10	BORING	601	602	101006	102006		5		
807	1021002	2	10	LAZY	701	702	101007	102007		3		
808	1021002	2	10	WANTTOUCH	801	802	101008	102008		8		
901	1031002	1	350	REWAWRD	101	102	101001	102001	107001	4		
902	1031002	2	10	TIRED	201	202	101002	102002		2		
903	1031002	3	50	REWAWRD	301	302	101003	102003		6		
904	1031002	4	50	REWAWRD	401	402	101004	102004	107004	7		
905	1031002	2	10	ANNOY	501	502	101005	102005		1		
906	1031002	2	10	BORING	601	602	101006	102006		5		
907	1031002	2	10	LAZY	701	702	101007	102007		3		
908	1031002	2	10	WANTTOUCH	801	802	101008	102008		8		
1001	1061003	1	350	REWAWRD	101	102	101001	102001	107001	4		
1002	1061003	2	10	TIRED	201	202	101002	102002		2		
1003	1061003	3	50	REWAWRD	301	302	101003	102003		6		
1004	1061003	4	50	REWAWRD	401	402	101004	102004	107004	7		
1005	1061003	2	10	ANNOY	501	502	101005	102005		1		
1006	1061003	2	10	BORING	601	602	101006	102006		5		
1007	1061003	2	10	LAZY	701	702	101007	102007		3		
1008	1061003	2	10	WANTTOUCH	801	802	101008	102008		8		
1101	1031003	1	350	REWAWRD	101	102	101001	102001	107001	4		
1102	1031003	2	10	TIRED	201	202	101002	102002		2		
1103	1031003	3	50	REWAWRD	301	302	101003	102003		6		
1104	1031003	4	50	REWAWRD	401	402	101004	102004	107004	7		
1105	1031003	2	10	ANNOY	501	502	101005	102005		1		
1106	1031003	2	10	BORING	601	602	101006	102006		5		
1107	1031003	2	10	LAZY	701	702	101007	102007		3		
1108	1031003	2	10	WANTTOUCH	801	802	101008	102008		8		
1201	1011003	1	350	REWAWRD	101	102	101001	102001	107001	4		
1202	1011003	2	10	TIRED	201	202	101002	102002		2		
1203	1011003	3	50	REWAWRD	301	302	101003	102003		6		
1204	1011003	4	50	REWAWRD	401	402	101004	102004	107004	7		
1205	1011003	2	10	ANNOY	501	502	101005	102005		1		
1206	1011003	2	10	BORING	601	602	101006	102006		5		
1207	1011003	2	10	LAZY	701	702	101007	102007		3		
1208	1011003	2	10	WANTTOUCH	801	802	101008	102008		8		
1301	1071003	1	350	REWAWRD	101	102	101001	102001	107001	4		
1302	1071003	2	10	TIRED	201	202	101002	102002		2		
1303	1071003	3	50	REWAWRD	301	302	101003	102003		6		
1304	1071003	4	50	REWAWRD	401	402	101004	102004	107004	7		
1305	1071003	2	10	ANNOY	501	502	101005	102005		1		
1306	1071003	2	10	BORING	601	602	101006	102006		5		
1307	1071003	2	10	LAZY	701	702	101007	102007		3		
1308	1071003	2	10	WANTTOUCH	801	802	101008	102008		8		
1401	1051003	1	350	REWAWRD	101	102	101001	102001	107001	4		
1402	1051003	2	10	TIRED	201	202	101002	102002		2		
1403	1051003	3	50	REWAWRD	301	302	101003	102003		6		
1404	1051003	4	50	REWAWRD	401	402	101004	102004	107004	7		
1405	1051003	2	10	ANNOY	501	502	101005	102005		1		
1406	1051003	2	10	BORING	601	602	101006	102006		5		
1407	1051003	2	10	LAZY	701	702	101007	102007		3		
1408	1051003	2	10	WANTTOUCH	801	802	101008	102008		8		
1501	1021003	1	350	REWAWRD	101	102	101001	102001	107001	4		
1502	1021003	2	10	TIRED	201	202	101002	102002		2		
1503	1021003	3	50	REWAWRD	301	302	101003	102003		6		
1504	1021003	4	50	REWAWRD	401	402	101004	102004	107004	7		
1505	1021003	2	10	ANNOY	501	502	101005	102005		1		
1506	1021003	2	10	BORING	601	602	101006	102006		5		
1507	1021003	2	10	LAZY	701	702	101007	102007		3		
1508	1021003	2	10	WANTTOUCH	801	802	101008	102008		8		
1601	1081003	1	350	REWAWRD	101	102	101001	102001	107001	4		
1602	1081003	2	10	TIRED	201	202	101002	102002		2		
1603	1081003	3	50	REWAWRD	301	302	101003	102003		6		
1604	1081003	4	50	REWAWRD	401	402	101004	102004	107004	7		
1605	1081003	2	10	ANNOY	501	502	101005	102005		1		
1606	1081003	2	10	BORING	601	602	101006	102006		5		
1607	1081003	2	10	LAZY	701	702	101007	102007		3		
1608	1081003	2	10	WANTTOUCH	801	802	101008	102008		8		
1701	1091002	1	350	REWAWRD	101	102	101001	102001	107001	4		
1702	1091002	2	10	TIRED	201	202	101002	102002		2		
1703	1091002	3	50	REWAWRD	301	302	101003	102003		6		
1704	1091002	4	50	REWAWRD	401	402	101004	102004	107004	7		
1705	1091002	2	10	ANNOY	501	502	101005	102005		1		
1706	1091002	2	10	BORING	601	602	101006	102006		5		
1707	1091002	2	10	LAZY	701	702	101007	102007		3		
1708	1091002	2	10	WANTTOUCH	801	802	101008	102008		8		
1801	90370	1	350	REWAWRD	101	102	101001	102001	107001	4		
1802	90370	2	10	TIRED	201	202	101002	102002		2		
1803	90370	3	50	REWAWRD	301	302	101003	102003		6		
1804	90370	4	50	REWAWRD	401	402	101004	102004	107004	7		
1805	90370	2	10	ANNOY	501	502	101005	102005		1		
1806	90370	2	10	BORING	601	602	101006	102006		5		
1807	90370	2	10	LAZY	701	702	101007	102007		3		
1808	90370	2	10	WANTTOUCH	801	802	101008	102008		8		
1901	90220	1	350	REWAWRD	101	102	101001	102001	107001	4		
1902	90220	2	10	TIRED	201	202	101002	102002		2		
1903	90220	3	50	REWAWRD	301	302	101003	102003		6		
1904	90220	4	50	REWAWRD	401	402	101004	102004	107004	7		
1905	90220	2	10	ANNOY	501	502	101005	102005		1		
1906	90220	2	10	BORING	601	602	101006	102006		5		
1907	90220	2	10	LAZY	701	702	101007	102007		3		
1908	90220	2	10	WANTTOUCH	801	802	101008	102008		8		
2001	1111002	1	350	REWAWRD	101	102	101001	102001	107001	4		
2002	1111002	2	10	TIRED	201	202	101002	102002		2		
2003	1111002	3	50	REWAWRD	301	302	101003	102003		6		
2004	1111002	4	50	REWAWRD	401	402	101004	102004	107004	7		
2005	1111002	2	10	ANNOY	501	502	101005	102005		1		
2006	1111002	2	10	BORING	601	602	101006	102006		5		
2007	1111002	2	10	LAZY	701	702	101007	102007		3		
2008	1111002	2	10	WANTTOUCH	801	802	101008	102008		8		
2101	81600	1	350	REWAWRD	101	102	101001	102001	107001	4		
2102	81600	2	10	TIRED	201	202	101002	102002		2		
