Id	Site	Star	Breakthrough	ExpToOneCoin	ExpToItemId	RewardId
1	0	1	0	0.142	31102	2001
2	0	2	0	0.142	31102	2002
3	0	3	0	0.142	31103	2003
4	0	4	0	0.142	31104	2004
5	0	5	0	0.142	31104	2005
6	0	6	0	0.142	31104	2006
7	0	7	0	0.142	31104	2007
8	1	1	0	0.142	31202	2008
9	1	2	0	0.142	31202	2009
10	1	3	0	0.142	31203	2010
11	1	4	0	0.142	31204	2011
12	1	5	0	0.142	31204	2012
13	1	6	0	0.142	31204	2013
14	1	7	0	0.142	31204	2014
15	2	1	0	0.142	31202	2015
16	2	2	0	0.142	31202	2016
17	2	3	0	0.142	31203	2017
18	2	4	0	0.142	31204	2018
19	2	5	0	0.142	31204	2019
20	2	6	0	0.142	31204	2020
21	2	7	0	0.142	31204	2021
22	3	1	0	0.142	31202	2022
23	3	2	0	0.142	31202	2023
24	3	3	0	0.142	31203	2024
25	3	4	0	0.142	31204	2025
26	3	5	0	0.142	31204	2026
27	3	6	0	0.142	31204	2027
28	3	7	0	0.142	31204	2028
29	4	1	0	0.142	31202	2029
30	4	2	0	0.142	31202	2030
31	4	3	0	0.142	31203	2031
32	4	4	0	0.142	31204	2032
33	4	5	0	0.142	31204	2033
34	4	6	0	0.142	31204	2034
35	4	7	0	0.142	31204	2035
36	5	1	0	0.142	31202	2036
37	5	2	0	0.142	31202	2037
38	5	3	0	0.142	31203	2038
39	5	4	0	0.142	31204	2039
40	5	5	0	0.142	31204	2040
41	5	6	0	0.142	31204	2041
42	5	7	0	0.142	31204	2042
43	6	1	0	0.142	31202	2043
44	6	2	0	0.142	31202	2044
45	6	3	0	0.142	31203	2045
46	6	4	0	0.142	31204	2046
47	6	5	0	0.142	31204	2047
48	6	6	0	0.142	31204	2048
49	6	7	0	0.142	31204	2049
50	0	1	1	0.142	31102	2101
51	0	2	1	0.142	31102	2102
52	0	3	1	0.142	31103	2103
53	0	4	1	0.142	31104	2104
54	0	5	1	0.142	31104	2105
55	0	6	1	0.142	31104	2106
56	0	7	1	0.142	31104	2107
57	1	1	1	0.142	31202	2108
58	1	2	1	0.142	31202	2109
59	1	3	1	0.142	31203	2110
60	1	4	1	0.142	31204	2111
61	1	5	1	0.142	31204	2112
62	1	6	1	0.142	31204	2113
63	1	7	1	0.142	31204	2114
64	2	1	1	0.142	31202	2115
65	2	2	1	0.142	31202	2116
66	2	3	1	0.142	31203	2117
67	2	4	1	0.142	31204	2118
68	2	5	1	0.142	31204	2119
69	2	6	1	0.142	31204	2120
70	2	7	1	0.142	31204	2121
71	3	1	1	0.142	31202	2122
72	3	2	1	0.142	31202	2123
73	3	3	1	0.142	31203	2124
74	3	4	1	0.142	31204	2125
75	3	5	1	0.142	31204	2126
76	3	6	1	0.142	31204	2127
77	3	7	1	0.142	31204	2128
78	4	1	1	0.142	31202	2129
79	4	2	1	0.142	31202	2130
80	4	3	1	0.142	31203	2131
81	4	4	1	0.142	31204	2132
82	4	5	1	0.142	31204	2133
83	4	6	1	0.142	31204	2134
84	4	7	1	0.142	31204	2135
85	5	1	1	0.142	31202	2136
86	5	2	1	0.142	31202	2137
87	5	3	1	0.142	31203	2138
88	5	4	1	0.142	31204	2139
89	5	5	1	0.142	31204	2140
90	5	6	1	0.142	31204	2141
91	5	7	1	0.142	31204	2142
92	6	1	1	0.142	31202	2143
93	6	2	1	0.142	31202	2144
94	6	3	1	0.142	31203	2145
95	6	4	1	0.142	31204	2146
96	6	5	1	0.142	31204	2147
97	6	6	1	0.142	31204	2148
98	6	7	1	0.142	31204	2149
99	0	1	2	0.142	31102	2201
100	0	2	2	0.142	31102	2202
101	0	3	2	0.142	31103	2203
102	0	4	2	0.142	31104	2204
103	0	5	2	0.142	31104	2205
104	0	6	2	0.142	31104	2206
105	0	7	2	0.142	31104	2207
106	1	1	2	0.142	31202	2208
107	1	2	2	0.142	31202	2209
108	1	3	2	0.142	31203	2210
109	1	4	2	0.142	31204	2211
110	1	5	2	0.142	31204	2212
111	1	6	2	0.142	31204	2213
112	1	7	2	0.142	31204	2214
113	2	1	2	0.142	31202	2215
114	2	2	2	0.142	31202	2216
115	2	3	2	0.142	31203	2217
116	2	4	2	0.142	31204	2218
117	2	5	2	0.142	31204	2219
118	2	6	2	0.142	31204	2220
119	2	7	2	0.142	31204	2221
120	3	1	2	0.142	31202	2222
121	3	2	2	0.142	31202	2223
122	3	3	2	0.142	31203	2224
123	3	4	2	0.142	31204	2225
124	3	5	2	0.142	31204	2226
125	3	6	2	0.142	31204	2227
126	3	7	2	0.142	31204	2228
127	4	1	2	0.142	31202	2229
128	4	2	2	0.142	31202	2230
129	4	3	2	0.142	31203	2231
130	4	4	2	0.142	31204	2232
131	4	5	2	0.142	31204	2233
132	4	6	2	0.142	31204	2234
133	4	7	2	0.142	31204	2235
134	5	1	2	0.142	31202	2236
135	5	2	2	0.142	31202	2237
136	5	3	2	0.142	31203	2238
137	5	4	2	0.142	31204	2239
138	5	5	2	0.142	31204	2240
139	5	6	2	0.142	31204	2241
140	5	7	2	0.142	31204	2242
141	6	1	2	0.142	31202	2243
142	6	2	2	0.142	31202	2244
143	6	3	2	0.142	31203	2245
144	6	4	2	0.142	31204	2246
145	6	5	2	0.142	31204	2247
146	6	6	2	0.142	31204	2248
147	6	7	2	0.142	31204	2249
148	0	1	3	0.142	31102	2301
149	0	2	3	0.142	31102	2302
150	0	3	3	0.142	31103	2303
151	0	4	3	0.142	31104	2304
152	0	5	3	0.142	31104	2305
153	0	6	3	0.142	31104	2306
154	0	7	3	0.142	31104	2307
155	1	1	3	0.142	31202	2308
156	1	2	3	0.142	31202	2309
157	1	3	3	0.142	31203	2310
158	1	4	3	0.142	31204	2311
159	1	5	3	0.142	31204	2312
160	1	6	3	0.142	31204	2313
161	1	7	3	0.142	31204	2314
162	2	1	3	0.142	31202	2315
163	2	2	3	0.142	31202	2316
164	2	3	3	0.142	31203	2317
165	2	4	3	0.142	31204	2318
166	2	5	3	0.142	31204	2319
167	2	6	3	0.142	31204	2320
168	2	7	3	0.142	31204	2321
169	3	1	3	0.142	31202	2322
170	3	2	3	0.142	31202	2323
171	3	3	3	0.142	31203	2324
172	3	4	3	0.142	31204	2325
173	3	5	3	0.142	31204	2326
174	3	6	3	0.142	31204	2327
175	3	7	3	0.142	31204	2328
176	4	1	3	0.142	31202	2329
177	4	2	3	0.142	31202	2330
178	4	3	3	0.142	31203	2331
179	4	4	3	0.142	31204	2332
180	4	5	3	0.142	31204	2333
181	4	6	3	0.142	31204	2334
182	4	7	3	0.142	31204	2335
183	5	1	3	0.142	31202	2336
184	5	2	3	0.142	31202	2337
185	5	3	3	0.142	31203	2338
186	5	4	3	0.142	31204	2339
187	5	5	3	0.142	31204	2340
188	5	6	3	0.142	31204	2341
189	5	7	3	0.142	31204	2342
190	6	1	3	0.142	31202	2343
191	6	2	3	0.142	31202	2344
192	6	3	3	0.142	31203	2345
193	6	4	3	0.142	31204	2346
194	6	5	3	0.142	31204	2347
195	6	6	3	0.142	31204	2348
196	6	7	3	0.142	31204	2349
197	0	1	4	0.142	31102	2401
198	0	2	4	0.142	31102	2402
199	0	3	4	0.142	31103	2403
200	0	4	4	0.142	31104	2404
201	0	5	4	0.142	31104	2405
202	0	6	4	0.142	31104	2406
203	0	7	4	0.142	31104	2407
204	1	1	4	0.142	31202	2408
205	1	2	4	0.142	31202	2409
206	1	3	4	0.142	31203	2410
207	1	4	4	0.142	31204	2411
208	1	5	4	0.142	31204	2412
209	1	6	4	0.142	31204	2413
210	1	7	4	0.142	31204	2414
211	2	1	4	0.142	31202	2415
212	2	2	4	0.142	31202	2416
213	2	3	4	0.142	31203	2417
214	2	4	4	0.142	31204	2418
215	2	5	4	0.142	31204	2419
216	2	6	4	0.142	31204	2420
217	2	7	4	0.142	31204	2421
218	3	1	4	0.142	31202	2422
219	3	2	4	0.142	31202	2423
220	3	3	4	0.142	31203	2424
221	3	4	4	0.142	31204	2425
222	3	5	4	0.142	31204	2426
223	3	6	4	0.142	31204	2427
224	3	7	4	0.142	31204	2428
225	4	1	4	0.142	31202	2429
226	4	2	4	0.142	31202	2430
227	4	3	4	0.142	31203	2431
228	4	4	4	0.142	31204	2432
229	4	5	4	0.142	31204	2433
230	4	6	4	0.142	31204	2434
231	4	7	4	0.142	31204	2435
232	5	1	4	0.142	31202	2436
233	5	2	4	0.142	31202	2437
