Id	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	BornMagic[5]	BornMagic[6]	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	Ability
120102	600201	600202	600203	600204	600205								0
120104	600206												0
130102	600401												0
130104	600403												0
130402	600301												0
130404	600303												0
140102	610402												0
140104	610403												0
140402	610301												0
140404	610303												0
140702	610201												0
140704	610202												0
141002	610101												0
141004	610107												0
141302	600504												0
141602	610410												0
141604	610412												0
141606	610414												0
150102	620801												0
150104	620803												0
150202	620701												0
150204	620705												0
150302	620601	620602	620603	620604	620605								0
150304	620606												0
150402	620501	620506											0
150404	620503												0
150502	620401	620413											0
150504	620406												0
150602	620301	620302	620307										0
150604	620304												0
150702	620201	620202	620217										0
150704	620207												0
150802	620101												0
150804	620103												0
150902	620810												0
150904	620811												0
150906	620814												0
160102	631401												0
160104	631403												0
160202	631201	631202	631203	631204	631205	631206							0
160204	631207												0
160302	631101	631102	631103	631104	631105	631106							0
160304	631107												0
160402	630801												0
160404	630804												0
160502	630701												0
160504	630703												0
160602	630601												0
160604	630605												0
160702	630501												0
160704	630508												0
160802	630401	630409											0
160804	630403												0
160902	630301	630316											0
160904	630306												0
161002	630201	630202	630219										0
161004	630205												0
161102	630101	630102	630130										0
161104	630111												0
161202	631301												0
161204	631306												0
161402	631501	631502											0
161404	631503												0
161502	631001	631002	631003	631004	631005	631006							0
161504	631007	631011											0
161602	512016												0
161604	512017												0
161606	512019												0
190102	600101	600102											0
190104	600103												0
190202	600101	600102											0
190204	600103												0
155002	620901	620902											0
155004	620904												0
161302	630901	630902	630903	630904	630905	630906							0
161304	630907												0
155012	621001	621002	621003	621004	621005	621006							0
155022	621101	621110											0
155032	620912												0
155042	620915												0
155052	620921												0
155054	620923												0
155062	632001												0
155064	632002												0
155072	632005												0
155074	632006												0
155902	620962												0
155904	620963												0
161702	631601	631602											0
161704	631603												0
161802	512037												0
161804	512040												0
161806	512044												0
161902	631701												0
161904	631704												0
162002	512054												0
162004	512055												0
162006	512057												0
162102	631804	631805											0
162104	631801												0
162202	631901												0
162204	631904												0
162302	512077												0
162304	512080												0
162306	512082												0
162402	521011												0
162404	521014												0
162502	522009												0
162504	522012												0
162602	512094												0
162604	512097												0
162606	512098												0
162702	512110												0
162704	512113												0
162802	512124	512125											0
162804	512126												0
162806	512127												0
162902	522025												0
162904	522028												0
162906	512127												0
163002	512136												0
163004	512139												0
163006	512137												0
163102	512153												0
163104	512156												0
163202	512189												0
163204	512192												0
163302	512206												0
163304	512209												0
3000002	620948												0
3000004	620951												0
3000006	620954												0
3000008	620956												0
2000002	620925	620926											0
2000004	620927	620928											0
5000002	620943												0
5000004	620945												0
