Id	Order	EffectPath	Icon	Condition[1]	Condition[2]
1		Assets/Product/Effect/Prefab/FxR2Liang/FxR2LiangPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease01.png		
2		Assets/Product/Effect/Prefab/FxR1Luxiya/FxR1LuxiyaPinzhiGuadianBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease03.png		
3		Assets/Product/Effect/Prefab/FxR1Lifu/FxR1LifuPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease02.png		
4		Assets/Product/Effect/Prefab/FxR2Qishi/FxR2YongyechaoPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png		
5		Assets/Product/Effect/Prefab/FxR2LifuPrefab/Common/FxR2LifuPinzhiGuadianBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease02.png		
6		Assets/Product/Effect/Prefab/FxR2Luxiya/FxR2LuxiyaPinzhiGuadianBip001RUpperArm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease03.png		
7		Assets/Product/Effect/Prefab/FxR3LifuPrefab/Common/FxR3LifuPinzhiGuadianBip001RUpperArm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease02.png		
8		Assets/Product/Effect/Prefab/FxR3ShenweiPrefab/Common/FxR3ShenweiPinzhiGuadianBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease05.png		
9		Assets/Product/Effect/Prefab/FxR2Dubian/FxR2DubianPinzhiGuadianBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png		
10		Assets/Product/Effect/Prefab/FxR2Kalienina/FxR2KalieninaPinzhiGuadianBip001RUpperArm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png		
11		Assets/Product/Effect/Prefab/FxR2Shenwei/FxR2ShenweiPinzhiGuadianBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease05.png		
12		Assets/Product/Effect/Prefab/FxR2Bianka/FxR2BiankaPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease01.png		
13		Assets/Product/Effect/Prefab/FxR3KalieninaPrefab/Common/FxR3KalieninaPinzhiGuadianBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png		
14		Assets/Product/Effect/Prefab/FxR3LiangPrefab/Common/FxR3LiangPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease01.png		
15		Assets/Product/Effect/Prefab/FxR3YongyechaoPrefab/Common/FxR3YongyechaoPinzhiGuadianBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png		
16		Assets/Product/Effect/Prefab/FxR3LuxiyaPrefab/Common/FxR3LuxiyaPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease03.png		
17		Assets/Product/Effect/Prefab/FxR3Dubian/FxR3DubianPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease04.png		
18		Assets/Product/Effect/Prefab/FxR2Aila/FxR2AilaPinzhiGuadianBip001LUpperArm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease06.png		
19		Assets/Product/Effect/Prefab/FxR3Bianka/Common/FxR3BiankaPinzhiGuadianBip001RupperArm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease01.png		
20		Assets/Product/Effect/Prefab/FxR2SufeiyaPrefab/FxR2SufeiyaPinzhiGuadianBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease07.png		
21		Assets/Product/Effect/Prefab/FxR2KuluomuPrefab/Common/FxR2KuluomuPinzhiGuadianBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease01.png		
22		Assets/Product/Effect/Prefab/FxR4LuxiyaPrefab/Common/FxR4LuxiyaPinzhiGuadianBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease03.png		
23		Assets/Product/Effect/Prefab/FxR2WeilaPrefab/Common/FxR2WeilaPinzhiGuadianBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease12.png		
24		Assets/Product/Effect/Prefab/FxR2KamuPrefab/Common/FxR2KamuPinzhiGuadianBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease08.png		
25		Assets/Product/Effect/Prefab/FxR3LuosaitaPrefab/Common/FxR3LuosaitaPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease09.png		
26		Assets/Product/Effect/Prefab/FxR2QuPrefab/Common/FxR2QuPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease10.png		
27		Assets/Product/Effect/Prefab/FxR2ChangyuPrefab/Common/FxR2ChangyuPinzhiGuadianBip001LThigh.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease11.png		
28		Assets/Product/Effect/Prefab/FxR3LunaPrefab/Common/FxR3LunaPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease13.png		
29		Assets/Product/Effect/Prefab/FxR3TwobPrefab/FxR3TwoBPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease11.png		
30		Assets/Product/Effect/Prefab/FxR3NinesPrefab/Common/FxR3NinesPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease11.png		
31		Assets/Product/Effect/Prefab/FxR3AtwoPrefab/FxR3AtwoPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease11.png		
32		Assets/Product/Effect/Prefab/FxR2WanshiPrefab/Common/FxR2WanshiPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease10.png		
33		Assets/Product/Effect/Prefab/FxR3Sailinna/Common/FxR3SailinnaPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease14.png		
34		Assets/Product/Effect/Prefab/FxR3KuluomuPrefab/Common/FxR3KuluomuPinzhiGuadianBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease01.png		
35		Assets/Product/Effect/Prefab/FxR2TwentyonePrefab/Common/FxR2TwentyonePinzhiGuadianBip001RCalf.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease15.png		
36		Assets/Product/Effect/Prefab/FxR3WeilaPrefab/Common/FxR3WeilaPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease12.png		
37		Assets/Product/Effect/Prefab/FxR2LuolanPrefab/Common/FxR2LuolanPinzhiGuadianBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease16.png		
38		Assets/Product/Effect/Prefab/FxR4LifuPrefab/Common/FxR4LifuBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease17.png		
39		Assets/Product/Effect/Prefab/FxR4SailinnaPrefab/Common/FxR4SailinnaBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease18.png		
40		Assets/Product/Effect/Prefab/FxR2PulaoPrefab/Common/FxR2PulaoPinzhiGuadianBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease19.png		
41		Assets/Product/Effect/Prefab/FxR4YongyechaobotPrefab/Common/FxR4YongyechaobotBip002RUpperArm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease20.png		
42		Assets/Product/Effect/Prefab/FxR2HakamaPrefab/Common/FxR2HakamaAtkBip001RHand.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease21.png		
43		Assets/Product/Effect/Prefab/FxR4KalieninaPrefab/Common/FxR4KalieninaAtkBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease22.png		
44		Assets/Product/Effect/Prefab/FxR2NuoanPrefab/Common/FxR2NuoanGuadianBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease23.png		
45		Assets/Product/Effect/Prefab/FxR4BiankaPrefab/Common/FxR4BiankaPinzhiGuadianBoneRUpperArmTwist.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease24.png		
46		Assets/Product/Effect/Prefab/FxR2BangbinataPrefab/Common/FxR2BangbinataBip001LUpperArm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease25.png		
47		Assets/Product/Effect/Prefab/FxR4LiangPrefab/Common/FxR4LiangBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease26.png		
48		Assets/Product/Effect/Prefab/FxR3AilaPrefab/Common/FxR3AilaBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease27.png		
49		Assets/Product/Effect/Prefab/FxR3Bianka/R3BiankaMd019141/FxR3BiankaPinzhiGuadianBip001RupperArm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease26.png		
50		Assets/Product/Effect/Prefab/FxR3LuosaitaPrefab/R3LuosaitaMd019241/FxR3LuosaitaPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease26.png		
51		Assets/Product/Effect/Prefab/FxR3LunaPrefab/R3LunaMd019251/FxR3LunaPinzhiGuadianBip001LForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease26.png		
52		Assets/Product/Effect/Prefab/FxR4SailinnaPrefab/R4SailinnaMd019261/FxR4SailinnaBip001RForearm.prefab	Assets/Product/Texture/Image/IconTools/IconSkillRelease26.png		
