Key	Type	Value
DamageRandomMin	int	9500
DamageRandomMax	int	10500
DamageFormulaParam	int	3000
CritFormulaParam1	int	1980
CritFormulaParam2	int	20
RestStandWaitTime	fix	0
ComboDuration	fix	3
DefaultNpcMaxHitValue	int	100
BallMoveSpeed	int	2000
BallWidth	int	1000
BallBoxLength	int	7000
ThreatAttenuationCoefficient	fix	0.995
MaxBallReserve	int	8
DodgeLimitMagicToMe	string	100081
DodgeLimitMagicToTarget	string	100082
DodgeLimitMagicToMeEx	string	100083
DodgeLimitMagicToTargetEx	string	100084
DodgeLimitInterval	fix	1
SwitchInvincibleMagicIds	string	100039
RunStartIncludedAngle	fix	170
MaxBuffAccumulation	int	10000
FindPathInterval	int	10
CheckStateChangeInterval	int	5
EnterPathFindLimit	int	5
ExitPathFindLimit	int	15
PathFinderMaxNodes	int	512
PathFinderMaxCheckCount	int	350
AreaFinderMaxNodes	int	512
AreaFinderMaxCheckCount	int	256
HitFlyUpAccelerationSpeed	fix	-15
HitFlyDownAccelerationSpeed	fix	30
MaxHitFlyHeight	fix	3
HitFlyHeightDamping	fix	0.8
HookRopeSpeed	fix	30
PeripheralCollision	fix	3
ExecuteKind	int	100
DynamicScoringBreakthroughPercentage	fix	0
DynamicScoringExecuteEffectScore	fix	2500
DynamicScoringNormalEffectScore	fix	1250
NpcQuadTreeEnable	bool	1
HackChangePExcludeKinds	string	102|104
AntiHackChangePExcludeKinds	string	0
