Id	Type	Priority	PrefixRoot	Root	PreLoadRoot
960003	OnFrame	3	680000000	680000011	
960404	OnSkill	3	680000049	680000054	
901405	OnNpcWillDie	3	680000067	680000072	
901907	OnFrame	3	680000081	680000084	
901908	OnFrame	3	680000093	680000098	
901910	OnNpcWillDie	3	680000121	680000123	
901911	OnFrame	3	680000127	680000130	
901912	OnFrame	3	680000136	680000139	
901927	OnFrame	3	680000564	680000567	
901928	OnFrame	3	680000576	680000582	
901929	OnFrame	3	680000605	680000608	
901930	OnFrame	3	680000614	680000617	
901914	OnFrame	3	680000148	680000150	
901915	OnFrame	3	680000155	680000161	
901917	OnBeforeDamage	3	680000183	680000190	
902120	OnFrame	3	680000626	680000629	
902121	OnFrame	3	680000637	680000644	
902122	OnFrame	3	680000677	680000680	
902123	OnFrame	3	680000687	680000690	
904280	OnFrame	3	680000557	680000559	
910300	OnFrame	3		680000218	
910900	OnFrame	3		680000226	
911000	OnFrame	3		680000232	
911100	OnFrame	3		680000238	
911200	OnFrame	3		680000245	
911300	OnFrame	3		680000252	
911400	OnFrame	3		680000259	
911500	OnFrame	3		680000264	
911600	OnFrame	3		680000272	
911700	OnFrame	3		680000279	
911800	OnFrame	3		680000289	
911900	OnFrame	3		680000297	
912000	OnFrame	3		680000305	
912100	OnFrame	3		680000308	
912500	OnFrame	3		680000317	
912600	OnFrame	3		680000320	
913300	OnFrame	3		680000323	
913400	OnFrame	3		680000326	
913500	OnFrame	3		680000329	
913600	OnFrame	3		680000332	
913700	OnFrame	3		680000335	
913800	OnFrame	3		680000338	
913900	OnFrame	3		680000341	
914000	OnFrame	3		680000344	
914100	OnFrame	3		680000348	
914200	OnFrame	3		680000351	
914300	OnFrame	3		680000354	
920300	OnFrame	3		680000357	
920900	OnFrame	3		680000363	
921000	OnFrame	3		680000368	
921100	OnFrame	3		680000373	
921200	OnFrame	3		680000379	
921300	OnFrame	3		680000385	
921400	OnFrame	3		680000391	
921500	OnFrame	3		680000395	
921600	OnFrame	3		680000402	
921700	OnFrame	3		680000408	
921800	OnFrame	3		680000417	
921900	OnFrame	3		680000424	
922000	OnFrame	3		680000431	
922100	OnFrame	3		680000434	
922500	OnFrame	3		680000442	
922600	OnFrame	3		680000445	
923300	OnFrame	3		680000448	
923400	OnFrame	3		680000451	
923500	OnFrame	3		680000454	
923600	OnFrame	3		680000457	
923700	OnFrame	3		680000460	
923800	OnFrame	3		680000463	
923900	OnFrame	3		680000466	
924000	OnFrame	3		680000469	
924100	OnFrame	3		680000473	
924200	OnFrame	3		680000476	
924300	OnFrame	3		680000479	
914600	OnFrame	3		680000482	
924600	OnFrame	3		680000486	
914500	OnFrame	3		680000492	
924500	OnFrame	3		680000496	
916600	OnFrame	3		680000504	
926600	OnFrame	3		680000512	
916900	OnFrame	3		680000520	
926900	OnFrame	3		680000524	
917500	OnFrame	3		680000529	
927500	OnFrame	3		680000533	
917600	OnFrame	3		680000536	
927600	OnFrame	3		680000540	
917700	OnFrame	3		680000543	
927700	OnFrame	3		680000547	
917800	OnFrame	3		680000550	
927800	OnFrame	3		680000554	
