Id	Type	Priority	PrefixRoot	Root	PreLoadRoot
800001	OnBeforeDamage	3	870000000	870000003	
800006	OnBeforeDamage	3	870000011	870000018	
800007	OnBeforeDamage	3		870000031	
800012	OnBeforeDamage	3		870000039	
800013	OnBeforeDamage	3		870000049	
800014	OnBeforeDamage	3	870000087	870000091	
800019	OnFrame	3	870000105	870000107	
800040	OnFrame	3		870000277	
800061	OnNpcWillDie	3		870000113	
800062	OnNpcWillDie	3		870000115	
800063	OnNpcWillDie	3		870000118	
800064	OnNpcWillDie	3		870000122	
800065	OnNpcWillDie	3		870000127	
800066	OnNpcWillDie	3		870000133	
800067	OnNpcWillDie	3		870000140	
800093	OnFrame	3	870000147	870000151	
800094	OnFrame	3	870000172	870000176	
800095	OnFrame	3	870000197	870000201	
800096	OnFrame	3	870000222	870000226	
800097	OnFrame	3	870000247	870000251	
