Id	Type	Negative	Name	Param	Children[1]	Children[2]	Children[3]	Children[4]	Children[5]	Children[6]	Children[7]	Children[8]	Children[9]	Children[10]	Children[11]	Children[12]	Children[13]	Children[14]	Children[15]	Children[16]	Children[17]	Children[18]	Children[19]	Children[20]	Children[21]	Children[22]	Children[23]	Children[24]	Children[25]	Children[26]	Children[27]	Children[28]	Children[29]	Children[30]	Children[31]	Children[32]	Children[33]	Children[34]	Children[35]	Children[36]	Children[37]	Children[38]	Children[39]	Children[40]	Children[41]	Children[42]	Children[43]	Children[44]	Children[45]	Children[46]	Children[47]	Children[48]	Children[49]	Children[50]
380000000	2				380000001	380000002	200105	380000004																																														
380000001	0		DoSetNpcId	1#1|70010																																																		
380000002	0		DoSetInt	1#2|903301																																																		
380000004	0		DoSetInt	1#4|5																																																		
380000005	2				200107																																																	
380000007	2				380000008	380000009	200105	380000011																																														
380000008	0		DoSetNpcId	1#1|70020																																																		
380000009	0		DoSetInt	1#2|903301																																																		
380000011	0		DoSetInt	1#4|5																																																		
380000012	2				200107																																																	
380000014	2				380000015	380000016	200105	380000018																																														
380000015	0		DoSetNpcId	1#1|70030																																																		
380000016	0		DoSetInt	1#2|903301																																																		
380000018	0		DoSetInt	1#4|5																																																		
380000019	2				200107																																																	
380000021	2				380000022	380000023	200105	380000025																																														
380000022	0		DoSetNpcId	1#1|70040																																																		
380000023	0		DoSetInt	1#2|903301																																																		
380000025	0		DoSetInt	1#4|5																																																		
380000026	2				200107																																																	
380000028	2				380000029	380000030	200105	380000032																																														
380000029	0		DoSetNpcId	1#1|70050																																																		
380000030	0		DoSetInt	1#2|903301																																																		
380000032	0		DoSetInt	1#4|5																																																		
380000033	2				200107																																																	
380000035	2				380000036	380000037	200105	380000039																																														
380000036	0		DoSetNpcId	1#1|70060																																																		
380000037	0		DoSetInt	1#2|903301																																																		
380000039	0		DoSetInt	1#4|5																																																		
380000040	2				200107																																																	
380000042	2				380000043	380000044	200105	380000046																																														
380000043	0		DoSetNpcId	1#1|70070																																																		
380000044	0		DoSetInt	1#2|903301																																																		
380000046	0		DoSetInt	1#4|5																																																		
380000047	2				200107																																																	
380000049	2				380000050	380000051	200105	380000053																																														
380000050	0		DoSetNpcId	1#1|70080																																																		
380000051	0		DoSetInt	1#2|903301																																																		
380000053	0		DoSetInt	1#4|5																																																		
380000054	2				200107																																																	
380000056	2				380000057	380000058	200105	380000060																																														
380000057	0		DoSetNpcId	1#1|70120																																																		
380000058	0		DoSetInt	1#2|903301																																																		
380000060	0		DoSetInt	1#4|5																																																		
380000061	2				200107																																																	
380000063	2				380000064	380000065	200105	380000067																																														
380000064	0		DoSetNpcId	1#1|70130																																																		
380000065	0		DoSetInt	1#2|903301																																																		
380000067	0		DoSetInt	1#4|5																																																		
380000068	2				200107																																																	
380000070	2				380000071	380000072	200105	380000074																																														
380000071	0		DoSetNpcId	1#1|81100																																																		
380000072	0		DoSetInt	1#2|903301																																																		
