Id	Type	Negative	Name	Param	Children[1]	Children[2]	Children[3]	Children[4]	Children[5]	Children[6]	Children[7]	Children[8]	Children[9]	Children[10]	Children[11]	Children[12]	Children[13]	Children[14]	Children[15]	Children[16]	Children[17]	Children[18]	Children[19]	Children[20]	Children[21]	Children[22]	Children[23]	Children[24]	Children[25]	Children[26]	Children[27]	Children[28]	Children[29]	Children[30]	Children[31]	Children[32]	Children[33]	Children[34]	Children[35]	Children[36]	Children[37]	Children[38]	Children[39]	Children[40]	Children[41]	Children[42]	Children[43]	Children[44]	Children[45]	Children[46]	Children[47]	Children[48]	Children[49]	Children[50]
440000000	3				900018	200009	440000003	440007891	440000004	440000016																																												
440000003	0		DoSetInt	1#40001|0																																																		
440007891	0		DoGetTime	1#39990|240																																																		
440000004	2				440000005	440000006	440000007	440000008	440000009	440000010	440000011	440000012	440000013	440000014	440000015																																							
440000005	0		DoSetInt	1#41001|0																																																		
440000006	0		DoSetInt	1#101|1																																																		
440000007	0		DoSetInt	1#102|0																																																		
440000008	0		DoSetInt	1#103|0																																																		
440000009	0		DoSetInt	1#201|0																																																		
440000010	0		DoSetInt	1#202|0																																																		
440000011	0		DoSetInt	1#203|0																																																		
440000012	0		DoSetInt	1#204|0																																																		
440000013	0		DoSetInt	1#205|0																																																		
440000014	0		DoSetInt	1#206|0																																																		
440000015	0		DoGetTime	1#60001|0																																																		
440000016	2				440001009	440001010	440001627	440001664	440001665	440001666	440001667																																											
440001009	0		DoSetInt	1#41002|0																																																		
440001010	0		DoSetInt	1#41003|0																																																		
440001627	0		DoSetInt	1#42001|0																																																		
440001664	0		DoSetInt	1#41004|0																																																		
440001665	0		DoSetInt	1#52001|0																																																		
440001666	0		DoSetInt	1#52002|0																																																		
440001667	0		DoSetInt	1#52003|0																																																		
440000017	3				440000018																																																	
440000018	2				200000	440000020																																																
440000020	3				200023	440001628	440000022	440000122	440000130	440001011	440000292	440000392	440000400	440000562	440000572	440001021	440000734	440000834	440000842	440001031	440001041	440001203	440001214	440001376	440001386	440001579	440001590	440001595	440001669																									
440001628	2				440001629	440001617	440001630	440001631	440001632																																													
440001629	0		CheckInt	1#40001|0|1																																																		
440001617	0		DoTipsShow	300601041|0|0																																																		
440001630	0		DoSetInt	1#42001|1																																																		
440001631	0		DoGetTime	1#60001|1.5																																																		
440001632	0		DoAddInt	1#40001|1#40001|1																																																		
440000022	2				440000023	440000024	440000025	440001731	440001633	440000026	440000120	440000121																																										
440000023	0		CheckInt	1#41001|2|1																																																		
440000024	0		CheckInt	1#40001|1|1																																																		
440000025	0		CheckPassTime	1#60001|0																																																		
440001731	0		DoSetInt	1#42001|2																																																		
440001633	0		DoTipsShow	300601042|1#101|0																																																		
440000026	3				440000027	440000058	440000089																																															
440000027	2				440000028	440000029	440000030	440000031	440000032	440000057	440007690																																											
440000028	0		DoGetSummonNpcArgsEx	1#101|1|1#102|1#103|1#201|1#202|1#203|1#204|1#205|1#206																																																		
440000029	0		CheckNote	1#102																																																		
440000030	0	1	CheckInt	1#102|0|1																																																		
440000031	0		DoAddNpc	0|1#31001|1#102|1#103|2|B101|0|0|S1|0|0|0																																																		
440000032	3				440000033	440000037	440000041	440000045	440000049	440000053																																												
440000033	2				440000034	440000035	440000036																																															
440000034	0		CheckNote	1#201																																																		
440000035	0	1	CheckInt	1#201|0|1																																																		
440000036	0		DoMagic	1#31001|1#31001|0|1#201																																																		
440000037	2				440000038	440000039	440000040																																															
440000038	0		CheckNote	1#202																																																		
440000039	0	1	CheckInt	1#202|0|1																																																		
440000040	0		DoMagic	1#31001|1#31001|0|1#202																																																		
440000041	2				440000042	440000043	440000044																																															
440000042	0		CheckNote	1#203																																																		
440000043	0	1	CheckInt	1#203|0|1																																																		
440000044	0		DoMagic	1#31001|1#31001|0|1#203																																																		
440000045	2				440000046	440000047	440000048																																															
440000046	0		CheckNote	1#204																																																		
440000047	0	1	CheckInt	1#204|0|1																																																		
440000048	0		DoMagic	1#31001|1#31001|0|1#204																																																		
440000049	2				440000050	440000051	440000052																																															
440000050	0		CheckNote	1#205																																																		
440000051	0	1	CheckInt	1#205|0|1																																																		
440000052	0		DoMagic	1#31001|1#31001|0|1#205																																																		
440000053	2				440000054	440000055	440000056																																															
440000054	0		CheckNote	1#206																																																		
440000055	0	1	CheckInt	1#206|0|1																																																		
440000056	0		DoMagic	1#31001|1#31001|0|1#206																																																		
440000057	0		DoMagic	1#31001|1#31001|0|740285																																																		
440007690	0		DoMagic	1#31001|1#31001|0|740329																																																		
440000058	2				440000059	440000060	440000061	440000062	440000063	440000088	440007691																																											
440000059	0		DoGetSummonNpcArgsEx	1#101|2|1#102|1#103|1#201|1#202|1#203|1#204|1#205|1#206																																																		
440000060	0		CheckNote	1#102																																																		
440000061	0	1	CheckInt	1#102|0|1																																																		
440000062	0		DoAddNpc	0|1#31002|1#102|1#103|2|B102|0|0|S1|0|0|0																																																		
440000063	3				440000064	440000068	440000072	440000076	440000080	440000084																																												
440000064	2				440000065	440000066	440000067																																															
440000065	0		CheckNote	1#201																																																		
440000066	0	1	CheckInt	1#201|0|1																																																		
440000067	0		DoMagic	1#31002|1#31002|0|1#201																																																		
440000068	2				440000069	440000070	440000071																																															
440000069	0		CheckNote	1#202																																																		
440000070	0	1	CheckInt	1#202|0|1																																																		
440000071	0		DoMagic	1#31002|1#31002|0|1#202																																																		
440000072	2				440000073	440000074	440000075																																															
440000073	0		CheckNote	1#203																																																		
440000074	0	1	CheckInt	1#203|0|1																																																		
440000075	0		DoMagic	1#31002|1#31002|0|1#203																																																		
440000076	2				440000077	440000078	440000079																																															
440000077	0		CheckNote	1#204																																																		
440000078	0	1	CheckInt	1#204|0|1																																																		
440000079	0		DoMagic	1#31002|1#31002|0|1#204																																																		
440000080	2				440000081	440000082	440000083																																															
440000081	0		CheckNote	1#205																																																		
440000082	0	1	CheckInt	1#205|0|1																																																		
440000083	0		DoMagic	1#31002|1#31002|0|1#205																																																		
440000084	2				440000085	440000086	440000087																																															
440000085	0		CheckNote	1#206																																																		
440000086	0	1	CheckInt	1#206|0|1																																																		
440000087	0		DoMagic	1#31002|1#31002|0|1#206																																																		
440000088	0		DoMagic	1#31002|1#31002|0|740285																																																		
440007691	0		DoMagic	1#31002|1#31002|0|740329																																																		
440000089	2				440000090	440000091	440000092	440000093	440000094	440000119	440007692																																											
440000090	0		DoGetSummonNpcArgsEx	1#101|3|1#102|1#103|1#201|1#202|1#203|1#204|1#205|1#206																																																		
440000091	0		CheckNote	1#102																																																		
440000092	0	1	CheckInt	1#102|0|1																																																		
440000093	0		DoAddNpc	0|1#31003|1#102|1#103|2|B103|0|0|S1|0|0|0																																																		
440000094	3				440000095	440000099	440000103	440000107	440000111	440000115																																												
440000095	2				440000096	440000097	440000098																																															
440000096	0		CheckNote	1#201																																																		
440000097	0	1	CheckInt	1#201|0|1																																																		
440000098	0		DoMagic	1#31003|1#31003|0|1#201																																																		
440000099	2				440000100	440000101	440000102																																															
440000100	0		CheckNote	1#202																																																		
440000101	0	1	CheckInt	1#202|0|1																																																		
440000102	0		DoMagic	1#31003|1#31003|0|1#202																																																		
440000103	2				440000104	440000105	440000106																																															
440000104	0		CheckNote	1#203																																																		
440000105	0	1	CheckInt	1#203|0|1																																																		
440000106	0		DoMagic	1#31003|1#31003|0|1#203																																																		
