Id	Type	Negative	Name	Param	Children[1]	Children[2]	Children[3]	Children[4]	Children[5]	Children[6]	Children[7]	Children[8]	Children[9]	Children[10]	Children[11]	Children[12]	Children[13]	Children[14]	Children[15]	Children[16]	Children[17]	Children[18]	Children[19]	Children[20]	Children[21]	Children[22]	Children[23]	Children[24]	Children[25]	Children[26]	Children[27]	Children[28]	Children[29]	Children[30]	Children[31]	Children[32]	Children[33]	Children[34]	Children[35]	Children[36]	Children[37]	Children[38]	Children[39]	Children[40]	Children[41]	Children[42]	Children[43]	Children[44]	Children[45]	Children[46]	Children[47]	Children[48]	Children[49]	Children[50]
600000000	2				600000001	600000002	200105	600000004																																														
600000001	0		DoSetNpcId	1#1|8320																																																		
600000002	0		DoSetInt	1#2|832001																																																		
600000004	0		DoSetInt	1#4|5																																																		
600000005	2				200104																																																	
600000007	2				600000008	600000009	200105	600000011																																														
600000008	0		DoSetNpcId	1#1|8320																																																		
600000009	0		DoSetInt	1#2|832002																																																		
600000011	0		DoSetInt	1#4|5																																																		
600000012	2				200104																																																	
600000014	2				600000015	600000016	200105	600000018																																														
600000015	0		DoSetNpcId	1#1|8320																																																		
600000016	0		DoSetInt	1#2|832003																																																		
600000018	0		DoSetInt	1#4|5																																																		
600000019	2				200104																																																	
600000021	2				600000022	600000023	200105	600000025																																														
600000022	0		DoSetNpcId	1#1|8320																																																		
600000023	0		DoSetInt	1#2|832004																																																		
600000025	0		DoSetInt	1#4|5																																																		
600000026	2				200104																																																	
600000028	2				600000029	600000030	200105	600000032																																														
600000029	0		DoSetNpcId	1#1|8320																																																		
600000030	0		DoSetInt	1#2|832005																																																		
600000032	0		DoSetInt	1#4|5																																																		
600000033	2				200104																																																	
600000035	2				600000036	600000037	200105	600000039																																														
600000036	0		DoSetNpcId	1#1|8320																																																		
600000037	0		DoSetInt	1#2|832006																																																		
600000039	0		DoSetInt	1#4|5																																																		
600000040	2				200104																																																	
600000042	2				600000043	600000044	200105	600000046																																														
600000043	0		DoSetNpcId	1#1|8320																																																		
600000044	0		DoSetInt	1#2|832007																																																		
600000046	0		DoSetInt	1#4|5																																																		
600000047	2				200104																																																	
600000049	2				600000050	600000051	200105	600000053																																														
600000050	0		DoSetNpcId	1#1|8320																																																		
600000051	0		DoSetInt	1#2|832008																																																		
600000053	0		DoSetInt	1#4|5																																																		
600000054	2				200104																																																	
600000056	2				600000057	600000058	200105	600000060																																														
600000057	0		DoSetNpcId	1#1|8320																																																		
600000058	0		DoSetInt	1#2|832009																																																		
600000060	0		DoSetInt	1#4|5																																																		
600000061	2				200104																																																	
600000063	2				600000064	600000065	200105	600000067																																														
600000064	0		DoSetNpcId	1#1|8320																																																		
600000065	0		DoSetInt	1#2|832011																																																		
600000067	0		DoSetInt	1#4|5																																																		
600000068	2				200104																																																	
600000070	2				600000071	600000072	200105	600000074																																														
600000071	0		DoSetNpcId	1#1|8320																																																		
600000072	0		DoSetInt	1#2|832012																																																		
600000074	0		DoSetInt	1#4|5																																																		
600000075	2				200104																																																	
600000077	2				600000078	600000079	200105	600000081																																														
600000078	0		DoSetNpcId	1#1|8320																																																		
600000079	0		DoSetInt	1#2|832016																																																		
600000081	0		DoSetInt	1#4|5																																																		
600000082	2				200104																																																	
600000084	2				600000085	600000086	200105	600000088																																														
600000085	0		DoSetNpcId	1#1|8320																																																		
600000086	0		DoSetInt	1#2|832017																																																		
