Id	Name	Desc	Delay	Duration	EffectType	AffixId	GroupIds	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd	Icon	DyingRemove
120601			0	-1				1	0	1206010								1		
120602			0	-1				1	0	1206020								1		
120603			0	-1				1	0	1206030								1		
120604			0	-1				1	0	1206040								1		
120605			0	-1				1	0	1206050								1		
120606			0	-1				1	0	1206060								1		
120607			0	-1				1	0	1206070								1		
120608			0	-1				1	0	1206080								1		
120609			0	-1				1	0	1206090								1		
120610			0	-1				1	0	1206100			120610000					1		
120611			0	-1				1	0	1206110								1		
120612			0	-1				1	0	1206120								1		
120613			0	-1				1	0	1206130								1		
120614			0	-1				1	0	1206140								1		
120615			0	-1				1	0	1206150								1		
120616			0	-1				1	0	1206160								1		
120617			0	-1				1	0	1206170								1		
120618			0	-1				1	0	1206180								1		
120619			0	-1				1	0	1206190								1		
120621			0	-1				1	0	1206210			120621000							
120622			0	-1				1	0	1206220			120622000							
120623			0	-1				1	0	1206230			120623000							
120624			0	-1				1	0	1206240			120624000							
120625			0	-1				1	0	1206250			120625000							
120626			0	-1				1	0	1206260			120626000							
120627			0	-1				1	0	1206270			120627000							
120628			0	-1				1	0	1206280			120628000							
120629			0	-1				1	0	1206290			120629000							
120630			0	-1				1	0	1206300										
120631			0	-1				1	0	1206310			120631000							
120632			0	-1				1	0	1206320			120632000							
120633			0	-1				1	0	1206330			120633000							
120634			0	-1				1	0	1206340			120634000							
120635			0	-1				1	0	1206350			120635000							
120636			0	-1				1	0	1206360			120636000							
120637			0	-1				1	0	1206370			120637000							
120638			0	-1				1	0	1206380			120638000							
120639			0	-1				1	0	1206390			120639000							
120640			0	-1				1	0	1206400			120640000							
120641			0	-1				1	0	1206410			120641000							
120642			0	-1				1	0	1206420	1206430|1206440|1206450			FxR3PodcAtk01	Root			1		
120643			0	6.5				1	0	1206430	1206420			FxR3PodcAtk01CD6s	Root			1		
120644			0	4.5				1	0	1206440	1206420			FxR3PodcAtk01CD4s	Root			1		
120645			0	3.5				1	0	1206450	1206420			FxR3PodcAtk01CD3s	Root			1		
120646			0	0.25				1	0	1206460	1206420|1206430|1206440|1206450	1206420|1206430|1206440|1206450						1		
120647			0	18.5				1	0	1206470	1206470			FxR3PodcAtkCD18	Root					
120648			0	16.5				1	0	1206480	1206480			FxR3PodcAtkCD16	Root					
120649			0	14.5				1	0	1206490	1206490			FxR3PodcAtkCD14	Root					
120650			0	-1				1	0	1206500			120650000							
120651			0	10				1	0	1206510	1206510							1		
120652			0	10				1	0	1206520	1206520							1		
120653			0	10				1	0	1206530	1206530							1		
120654			0	11				1	0	1206540				FxR3PodcAtk21	Root					
120655			0	11				1	0	1206550				FxR3PodcAtk22	Root					
120656			0	11				1	0	1206560				FxR3PodcAtk23	Root					
120657			0	3.4				1	0	1206570	1206570							1		
120658			0	5.2				1	0	1206580	1206580							1		
120659			0	8.2				1	0	1206590	1206590							1		
120660			0	-1				1	0	1206600			120660000							
120661			0	-1				1	0	1206610	1206620|1206630							1		
120662			0	-1				1	0	1206620	1206620	1206620	120662000					1		
120663			0	-1				1	0	1206630	1206630	1206630	120663000					1		
120664			0	-1				1	0	1206640								1		
120665			0	0				1	0	1206650	1206640							1		
120666			0	-1				1	0	1206660			120666000					1		
120667			0	0.1				1	0	1206670	1206660							1		
120668			0	10.5				1	0	1206680	1206680			FxR3PodcAtkCD10	Root					
120669			0	8.5				1	0	1206690	1206690			FxR3PodcAtkCD8	Root					
120670			0	6.5				1	0	1206700	1206700			FxR3PodcAtkCD6	Root					
120680			0	3	17			1	0	1206800|17|5|10			120680000	FxTongyongYunxuan	MarkCase					
120690			0	15.5				1	0	1206900	1206900			FxR3PodcAtkCD15	Root					
120691			0	1				2	0	1206910								1		
120692			0	1				2	0	1206920								1		
120693			0	1				2	0	1206930								1		
120694			0	1				2	0	1206940								1		
120695			0	1				2	0	1206950								1		
120696			0	-1				1	0	1206960								1		
120698			0	-1				1	0	1206980										
120699			0	-1				1	0	1206990										
120600			0	-1				1	0	1206000										
