Id	Name	Desc	Delay	Duration	EffectType	AffixId	GroupIds	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd	Icon	DyingRemove
873601			0	-1				1	0	8736010			873601000							
873602			0	-1				1	0	8736020			873602000							
873603			0	-1				1	0	8736030			873603000							
873604			0	0.05				1	0	8736040										
873605			0	-1				1	0	8736050			873605000							
873608			0	0				1	0	8736080			873608000							
873618			0	0				1	0	8736180			873618000							
873620			0	0				1	0	8736200			873620000							
873621			0	-1				1	0	8736210			873621000							
873623			0	0				1	0	8736230										
873625			0	0				1	0	8736250			873625000							
873626			0	-1				1	0	8736260			873626000							
873627			0	-1				1	0	8736270			873627000							
873628			0	0.2				1	0	8736280			873628000							
873629			0	3				-1	0	8736290										
873630			0	3				-1	0	8736300			873630000							
873631			0	0.3				1	0	8736310				FxMb1CubeMd050001Attack06Shouji	HitCase					
873632			0	-1				1	0	8736320										
873633			0	-1				1	0	8736330			873633000							
873634			0	-1				1	0	8736340			873634000							
873636			0	-1				-1	0	8736360				FxMb1CubeMd050001Bone027	Bone027					
873637			0	-1				-1	0	8736370			873637000							
873638			0	-1				-1	0	8736380			873638000							
873639			0	-1				1	0	8736390			873639000							
873640			0	-1				1	0	8736400|8736390			873640000							
873641			0	-1				1	0	8736410|8736390			873641000					1		
873642			0	0				1	0	8736420	8736390|8736400|8736410	8736390|8736400|8736410								
873643			0	-1				1	0	8736430			873643000							
873901			0	-1				1	0	8739010			873901000							
873902			0	-1				1	0	8739020			873902000							
873903			0	10				-1	0	8739030			873903000							
873904			0	10				-1	0	8739040			873904000							
873905			0	10				-1	0	8739050			873905000							
873906			0	5				-1	0	8739060			873906000							
873907			0	5				-1	0	8739070			873907000							
873908			0	5				-1	0	8739080			873908000							
873909			0	3.5				-1	0	8739090			873909000							
873910			0	3.5				-1	0	8739100			873910000							
873911			0	3.5				-1	0	8739110			873911000							
873912			0	2				-1	0	8739120			873912000							
873913			0	2				-1	0	8739130			873913000							
873914			0	2				-1	0	8739140			873914000							
873915			0	20				-1	0	8739150										
873916			0	-1				-1	0	8739160			873916000							
873917			0	0.2				-1	0	8739170			873917000							
873918			0	-1				-1	0	8739180			873918000							
873919			0	0				-1	0	8739190										
873920			0	4				-1	0	8739200			873920000							
873921			0	4				-1	0	8739210			873921000							
873922			0	4				-1	0	8739220			873922000							
873923			0	2				-1	0	8739230			873923000							
873924			0	2				-1	0	8739240			873924000							
873925			0	2				-1	0	8739250			873925000							
873926			0	4				-1	0	8739260			873926000							
873927			0	4				-1	0	8739270			873927000							
873928			0	4				-1	0	8739280			873928000							
873929			0	2				-1	0	8739290			873929000							
873930			0	2				-1	0	8739300			873930000							
873931			0	2				-1	0	8739310			873931000							
874101			0	3.7				-1	0	8741010										
874102			0	3.7				-1	0	8741020			874102000							
874103			0	1				-1	0	8741030|8741033				FxMb1CubeMd010001Attack0101	tx01					
874104			0	1				-1	0	8741040|8741033				FxMb1CubeMd010001Attack0101	tx02					
874105			0	1				-1	0	8741050|8741033				FxMb1CubeMd010001Attack0101	tx06					
874106			0	1				-1	0	8741060|8741033				FxMb1CubeMd010001Attack0101	tx00					
874107			0	1				-1	0	8741070|8741033				FxMb1CubeMd010001Attack0101	tx07					
874108			0	1				-1	0	8741080|8741033				FxMb1CubeMd010001Attack0101	tx03					
874109			0	1				-1	0	8741090|8741033				FxMb1CubeMd010001Attack0101	tx05					
874110			0	1				-1	0	8741100|8741033				FxMb1CubeMd010001Attack0101	tx04					
874111			0	1				-1	0	8741110|8741033				FxMb1CubeMd010001Attack0102Yujing	tx01					
874112			0	1				-1	0	8741120|8741033				FxMb1CubeMd010001Attack0102Yujing	tx02					
874113			0	1				-1	0	8741130|8741033				FxMb1CubeMd010001Attack0102Yujing	tx06					
874114			0	1				-1	0	8741140|8741033				FxMb1CubeMd010001Attack0102Yujing	tx00					
874115			0	1				-1	0	8741150|8741033				FxMb1CubeMd010001Attack0102Yujing	tx07					
874116			0	1				-1	0	8741160|8741033				FxMb1CubeMd010001Attack0102Yujing	tx03					
874117			0	1				-1	0	8741170|8741033				FxMb1CubeMd010001Attack0102Yujing	tx05					
874118			0	1				-1	0	8741180|8741033				FxMb1CubeMd010001Attack0102Yujing	tx04					
874119			0	1.3				-1	0	8741190|8741033				FxMb1CubeMd010001Attack0104Yujing	tx01					
874120			0	1.3				-1	0	8741200|8741033				FxMb1CubeMd010001Attack0104Yujing	tx02					
874121			0	1.3				-1	0	8741210|8741033				FxMb1CubeMd010001Attack0104Yujing	tx06					
874122			0	1.3				-1	0	8741220|8741033				FxMb1CubeMd010001Attack0104Yujing	tx00					
874123			0	1.3				-1	0	8741230|8741033				FxMb1CubeMd010001Attack0104Yujing	tx07					
874124			0	1.3				-1	0	8741240|8741033				FxMb1CubeMd010001Attack0104Yujing	tx03					
874125			0	1.3				-1	0	8741250|8741033				FxMb1CubeMd010001Attack0104Yujing	tx05					
874126			0	1.3				-1	0	8741260|8741033				FxMb1CubeMd010001Attack0104Yujing	tx04					
874127			0	0.7				-1	0	8741270|8741033				FxMb1CubeMd010001Attack0104	tx01					
874128			0	0.7				-1	0	8741280|8741033				FxMb1CubeMd010001Attack0104	tx02					
874129			0	0.7				-1	0	8741290|8741033				FxMb1CubeMd010001Attack0104	tx06					
874130			0	0.7				-1	0	8741300|8741033				FxMb1CubeMd010001Attack0104	tx00					
874131			0	0.7				-1	0	8741310|8741033				FxMb1CubeMd010001Attack0104	tx07					
874132			0	0.7				-1	0	8741320|8741033				FxMb1CubeMd010001Attack0104	tx03					
874133			0	0.7				-1	0	8741330|8741033				FxMb1CubeMd010001Attack0104	tx05					
874134			0	0.7				-1	0	8741340|8741033				FxMb1CubeMd010001Attack0104	tx04					
874135			0	1.3				-1	0	8741350|8741033				FxMb1CubeMd010001Attack0105Yujing	tx01					
874136			0	1.3				-1	0	8741360|8741033				FxMb1CubeMd010001Attack0105Yujing	tx02					
874137			0	1.3				-1	0	8741370|8741033				FxMb1CubeMd010001Attack0105Yujing	tx06					
874138			0	1.3				-1	0	8741380|8741033				FxMb1CubeMd010001Attack0105Yujing	tx00					
874139			0	1.3				-1	0	8741390|8741033				FxMb1CubeMd010001Attack0105Yujing	tx07					
874140			0	1.3				-1	0	8741400|8741033				FxMb1CubeMd010001Attack0105Yujing	tx03					
874141			0	1.3				-1	0	8741410|8741033				FxMb1CubeMd010001Attack0105Yujing	tx05					
874142			0	1.3				-1	0	8741420|8741033				FxMb1CubeMd010001Attack0105Yujing	tx04					
874143			0	16				-1	0	8741430|8741033				FxMb1CubeMd010001Attack0105Chixu	tx01					
874144			0	16				-1	0	8741440|8741033				FxMb1CubeMd010001Attack0105Chixu	tx02					
874145			0	16				-1	0	8741450|8741033				FxMb1CubeMd010001Attack0105Chixu	tx06					
874146			0	16				-1	0	8741460|8741033				FxMb1CubeMd010001Attack0105Chixu	tx00					
874147			0	16				-1	0	8741470|8741033				FxMb1CubeMd010001Attack0105Chixu	tx07					
874148			0	16				-1	0	8741480|8741033				FxMb1CubeMd010001Attack0105Chixu	tx03					
874149			0	16				-1	0	8741490|8741033				FxMb1CubeMd010001Attack0105Chixu	tx05					
874150			0	16				-1	0	8741500|8741033				FxMb1CubeMd010001Attack0105Chixu	tx04					
874151			0	1				-1	0	8741510|8741033	8741430			FxMb1CubeMd010001Attack0105Xiaoshi	tx01					
874152			0	1				-1	0	8741520|8741033	8741440			FxMb1CubeMd010001Attack0105Xiaoshi	tx02					
874153			0	1				-1	0	8741530|8741033	8741450			FxMb1CubeMd010001Attack0105Xiaoshi	tx06					
