Id	Name	Desc	Delay	Duration	EffectType	AffixId	GroupIds	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd	Icon	DyingRemove	EndMagic	ShowType
748001			0	1				-1	0	7480010			748001000									
748002			0	-1		777341		1	0	7480020			748002000									
748003			0	-1				-1	0	7480030			748003000									
748004			0	1				-1	0	7480040												
748005			0	-1				1	0	7480050			748005000									
748006			0	20				10	0	7480060			748006000									
748007			0	-1				1	0	7480070			748007000									
748008			0	0				1	0	7480080			748008000									
748009			0	10				-1	0	7480090			748009000									
748010			0	10				-1	0	7480100												
748011			0	-1				1	0	7480110			748011000									
748012			0	-1				1	0	7480120			748012000									
748013			0	-1				1	0	7480130			748013000									
748014			0	-1				1	0	7480140			748014000									
748015			0	-1				1	0	7480150			748015000									
748016			0	-1				1	0	7480160			748016000									
748017			0	-1				1	0	7480170			748017000									
748018			0	-1				1	0	7480180			748018000									
748019			0	-1				1	0	7480190			748019000									
748020			0	-1				1	0	7480200			748020000									
748021			0	-1				1	0	7480210			748021000									
748022			0	-1				-1	0	7480220				FxScene2705YinLang	Root							
748023			0	5				1	0	7480230			748023000	FxQYunXuan	MarkCase						748026	
748024			0	-1				-1	0	7480240				FxScene01302Circle	Root							1
748025			0	-1				-1	0	7480250				FxScene2705DimianRed	Root							
748026			0	2				1	0	7480260		7480230										
748027			0	5				1	0	7480270			748027000									
748028			0	5				1	0	7480280			748028000									
748029			0	-1				1	0	7480290			748029000									
748030			0	-1				1	0	7480300			748030000									
748031			0	1				1	0	7480310				FxScene2705DimianPurple	Root							
748032			0	1				1	0	7480320				FxScene2705DimianYellow	Root							
748033			0	1				1	0	7480330				FxScene2705DimianGreen	Root							
748034			0	1				1	0	7480340				FxScene2705DimianPurple	Root							
748035			0	1				1	0	7480350				FxScene2705DimianRed	Root							
748036			0	1				1	0	7480360				FxScene2705DimianBlue	Root							
748037			0	-1				-1	0	7480370				FxScene2705DimianRed	Root							
748038			0	-1				-1	0	7480380												
748039			0	-1				-1	0	7480390				FxScene2705DimianGreen	Root							
748040			0	-1				-1	0	7480400												
748041			0	1				-1	0	7480410			748041000									
748042			0	3				1	0	7480420				FxScene2705DimianGreen	MarkCase							
748043			0	-1				1	0	7480430				FxScene2705SpherePurple	MarkCase							
748044			0	-1				1	0	7480440				FxScene2705SphereOrange	MarkCase							
748045			0	-1				1	0	7480450			748045000									
748046			0	-1				1	0	7480460			748046000									
748047			0	1				1	0	7480470				FxSeMusicGreat								
748048			0	1				1	0	7480480				FxSeMusicPerfect								
748049			0	1				1	0	7480490				FxScene01302Miss								
748050			0	1				1	0	7480500				FxScene02705Cool	MarkCase							
748051			0	5				1	0	7480510												
748052			0	5				1	0	7480520												
748053			0	5				1	0	7480530												
748054			0	5				1	0	7480540												
748059			0	25				1	0	7480590				FxScene2705DropGreen	MarkCase							
748060			0	16				1	0	7480600				FxScene2705DropYellow	MarkCase							
748061			0	16				1	0	7480610				FxScene2705DropBlue	MarkCase							
748062			0	3				1	0	7480620			748062000									
748063			0	5				1	0	7480630												
748064			0	5				1	0	7480640												
748065			0	5				1	0	7480650												
748066			0	5				1	0	7480660												
748067			0	5				1	0	7480670												
748068			0	5				1	0	7480680												
748069			0	-1				1	0	7480690	7480690		748069000									
748070			0	-1				1	0	7480700	7480700											
748071			2	1				1	0	7480710			748071000									
748072			0	5				1	0	7480720			748072000									
748073			0	2				-1	0	7480730				FxScene2705DimianGreen							748076	1
748074			0	2				-1	0	7480740				FxScene2705DimianYellow							748077	1
748075			0	2				-1	0	7480750				FxScene2705DimianBlue							748078	1
748076			0	0.8				-1	0	7480760				FxScene2705DiLieGreen								1
748077			0	0.8				-1	0	7480770				FxScene2705DiLieYellow								1
748078			0	0.8				-1	0	7480780				FxScene2705DiLieBlue								1
748079			0	-1				1	0	7480790	7480790		748079000									
748080			0	-1				1	0	7480800	7480800											
748081			0	5				-1	0	7480810			748081000									
748082			0	-1				-1	0	7480820				FxMe1UnknownAttack11	Root							
748083			0	1				-1	0	7480830			748083000									
748084			0	8				-1	0	7480840			748084000									
748085			0	0.5				-1	0	7480850												
748086			0	1				-1	0	7480860			748086000	FxTongyongEleShouji	HitCase							
748087			0	8				-1	0	7480870												
748088			0	8				1	0	7480880			748088000	FxTongyongZhuoshao	HitCase							
748089			0	1				-1	0	7480890	748082	748082										
748090			0	-1				-1	0	7480900			748090000									
748091			0	-1				1	0	7480910			748091000									
748092			0	1				1	0	7480920			748092000									
748093			0	-1				1	0	7480930	7417420		748093000									
748094			0	5				1	0	7480940			748094000									
748095			0	2				-1	0	7480950			748095000									
748096			0	1.5				1	0	7480960	7417420		748096000									
