Id	Name	Desc	Delay	Duration	EffectType	AffixId	GroupIds	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd	Icon	DyingRemove	EndMagic	ShowType
773428			0	-1				1	0	7734280			773428000									
773429			0	-1				1	0	7734290			773429000									
773430			0	0				1	0	7734300			773430000									
773431			0	0				1	0	7734310			773431000									
773432			0	0				1	0	7734320			773432000									
773433			0	0				1	0	7734330			773433000									
773434			0	0				1	0	7734340			773434000									
773435			0	0				1	0	7734350			773435000									
773436			0	0				1	0	7734360			773436000									
773437			0	0				1	0	7734370			773437000									
773438			0	0				1	0	7734380			773438000									
773439			0	0				1	0	7734390			773439000									
773440			0	0				1	0	7734400			773440000									
773441			0	0				1	0	7734410			773441000									
773442			0	0				1	0	7734420			773442000									
773443			0	0				1	0	7734430			773443000									
773444			0	0				1	0	7734440			773444000									
773445			0	0				1	0	7734450												
773446			0	5				1	0	7734460												
773447			0	6				1	0	7734470												
773448			0	7				1	0	7734480												
773449			0	8				1	0	7734490												
773450			0	9				1	0	7734500												
773456			0	0				1	0	7734560												
773457			0	0				1	0	7734570												
773458			0	0				1	0	7734580												
773459			0	0				1	0	7734590												
773460			0	0				1	0	7734600												
773461			0	0				1	0	7734610												
773462			0	0				1	0	7734620												
773463			0	0				1	0	7734630												
773464			0	0				1	0	7734640												
773465			0	0				1	0	7734650												
773466			0	0				1	0	7734660												
773472			0	0				1	0	7734720												
773473			0	0				1	0	7734730												
773474			0	0				1	0	7734740												
773475			0	0				1	0	7734750												
773476			0	0				1	0	7734760												
773477			0	0				1	0	7734770												
773478			0	0				1	0	7734780												
773479			0	0				1	0	7734790												
773480			0	0				1	0	7734800												
773481			0	0				1	0	7734810												
773482			0	0				1	0	7734820												
773488			0	0				1	0	7734880												
773489			0	0				1	0	7734890												
773490			0	0				1	0	7734900												
773491			0	0				1	0	7734910												
773492			0	0				1	0	7734920												
773493			0	0				1	0	7734930			773493000									
773495			0	5				1	0	7734950			773495000									
773496			0	6				1	0	7734960			773496000									
774050			0	7				1	0	7740500			774050000									
774051			0	8				1	0	7740510			774051000									
774052			0	9				1	0	7740520			774052000									
774053			0	-1				1	0	7740530			774053000									
774054			0	-1				1	0	7740540			774054000									
774055			0	-1				1	0	7740550			774055000									
774056			0	-1				1	0	7740560			774056000									
774057			0	-1				1	0	7740570			774057000									
774058			0	3				1	0	7740580			774058000	FxTongyongJiagong	HitCase							
774059			0	-1				1	0	7740590			774059000	FxTongyongJiagong	HitCase							
774060			0	-1				1	0	7740600			774060000									
774061			0	-1				1	0	7740610			774061000									
774062			0	-1				1	0	7740620			774062000									
774063			0	-1				1	0	7740630			774063000									
774064			0	-1				1	0	7740640			774064000									
774065			0	-1				1	0	7740650			774065000	FxTongyongJiagong	HitCase							
774066			0	0				1	0	7740660			774066000									
774067			0	8				1	0	7740670			774067000	FxHongzha	Root							
774069			0	-1				1	0	7740690			774069000									
774070			0	-1				1	0	7740700			774070000									
774071			0	-1				1	0	7740710			774071000									
774072			0	-1				1	0	7740720			774072000									
774073			0	-1				1	0	7740730			774073000									
774074			0	-1				1	0	7740740			774074000	FxTongyongJiafang	HitCase							
774075			0	-1				1	0	7740750			774075000	FxTongyongBati	HitCase							
774076			0	-1				1	0	7740760			774076000									
774077			0	-1				1	0	7740770			774077000									
774078			0	-1				1	0	7740780			774078000									
774079			0	6				1	0	7740790			774079000	FxCizhuiHudunTiaozhan	HitCase							
774080			0	-1				1	0	7740800			774080000									
774081			0	-1				1	0	7740810			774081000	FxTongyongJiafang	HitCase							
774084			0	5				1	0	7740840			774084000	FxTongyongJiasu	HitCase							
774085			0	6				1	0	7740850			774085000	FxTongyongJiasu	HitCase							
774086			0	7				1	0	7740860			774086000	FxTongyongJiasu	HitCase							
774087			0	8				1	0	7740870			774087000	FxTongyongJiasu	HitCase							
774088			0	10				1	0	7740880			774088000	FxTongyongJiasu	HitCase							
774089			0	-1				1	0	7740890			774089000									
774091			0	0.1				1	0	7740910			774091000				1					
774092			0	-1				1	0	7740920			774092000	FxCizhuiFusu	HitCase							
774093			0	-1				1	0	7740930			774093000	FxCizhuiFusu	HitCase							
774094			0	-1				1	0	7740940			774094000	FxCizhuiFusu	HitCase							
774096			0	-1				1	0	7740960			774096000									
774097			0	-1				1	0	7740970			774097000									
774098			0	-1				1	0	7740980			774098000									
774100			0	-1				1	0	7741000												
774107			0	-1				1	0	7741070												
774108			0	-1				1	0	7741080												
774109			0	-1				1	0	7741090												
774110			0	-1				1	0	7741100												
774111			0	-1				1	0	7741110												
774112			0	-1				1	0	7741120												
774113			0	-1				1	0	7741130												
774114			0	-1				1	0	7741140												
774115			0	-1				1	0	7741150												
774116			0	-1				1	0	7741160												
774117			0	-1				1	0	7741170												
774118			0	-1				1	0	7741180												
774119			0	-1				1	0	7741190												
774125			0	-1				1	0	7741250												
774126			0	-1				1	0	7741260												
774127			0	-1				1	0	7741270												
774128			0	-1				1	0	7741280												
774129			0	-1				1	0	7741290												
774130			0	-1				1	0	7741300												
774131			0	-1				1	0	7741310												
774132			0	-1				1	0	7741320												
774133			0	-1				1	0	7741330												
774134			0	-1				1	0	7741340												
774135			0	-1				1	0	7741350												
774136			0	-1				1	0	7741360												
774137			0	-1				1	0	7741370												
774143			0	-1				1	0	7741430												
774144			0	-1				1	0	7741440												
774145			0	-1				1	0	7741450												
774146			0	-1				1	0	7741460												
774147			0	-1				1	0	7741470												
774148			0	-1				1	0	7741480												
774149			0	-1				1	0	7741490												
774150			0	-1				1	0	7741500												
774151			0	-1				1	0	7741510												
774152			0	-1				1	0	7741520												
774153			0	-1				1	0	7741530												
774154			0	-1				1	0	7741540												
774155			0	-1				1	0	7741550												
774156			0	-1				1	0	7741560			774156000									
774157			0	-1				1	0	7741570			774157000									
774158			0	-1				1	0	7741580			774158000									
774159			0	-1				1	0	7741590			774159000									
774160			0	-1				1	0	7741600			774160000									
774161			0	-1				1	0	7741610			774161000									
774162			0	-1				1	0	7741620			774162000									
774163			0	-1				1	0	7741630			774163000									
774164			0	-1				1	0	7741640			774164000									
774165			0	-1				1	0	7741650			774165000									
774166			0	-1				1	0	7741660			774166000									
774167			0	-1				1	0	7741670			774167000									
774168			0	-1				1	0	7741680			774168000									
774169			0	-1				1	0	7741690			774169000									
774170			0	-1				1	0	7741700			774170000									
774171			0	0				1	0	7741710			774171000									
774172			0	0				1	0	7741720			774172000									
774173			0	-1				1	0	7741730			774173000									
774174			0	-1				1	0	7741740			774174000									
774175			0	-1				1	0	7741750			774175000					1				
774176			0	0				1	0	7741760			774176000					1				
774177			0	0				1	0	7741770			774177000					1				
774178			0	-1				1	0	7741780			774178000					1				
774179			0	-1				1	0	7741790			774179000					1				
774180			0	-1				1	0	7741800			774180000									
774181			0	12				1	0	7741810			774181000					1				
773451			0	-1				1	0	7734510			773451000									
773452			0	-1				1	0	7734520												
773453			0	-1				1	0	7734530												
773454			0	-1				1	0	7734540												
773455			0	-1				1	0	7734550												
773467			0	-1				1	0	7734670												
773468			0	-1				3	0	7734680			773468000									
773469			0	3				1	0	7734690			773469000									
773470			0	3				1	0	7734700			773470000									
773471			0	4				1	0	7734710			773471000									
773483			0	4				1	0	7734830			773483000									
773484			0	5				1	0	7734840			773484000									
773485			0	-1				1	0	7734850			773485000	FxTongyongJiagong	HitCase							
773486			0	-1				1	0	7734860												
773487			0	-1				1	0	7734870												
774102			0	-1				1	0	7741020												
774103			0	-1				1	0	7741030												
774104			0	-1				1	0	7741040												
774105			0	-1				1	0	7741050	7741200		774105000									
774106			0	-1				1	0	7741060	7741200		774106000									
774120			0	0				1	0	7741200	7741050|7741060|7741210											
774121			0	-1				1	0	7741210	7741200		774121000	FxTongyongJianfang	HitCase							
774123			0	-1				1	0	7741230			774123000									
774124			0	-1				1	0	7741240												
774138			0	-1				1	0	7741380												
774139			0	-1				1	0	7741390												
774140			0	-1				1	0	7741400												
774141			0	-1				1	0	7741410												
774142			0	-1				1	0	7741420			774142000									
776115			0	0				1	0	7761150			776115000									
776116			0	0				1	0	7761160			776116000									
776117			0	-1				1	0	7761170			776117000	FxTongyongJiagong	HitCase							
776118			0	-1				1	0	7761180			776118000									
776120			0	-1				1	0	7761200			776120000									
776121			0	-1				1	0	7761210												
776122			0	-1				1	0	7761220												
776123			0	-1				1	0	7761230												
776124			0	-1				1	0	7761240												
776125			0	-1				1	0	7761250												
776126			0	-1				1	0	7761260			776126000									
776127			0	-1				1	0	7761270			776127000									
776128			0	-1				1	0	7761280			776128000									
776129			0	-1				1	0	7761290			776129000									
776130			0	-1				1	0	7761300			776130000									
776131			0	-1				1	0	7761310			776131000									
776132			0	-1				1	0	7761320			776132000									
776133			0	-1				1	0	7761330			776133000									
776134			0	-1				1	0	7761340			776134000	FxTongyongJiafang	HitCase							
776135			0	-1				1	0	7761350			776135000									
776136			0	0				1	0	7761360			776136000									
776137			0	-1				1	0	7761370			776137000									
776138			0	-1				1	0	7761380			776138000									
776139			0	-1				1	0	7761390			776139000									
776140			0.1	-1				1	0	7761400			776140000									
776141			0.1	-1				1	0	7761410			776141000									
776142			0.1	-1				1	0	7761420			776142000									
776143			0.1	-1				1	0	7761430			776143000									
776144			0	0				1	0	7761440			776144000									
776145			0	0				1	0	7761450			776145000									
776146			0	0				1	0	7761460			776146000									
776147			0	-1				2	0	7761470			776147000									
776148			0	-1				1	0	7761480			776148000									
776149			0	-1				1	0	7761490			776149000									
776161			0	5.5				1	0	7761610			776161000									
776164			0	-1				1	0	7761640			776164000									
776165			0	5				1	0	7761650	7761650		776165000	FxTongyongJianfang	HitCase							
776166			0	3				1	0	7761660			776166000									
776167			0	-1				1	0	7761670			776167000					1				
776168			0.1	-1				1	0	7761680			776168000					1				
776169			0	-1				1	0	7761690			776169000					1				
776037			0.1	-1				1	0	7760370			776037000					1				
776038			0	3				1	0	7760380			776038000					1				
776041			0	-1				1	0	7760410			776041000					1				
776042			0	-1				1	0	7760420	7760420		776042000	FxTongyongJiagong	HitCase							
776043			0	-1				1	0	7760430	7760430		776043000	FxTongyongJiagong	HitCase							
776044			0	-1				1	0	7760440	7760440		776044000	FxTongyongJiagong	HitCase							
776045			0	-1				1	0	7760450	7760450		776045000	FxTongyongJiagong	HitCase							
