Id	Name	Desc	Delay	Duration	EffectType	AffixId	GroupIds	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd	Icon	DyingRemove
87360096				-1									87360097					1		
87360098			1.5	-1									87360099					1		
87360094			1.5	-1									87360095					1		
87360092			1.5	-1									87360093					1		
87380096				-1									87380097					1		
87380098			1.5	-1									87380099					1		
87380094			1.5	-1									87380095					1		
87380092			1.5	-1									87380093					1		
87410096				-1									87410097					1		
87410098			3.6	-1									87410099					1		
87410094			3.6	-1									87410095					1		
87410092			3.6	-1									87410093					1		
87420096				-1									87420097					1		
87420098				-1									87420099					1		
87420094				-1									87420095					1		
87420092				-1									87420093					1		
87500096				-1									87500097					1		
87500098			0	-1									87500099					1		
87500094			0	-1									87500095					1		
87500092			0	-1									87500093					1		
