Id	Name	Desc	Delay	Duration	EffectType	AffixId	GroupIds	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd	Icon	DyingRemove	EndMagic	ShowType
84900096			2.5	-1									84900097					1				
84900098			2.5	-1									84900099					1				
84900094			2.5	-1									84900095					1				
84900092			2.5	-1									84900093					1				
97630096				-1									97630097					1				
97630098				-1									97630099					1				
97630094				-1									97630095					1				
97630092				-1									97630093					1				
93370096			1.47	-1									93370097					1				
93370098			1.47	-1									93370099					1				
93370094			1.47	-1									93370095					1				
93370092			1.47	-1									93370093					1				
93380096			1.433	-1									93380097					1				
93380098			1.433	-1									93380099					1				
93380094			1.433	-1									93380095					1				
93380092			1.433	-1									93380093					1				
93390096			2	-1									93390097					1				
93390098			2	-1									93390099					1				
93390094			2	-1									93390095					1				
93390092			2	-1									93390093					1				
