Id	Name	Desc	Delay	Duration	EffectType	AffixId	GroupIds	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd	Icon	DyingRemove
743000			0	1				1	0	7430000			743000000							
743001			0	1				1	0	7430010			743001000							
743002			0	-1				1	0	7430020			743002000							
743003			0	-1				1	0	7430030			743003000							
743004			0	-1				1	0	7430040				FxCizhuiBingdong	Root					
743005			0	2.5				1	0	7430050			743005000							
743011			0	2.5				1	0	7430110			743011000							
743012			0	-1				1	0	7430120			743012000							
743013			0	2				1	0	7430130			743013000							
743014			0	1				1	0	7430140				FxLaunch						
743015			0	-1				1	0	7430150			743015000							
743016			0	1				1	0	7430160			743016000							
743017			0	1				1	0	7430170			743017000							
743018			0	-1				1	0	7430180			743018000							
743019			0	1				1	0	7430190			743019000							
743020			0	2				1	0	7430200			743020000							
743021			0	-1				1	0	7430210			743021000							
743022			0	5				1	0	7430220				FxR4LuxiyaAttack52BDilie	Root					
743023			0	-1				1	0	7430230			743023000							
743024			0	-1				1	0	7430240				FxScene01405JidijibingFall02						
743025			0	-1				1	0	7430250			743025000							
743026			0	-1				1	0	7430260			743026000							
743027			0	2				1	0	7430270			743027000							
743028			0	2				1	0	7430280										
743029			0	3				1	0	7430290										
743030			0	4				1	0	7430300				FxIcedoorSound						
743031			0	2				1	0	7430310			743031000							
743032			0	2				1	0	7430320			743032000							
743033			0	3				1	0	7430330			743033000							
743034			0	-1				1	0	7430340			743034000							
743035			0	-1				1	0	7430350				FxLutrecall						
743036			0	1				1	0	7430360			743036000							
743038			0	-1				1	0	7430380				FxS01502_36WeixingWarming02						
743039			0	1				1	0	7430390			743039000							
743042			0	-1				1	0	7430420			743042000							
743043			0	5				1	0	7430430			743043000							
743044			0	-1				1	0	7430440			743044000							
743045			0	0				1	0	7430450			743045000							
743046			0	0				1	0	7430460			743046000							
743047			0	0				1	0	7430470			743047000							
743048			0	-1				1	0	7430480			743048000							
743049			0	-1				1	0	7430490			743049000							
743050			0	2				1	0	7430500				FxDeath01						
743051			0	2				1	0	7430510				FxYubei02	Bip001Head					
743052			0	3				1	0	7430520			743052000							
743053			0	6				1	0	7430530			743053000							
743054			0	2				1	0	7430540				FxTongyongYinshenDataIn01						
743055			0	-1				1	0	7430550				FxTongyongYinshenData01						
743056			0	-1				1	0	7430560	8215250	8215250								
743057			0	3				1	0	7430570			743057000							
743058			0	-1				1	0	7430580			743058000							
743059			0	1				1	0	7430590			743059000							
743060			0	0.5				1	0	7430600			743060000							
743061			0	0.5				1	0	7430610			743061000							
743062			0	0.5				1	0	7430620			743062000							
743063			0	2				1	0	7430630				FxBlinkSound						
743064			0	2				1	0	7430640				FxDooropenSound						
743065			0	2				1	0	7430650				FxDoorcloseSound						
743066			0	6				1	0	7430660				FxLiftSound						
743067			0	-1				1	0	7430670			743067000							
743068			0	-1				1	0	7430680			743068000							
743069			0	-1				1	0	7430690			743069000							1
743070			0	-1				1	0	7430700			743070000							1
743071			0	0				1	0	7430710			743071000							
743072			0	-1				1	0	7430720			743072000							1
743073			0	-1				1	0	7430730				FxScene01801Flare						
743074			0	-1				1	0	7430740			743074000							
743075			0	-1				1	0	7430750			743075000							
743076			0	-1				1	0	7430760			743076000							
743077			0	2				1	0	7430770										
743078			0	3				1	0	7430780			743078000							
743079			0	10				1	0	7430790			743079000							
743080			0	3				1	0	7430800			743080000							
743081			0	-1				1	0	7430810				FxShadow						
743082			0	0.3				1	0	7430820			743082000							
743083			0	-1				1	0	7430830			743083000							
743084			0	-1				1	0	7430840			743084000							
743085			0	-1				1	0	7430850			743085000							
743086			0	5.5				1	0	7430860				FxFountainSound						
743087			0	2				1	0	7430870			743087000							
743089			0	5				1	0	7430890			743089000							
743090			0	5				1	0	7430900			743090000							
743091			0	5				1	0	7430910			743091000							
743092			0	5				1	0	7430920			743092000							
743093			0	5				1	0	7430930			743093000							
743094			0	5				1	0	7430940			743094000							
743095			0	5				1	0	7430950			743095000							
743096			0	5				1	0	7430960			743096000							
743097			0	5				1	0	7430970			743097000							
743098			0	5				1	0	7430980			743098000							
743099			0	5				1	0	7430990			743099000							
743100			0	0				1	0	7431000			743100000							
743113			0	5				1	0	7431130			743113000							
743114			0	2				1	0	7431140			743114000							
743115			0	2.5				1	0	7431150			743115000							
743116			0	-1				1	0	7431160			743116000					1		
743117			0	-1				1	0	7431170			743117000							
743118			0	5				1	0	7431180			743118000							
743119			0	3				1	0	7431190			743119000							
743120			0	5				1	0	7431200			743120000							
743121			0	3				1	0	7431210			743121000							
743122			0	9				1	0	7431220			743122000							
743123			0	2				1	0	7431230			743123000							
743124			0	11				1	0	7431240			743124000							
743125			0	-1				1	0	7431250			743125000							
