Id	Name	Desc	Delay	Duration	EffectType	AffixId	GroupIds	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd	Icon	DyingRemove	EndMagic	ShowType
851001			0	-1				1	0	8510010			851001000									
851002			0	-1				1	0	8510020	8510110		851002000									
851003			0	-1				1	0	8510030	8510100		851003000									
851004			0	-1				1	0	8510040			851004000									
851005			0	0.8				1	0	8510050			851005000									
851006			0	0.7				1	0	8510060			851006000									
851007			0	1				1	0	8510070			851007000									
851008			0	3				1	0	8510080								1				
851009			0	0				1	0	8510090	8510080							1				
851010			0	-1				1	0	8510100						851002						
851011			0	-1				1	0	8510110						851003						
851012			0	0				1	0	8510120			851012000									
851014			0	0				1	0	8510140			851014000									
851015			0	0				1	0	8510150			851015000									
851016			0	0				1	0	8510160			851016000									
851017			0	0				1	0	8510170			851017000									
851018			0	0				1	0	8510180			851018000									
851019			0	0				1	0	8510190			851019000									
851020			0	0.7				1	0	8510200	8510200		851020000									
851021			0	0				1	0	8510210	8510060											
851022			0	0				1	0	8510220			851022000									
851023			0	0				1	0	8510230			851023000									
851024			0	0				1	0	8510240			851024000									
851025			0	0				1	0	8510250			851025000									
851026			0	0				1	0	8510260			851026000									
851027			0	1				1	0	8510270	8510270											
851028			0	-1				1	0	8510280	8510280		851028000									
851029			0	0				1	0	8510290	8510280											
851030			0	0				1	0	8510300			851030000									
851031			0	0				1	0	8510310			851031000									
851032			0	0				1	0	8510320			851032000									
851033			0	0				1	0	8510330			851033000									
851034			0	0				1	0	8510340			851034000									
851035			0	0				1	0	8510350			851035000									
851036			0	0				1	0	8510360			851036000									
851037			0	0				1	0	8510370			851037000									
851038			0	0				1	0	8510380			851038000									
851039			0	0				1	0	8510390			851039000									
851040			0	0				1	0	8510400			851040000									
851041			0	0				1	0	8510410			851041000									
851042			0	0				1	0	8510420			851042000									
851043			0	0				1	0	8510430			851043000									
851044			0	0				1	0	8510440			851044000									
851045			0	0				1	0	8510450			851045000									
851046			0	0				1	0	8510460			851046000									
851047			0	0				1	0	8510470			851047000									
851048			0	0				1	0	8510480			851048000									
851049			0	-1				1	0	8510490			851049000									
851050			0	-1				1	0	8510500			851050000									
851051			0	0.2				1	0	8510510|851051	8510510							1				
851052			0	0.2				1	0	8510520|851051	8510520							1				
