Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	IsAsyncLoadNpc	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
99970010	99970010				0.15		15	25	9	999700100			0|0|0			0|0|0		
99970020	99970020				0.15		15	25	9	999700200			0|0|0			0|0|0		
99970030	99970030				0.15		15	25	9	999700300			0|0|0			0|0|0		
99970040	99970040				0.15		15	25	9	999700400			0|0|0			0|0|0		
99970050	99970050				0.15		15	25	9	999700500			0|0|0			0|0|0		
99970060	99970060				0.15		15	25	9	999700600			0|0|0			0|0|0		
99970070	99970070				0.15		15	25	9	999700700			0|0|0			0|0|0		
99970080	99970080				0.15		15	25	9	999700800			0|0|0			0|0|0		
99970120	99970120				0.15		15	25	9	999701200			0|0|0			0|0|0		
99970130	99970130				0.15		15	25	9	999701300			0|0|0			0|0|0		
99981100	99981100				0.15		15	25	9	999811000			0|0|0			0|0|0		
99981110	99981110				0.15		15	25	9	999811100			0|0|0			0|0|0		
99981200	99981200				0.15		15	25	9	999812000			0|0|0			0|0|0		
99981300	99981300				0.15		15	25	9	999813000			0|0|0			0|0|0		
99981310	99981310				0.15		15	25	9	999813100			0|0|0			0|0|0		
99981400	99981400				0.15		15	25	9	999814000			0|0|0			0|0|0		
99981401	99981401				0.15		15	25	9	999814010			0|0|0			0|0|0		
99981410	99981410				0.15		15	25	9	999814100			0|0|0			0|0|0		
99981420	99981420				0.15		15	25	9	999814200			0|0|0			0|0|0		
99981430	99981430				0.15		15	25	9	999814300			0|0|0			0|0|0		
99981500	99981500				0.15		15	25	9	999815000			0|0|0			0|0|0		
99981600	99981600				0.15		15	25	9	999816000			0|0|0			0|0|0		
99981700	99981700				0.15		15	25	9	999817000			0|0|0			0|0|0		
99981800	99981800				0.15		15	25	9	999818000			0|0|0			0|0|0		
99981900	99981900				0.15		15	25	9	999819000			0|0|0			0|0|0		
99982100	99982100				0.15		15	25	9	999821000			0|0|0			0|0|0		
99920100	99920100				0.15		15	25	9	999201000			0|0|0			0|0|0		
99920110	99920110				0.15		15	25	9	999201100			0|0|0			0|0|0		
99982130	99982130				0.15		15	25	9	999821300			0|0|0			0|0|0		
99982140	99982140				0.15		15	25	9	999821400			0|0|0			0|0|0		
99982150	99982150				0.15		15	25	9	999821500			0|0|0			0|0|0		
99982160	99982160				0.15		15	25	9	999821600			0|0|0			0|0|0		
99983100	99983100				0.15		15	25	9	999831000			0|0|0			0|0|0		
99983110	99983110				0.15		15	25	9	999831100			0|0|0			0|0|0		
99983111	99983111				0.15		15	25	9	999831110			0|0|0			0|0|0		
99983102	99983102				0.15		15	25	9	999831020			0|0|0			0|0|0		
99987010	99987010				0.15		15	25	9	999870100			0|0|0			0|0|0		
99987020	99987020				0.15		15	25	9	999870200			0|0|0			0|0|0		
99987030	99987030				0.15		15	25	9	999870300			0|0|0			0|0|0		
99987050	99987050				0.15		15	25	9	999870500			0|0|0			0|0|0		
99990000	99990000				0.15		15	25	9	999900000			0|0|0			0|0|0		
99990001	99990001				0.15		15	25	9	999900010			0|0|0			0|0|0		
99990002	99990002				0.15		15	25	9	999900020			0|0|0			0|0|0		
99990020	99990020				0.15		15	25	9	999900200			0|0|0			0|0|0		
99990040	99990040				0.15		15	25	9	999900400			0|0|0			0|0|0		
99990060	99990060				0.15		15	25	9	999900600			0|0|0			0|0|0		
99990230	99990230				0.15		15	25	9	999902300			0|0|0			0|0|0		
99990030	99990030				0.15		15	25	9	999900300			0|0|0			0|0|0		
