Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	IsAsyncLoadNpc	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
13010115	13010115	【剧情】-熄灭的灯火【战斗】			0.15		15	1	9	130101150			0|0|0			0|0|0		
13010116	13010116	【剧情】-重生红莲【战斗】【彩蛋】			0.15		15	1	9	130101160			0|0|0			0|0|0		
13010214	13010214	【剧情】-灰姑娘的战场【战斗】【彩蛋】			0.15		15	30	9	130102140			0|0|0			0|0|0		
13010216	13010216	【剧情】-泯灭与重生【战斗】			0.15		15	1	9	130102160			0|0|0			0|0|0		
13010314	13010314	【剧情】-某日的病变【战斗】			0.15		15	1	9	130103140			0|0|0			0|0|0		
13010316	13010316	【剧情】-某日的失去【战斗】【彩蛋】			0.15		15	73	9	130103160			0|0|0			0|0|0		
13010412	13010412	【剧情】-凋零的双生子【战斗】			0.15		15	1	9	130104120			0|0|0			0|0|0		
13010415	13010415	【剧情】-选择题【战斗】【彩蛋】			0.15		15	28	9	130104150			0|0|0			0|0|0		
13010514	13010514	【剧情】-突变【战斗】【彩蛋前置】			0.15		15	1	9	130105140			0|0|0			0|0|0		
13010516	13010516	【剧情】-蛰伏成蛹【战斗】【彩蛋】			0.15		15	1	9	130105160			0|0|0			0|0|0		
13010614	13010614	【剧情】-枪口之下【战斗】			0.15		15	29	9	130106140			0|0|0			0|0|0		
13010615	13010615	【剧情】-拯救行动【战斗】【彩蛋】			0.15		15	29	9	130106150			0|0|0			0|0|0		
13010715	13010715	【剧情】-信仰与坚持【战斗】			0.15		15	29	9	130107150			0|0|0			0|0|0		
13010716	13010716	【剧情】-血色信仰【战斗】【彩蛋】			0.15		15	29	9	130107160			0|0|0			0|0|0		
13010814	13010814	【剧情】-厮杀【战斗】			0.15		15	11	9	130108140			0|0|0			0|0|0		
13010815	13010815	【剧情】-人类的命令【战斗】【彩蛋】			0.15		15	11	9	130108150			0|0|0			0|0|0		
13010914	13010914	【剧情】-突破重围【战斗】【彩蛋】			0.15		15	1	9	130109140			0|0|0			0|0|0		
13010915	13010915	【剧情】-大家伙【战斗】【彩蛋】			0.15		15	8	11	130109150			0|0|0			0|0|0		
13011013	13011013	【剧情】-回收【战斗】【彩蛋】			0.15		15	1	9	130110130			0|0|0			0|0|0		
13011015	13011015	【剧情】-潜行【战斗】【彩蛋】			0.15		15	1	9	130110150			0|0|0			0|0|0		
13011020	13011020	【剧情】-初见【战斗】【隐藏关】			0.15		15	1	9	130110200			0|0|0			0|0|0		
13011113	13011113	【剧情】-车站内的追逐【战斗】			0.15		15	1	9	130111130			0|0|0			0|0|0		
13011115	13011115	【剧情】-宇宙载具战【战斗】【彩蛋】	SceneCHtest0003	Feijidazhan	1		15	40	9	99940010			0|0|0			0|0|0		
13011212	13011212	【剧情】-暴风雨的第一幕【战斗】【彩蛋】			0.15		15	25	9	130112120			0|0|0			0|0|0		
13011214	13011214	【剧情】-暴风雨的第二幕【战斗】			0.15		15	10	9	130112140			0|0|0			0|0|0		
