Id	Name	Info	BornPosition[1]	BornPosition[2]	BornPosition[3]	BornPosition[4]	BornPosition[5]	BornPosition[6]	LookPosition[1]	LookPosition[2]	LookPosition[3]	LookPosition[4]	LookPosition[5]	LookPosition[6]	DefaultObstacleArea[1]	DefaultObstacleArea[2]	DefaultObstacleArea[3]	DefaultObstacleArea[4]	DefaultDynamicObject[1]	DefaultDynamicObject[2]	DefaultDynamicObject[3]	DefaultDynamicObject[4]
300001010	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300001020	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300001030	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300001040	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300001050	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300001110	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300001120	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300001130	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300002010	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300002020	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300002030	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300002040	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300002050	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300002070	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300002110	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300002120	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300002130	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300003010	Scene00005a	80008190	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300003020	Scene00005a	80008190	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300003030	Scene00005a	80008190	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300003040	Scene00005a	80008190	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300003050	Scene00005a	80008190	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300003110	Scene00005a	80008190	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300003120	Scene00005a	80008190	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300003130	Scene00005a	80008190	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300004010	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300004020	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300004030	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300004040	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300004050	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300004110	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300004120	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300004130	Scene07005	21010101	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300005010	Scene00005a	80008190	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300005020	Scene00005a	80008190	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300005030	Scene00005a	80008190	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
300005040	Scene00005a	80008190	PB1	PB2	PB3	PB4	PB5		B101	B101	B101	B101	B101									
