Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	LineParams[8]	LineParams[9]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[2]	MagicLauncherNpc[3]	MagicLauncherNpc[4]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	DeathWithNpc	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	BindBornNpc	SingleClientEffect	TimeScale	TimeScaleDuration	ReboundTimes	ReboundType	CollideFilterType	BuffFilter	NpcHitCount	ShakeMagic	CollideMissileType	FollowHeightJoint	BindLauncherFrame	BindSkillFrame
10320101	普攻1-1	3	2.25	180		0.3	0			4			0.1						-1		FxR4LuxiyaAttack01AShouji						-1			1					0	0	0										0							0	3		0.2	0.1	103201011	103201									1			0						1	1												103201012				
10320201	普攻2-1	1	3	2.75		1.25	0			4			0.1						-1		FxR4LuxiyaAttack02AShouji						-1			1					0	0	0										0							0	3		0.2	0.1	103202011	103202									1.2			0						1	1												103202012				
10320301	普攻3-1	1	3	2.75		1	0			4			0.1						-1		FxR4LuxiyaAttack03AShouji						-1			1					0	0	0										0							0	3		0.2	0.1	103203011	103203	103207				103206				1.2			0						1	1																
10320401	普攻4-1	3	2.5	210		0.5	0			4			0.1						-1		FxR4LuxiyaAttack04AShouji01						-1			1					0	0	0										0							0	3		0.2	0.1	103204011	103204									0.9			0						1	1												103204012				
10320402	普攻4-2	3	2.25	210		0.5	0			4			0.1						-1		FxR4LuxiyaAttack04AShouji02						-1			1					0	0	0										0							0	3		0.2	0.1	103204021	103204									1.2			0						1	1												103204022				
10320403	普攻4-3	3	2.5	210		0.5	0			4			0.1						-1		FxR4LuxiyaAttack04AShouji03						-1			1					0	0	0										0							0	3		0.2	0.1	103204031	103204									1			0						1	1												103204032				
10320404	普攻4-4	3	2.5	210		0.5	0			4			0.1						-1		FxR4LuxiyaAttack04AShouji04						-1			1					0	0	0										0							0	3		0.2	0.1	103204041	103204									0.8			0						1	1												103204042				
10320501	普攻5-1	3	2.5	210		0.5	0			4			0.1						-1		FxR4LuxiyaAttack05AShouji01						-1			1					0	0	0										0							0	3		0.2	0.1	103205011	103205									1.2			0						1	1												103205012				
10320502	普攻5-2	3	3.5	240		1	0			4			0.1						-1		FxR4LuxiyaAttack05AShouji02						-1			1					0	0	0										0							0	3		0.2	0.1	103205021	103205	103207				103208				1.1			0						1	1												103205022				
10320601	红球1消-1	3	2.5	210	-0.75	0.5	0			4			0.1						-1		FxR4LuxiyaAttack11AShouji01						-1			1					0	0	0										0							0	3		0.2	0.1	103206011	103210									1			0						1	1												103206012				
10320602	红球1消-2	3	2.5	210	0.75	0.5	0			4			0.1						-1		FxR4LuxiyaAttack11AShouji02						-1			1					0	0	0										0							0	3		0.2	0.1	103206021	103210									1.1			0						1	1												103206022				
10320603	红球1消-3	3	2.5	210	-0.75	0.5	0			4			0.1						-1		FxR4LuxiyaAttack11AShouji03						-1			1					0	0	0										0							0	3		0.2	0.1	103206031	103210									1			0						1	1												103206032				
