Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	LineParams[8]	LineParams[9]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[2]	MagicLauncherNpc[3]	MagicLauncherNpc[4]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	DeathWithNpc	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	BindBornNpc	SingleClientEffect	TimeScale	TimeScaleDuration	ReboundTimes	ReboundType	CollideFilterType	BuffFilter	NpcHitCount	ShakeMagic	CollideMissileType
10330103	伤害子弹	1	3.5	20		10	0			4			0.1						-1		FxR4LifuAtk0101Hit						-1			1																	0							0	3		0.2	0.15	103301031	103301									1.2			0					1	0	1													
10330108	意识用子子弹	2	5				0			4			0.1						-1								-1			1																	1							0	3		0.2	0.1			521016	521027							0	HitCase		0						0	1													
10330203	伤害子弹	1	4.5	20		10	0			4			0.1						-1		FxR4LifuAtk0101Hit						-1			1																	0							0	3		0.2	0.15	103302031	103302									1.2			0					1	0	1													
10330305	伤害子弹	1	4.5	2		0.5	33			4			0.55						-1	1	FxR4LifuAtk0101Hit		0.05				-1			1																	0							0	3		0.2	0.1	103303051	103303									1.2			0						0	1													
10330306	伤害子弹吸引	1	4.5	2		0.5	33			4			0.55						-1	1			0.05				-1			1																	0							0	3		0.2	0.1			130337								0	HitCase		0						0	1													
10330404	伤害	1	12	4			0			4			0.25						-1		FxR4LifuAtk0401Hit						-1			1																	1							0	3		0.2	0.1	103304041	103304									1.2			0						0	1													
10330505	伤害+吸怪子弹	2	5				0			4			0.4						-1	1	FxR4LifuAtk1101Hit		0.1				-1			1																	1							0	3		0.2	0.35	103305051	103305	103330								1.2			0						0	1													
10330604	伤害特效	2	5				0			4			0.1						-1		FxR4LifuAtk0401Hit						-1			1																	1							0	3		0.4	0.45	103306041	103306									0	HitCase		0						0	1													
10330803	特效整体	2	0.3				0			4			5						-1						FxR4LifuAtk1101Dilie		-1			1																	1	0.5		1	10330805			0	3		0.2	0.1											0	HitCase		2						0	1			1										
10330804	初始大吸怪	2	6.5				0			4			0.3						-1	1			0.05				-1			1																	1							0	3		0.2	0.1			103331								0	HitCase		1						0	1			1										
