Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	LineParams[8]	LineParams[9]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[2]	MagicLauncherNpc[3]	MagicLauncherNpc[4]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	DeathWithNpc	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	BindBornNpc	SingleClientEffect	TimeScale	TimeScaleDuration	ReboundTimes	ReboundType	CollideFilterType	BuffFilter	NpcHitCount	ShakeMagic
998199		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
998299		0											5						-1						FxDeath01		-1			1																																										1																			
998399		0											5						-1						FxDeath01		-1			1																																										1																			
815299		0											5						-1						FxDeath01		-1			1																																										1																			
834099		0											5						-1						FxDeath01		-1			1																																										1																			
834199		0											5						-1						FxDeath01		-1			1																																										1																			
834299		0											5						-1						FxDeath01		-1			1																																										1																			
834399		0											5						-1						FxDeath01		-1			1																																										1																			
834499		0											5						-1						FxDeath01		-1			1																																										1																			
906699		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
906999		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
837099		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
907499		0											5						-1					Root	FxMe1XiguajunMd000002Death		-1			1																																										1																			
837199		0											5						-1					Root	FxMb1AolajiangBDeath		-1			1																																										1																			
907699		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
907799		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
907899		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
907999		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
908199		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
908099		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
908299		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
841099		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
841199		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
907099		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
838099		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
838199		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
838399		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
838499		0											5						-1					Root	FxMe1BioMd007020Death		-1			1																																										1																			
