Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	LineParams[8]	LineParams[9]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[2]	MagicLauncherNpc[3]	MagicLauncherNpc[4]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	DeathWithNpc	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	BindBornNpc	SingleClientEffect	TimeScale	TimeScaleDuration	ReboundTimes	ReboundType	CollideFilterType	BuffFilter	NpcHitCount	ShakeMagic
99510101	震击	2	6				0			4			0.5						-1		FxDibingShouji						-1			1					0	0	0										0	0		1	99510103			0	1														0	HitCase	1	0		1				1													
99510103	伤害	2	6				0			4			0.1						-1		FxDibingShouji						-1			1					0	0	0										2							0	2				995101031	811008									0	HitCase		0		1				1													
99510201	慢速电球	2	0.5				5			4			30						-1	1	FxDibingShouji		1	BulletCase	FxMe1BioMd004050Attack01		-1			1					0	0	0										0							0	1				995102011	811004									0	HitCase		0		0				1													
99510301	快速电球	2	0.1				9			4			30						-1	1	FxDibingShouji		1	BulletCase	FxMe1BioMd004050Attack01		-1			1	-60	0			0	0	0										0							0	1				995103011	811004									0	HitCase		0		0				1													
99510401	多重电阵视觉效果-1	2	0.9				0			4			1						-1						FxMe1BioMd004050Attack01		-1			1					0	0	0										1	0.5		1	99510404			0	1														0	HitCase		0		1				0													
99510402	多重电阵视觉效果-2	2	0.9				0			4			1						-1						FxMe1BioMd004050Attack01		-1			1					0	0	0										1	0.5		1	99510404			0	1														0	HitCase		0		1				0													
99510403	多重电阵视觉效果-3	2	0.9				0			4			1						-1						FxMe1BioMd004050Attack01		-1			1					0	0	0										1	0.5		1	99510404			0	1														0	HitCase		0		1				0													
99510404	伤害	2	2				0			4			1						-1		FxDibingShouji						-1			1					0	0	0										2							0	2				995104041	811010									0	HitCase		0		1				1													
99510501	电阵视觉效果	2	0.1				0			4			1						-1						FxMe1BioMd004050Attack01		-1			1					0	0	0										1	0.5		1	99510502			0	1														0	HitCase		0		1				0													
99510502	伤害	2	2				0			4			1						-1		FxDibingShouji						-1			1					0	0	0										2							0	2				995105021	811010									0	HitCase		0		1				1													
99510602	迸发攻击	2	3				0			4			1						-1						FxMe1BioMd004050Attack01		-1			1					0	0	0										1	0.5		1	99510604			0	1														0	HitCase		0		1				0													
99510604	伤害	2	3				0			4			1						-1		FxDibingShouji						-1			1					0	0	0										2							0	2				995106041	811004									0	HitCase		0		1				1													
90370101	远程普攻	2	1				40			4			5						-1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian01		-1			1					0	0	0										0							0	1				903701011	801045	995206								1			0		0				1													
90370106	屏幕外预警	2	0.1			0	0			4			0.9						-1					HitCase	FxYujingXian02		-1			1					0	0	0										0							0	1														0	HitCase		1		1				0													
90370201	蓄力一击	2	1				50			4			5						-1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian02		-1			1					0	0	0										0							0	1				903702011	801032	995207								1			0		0				1													
90370206	屏幕外预警	2	0.1			0	0			4			1.8						-1					HitCase	FxYujingXian02		-1			1					0	0	0										0							0	1														0	HitCase		1		1				0													
90370301	会心一击-攻击	2	2				15			4			3		1				-1						FxMe1BioMd004050Jian02		-1			3	-55	0	15	1	0	0	0										0	9999		1	90370309	1		1	1														1	HitCase		0		0			1	0													
90370302	伤害-受击	2	2				0			4			0.1		1				-1		FxMe1BioMd004050Shouji						-1			1					0	0	0										2							3	2				903703021	801055	995208								0			0		0				1													
90370305	会心一击-释放特效	2	3				0			4			1.4						-1						FxMe1BioMd004050Attack03		-1			1					0	0	0										0							0	1														0	HitCase	1	0		1				0													
90370306	预警特效	2	2				0			4			1.1						-1						FxYujing1M10S		-1			1					0	0	0										1							0	1														0	HitCase	1	0		0				0													
90370309	爆炸特效	2	2				0			4			1						-1						FxMe1BioMd004050Attack03Zha		-1			1					0	0	0										2	0.1		1	90370302			3	1														0	HitCase		0		0				0													
90370401	挥击	3	3	80		0	0			4			0.1						-1		FxMe1BioMd004050Shouji						-1			1					0	0	0										0							0	1				903704011	801030	995209								1		1	0		1				1													
90370501	灵活反击	2	1				40			4			5						-1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian02		-1			1					0	0	0										0							0	1				903705011	801030	995210								1			0		0				1													
90370601	远程普攻	2	1				40			4			5						-1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian01		-1			1					0	0	0										0							0	1				903706011	301371	995206								1			0		0				1													
90370606	屏幕外预警	2	0.1			0	0			4			0.9						-1					HitCase	FxYujingXian02		-1			1					0	0	0										0							0	1														0	HitCase		1		1				0													
90370701	蓄力一击	2	1				50			4			5						-1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian02		-1			1					0	0	0										0							0	1				903707011	301372	995207								1			0		0				1													
90370706	屏幕外预警	2	0.1			0	0			4			1.8						-1					HitCase	FxYujingXian02		-1			1					0	0	0										0							0	1														0	HitCase		1		1				0													
90370801	挥击	3	3	80		0	0			4			0.1						-1		FxMe1BioMd004050Shouji						-1			1					0	0	0										0							0	1				903708011	301373	995209								1		1	0		1				1													
90370901	蓄力一击	1	3	25		12	0			4			0.2						1	0	FxScene01905Paotai_shouji		0				1			1					0	0	0										0							0	3				903709011	801040	995207				750790				1			0		0				1													
90370902	预警1	2	0.1		0	0	0			4			0.45						-1						FxYujingXian02		-1			1					0	0	0										0							0	1														1	HitCase		1		1				0													
90370903	预警2	2	0.1		0	0	0			4			0.5						-1						FxYujingXian01		-1			1					0	0	0										0							0	1														1	HitCase		1		1				0													
90370906	过载-灼烧地面	1	3	25	0	12	0			4			5						-1	1			0.3				-1			1					0	0	0										0							0	1		0	0		750794									0	HitCase		0		0				0													
90375101	位移闪避-玩家操作	2	1				40		0	4			5						-1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian02		-1			1					0	0	0										0							0	1		0.2	0.1	903751011	801030	995210								0	HitCase		0		0				1													
90375201	位移闪避-玩家操作	1	2	1			40		0	4			5						-1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian02		-1			1					0	0	0										0							0	1		0.2	0.1	903752011	801030	995210								0	HitCase		0		0				1													
