Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	LineParams[8]	LineParams[9]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[2]	MagicLauncherNpc[3]	MagicLauncherNpc[4]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	DeathWithNpc	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	BindBornNpc	SingleClientEffect	TimeScale	TimeScaleDuration	ReboundTimes	ReboundType	CollideFilterType	BuffFilter	NpcHitCount	ShakeMagic	CollideMissileType	FollowHeightJoint	BindLauncherFrame	BindSkillFrame
93050102	伤害判定	1	0.3	2		1.3	0			4			0.1						-1		FxMo1CyborgsoldierAtk01Hit						-1			1					0	0	0										0							0	1				930501021	801050									0	HitCase		1		1				1																	
93050202	伤害判定	3	1.8	180			0			4			0.1						-1		FxMo1CyborgsoldierAtk02Hit						-1			1					0	0	0										0							0	1				930502021	801050									0	HitCase		1		1				1																	
93050302	伤害判定（枪出手）	1	2	2			40		0	4			0.5			1	1	0	-1		FxMo1CyborgsoldierAtk04Hit			Bip001RHand	FxMo1CyborgsoldierAtk03		-1			1					0	0	0										0							0	1				930503021	801050									0	HitCase		0		0				1																	
93050308	地毯式预警	1	2	20		10	0			4			2	1		1	1	1	-1						FxYujingJu01		-1			1					0	0	0										0							0	1														0	HitCase	1	1		1				0																	
93050703	伤害	1	2	3		0.5	0			4			999						-1	1	FxMo1CyborgsoldierAtk07Hit						-1			1					0	0	0										0							0	1				930507031	801050									0	HitCase		1		1				1																	
93050902	伤害判定（枪出手）	1	2	2			40		0	4			0.5			1	1	1	-1		FxMo1CyborgsoldierAtk04Hit			Bip001RHand	FxMo1CyborgsoldierAtk03		-1			1					0	0	0										0							0	1				930509021	801050									0	HitCase		0		1				1		0															
93050909	地毯式预警	1	2	20		10	0			4			2	1.5		1	1	1	-1						FxYujingJu01		-1			1					0	0	0										0							0	1														0	HitCase	1	1		1				0																	
93051202	攻击判定1	1	2	3		1	0		0	4			0.1						-1		FxMo1CyborgsoldierAtk12Hit						-1			1					0	0	0										0							0	1				930512021	801050									0	HitCase		1		1				1																	
93060502	攻击判定	1	1	3.5		1	0			4			0.1						-1		FxMo1CyborgsoldierAtk01Hit						-1			1					0	0	0										0							0	1				930605021	801050									0	HitCase		0		1				1																	
93060902	攻击判定	1	1	3		1	0			4			0.1						-1		FxMo1CyborgsoldierAtk01Hit						-1			1					0	0	0										0							0	1				930609021	801050									0	HitCase		0		1				1																	
93061002	攻击判定	1	1	3		1	0			4			0.1						-1		FxMo1CyborgsoldierAtk01Hit						-1			1					0	0	0										0							0	1				930610021	801050									0	HitCase		0		1				1																	
93061102	攻击判定1	1	2	3		1	0			4			0.1						-1		FxMo1CyborgsoldierAtk01Hit						-1			1					0	0	0										0							0	1				930611021	801050									0	HitCase		0		1				1																	
93061103	攻击判定2	1	2	3		1	0			4			0.1						-1		FxMo1CyborgsoldierAtk01Hit						-1			1					0	0	0										0							0	1				930611031	801050									0	HitCase		0		1				1																	
93061104	攻击判定3	3	2	240		0	0			4			0.1						-1		FxMo1CyborgsoldierAtk01Hit						-1			1					0	0	0										0							0	1				930611041	801050									0	HitCase		0		1				1																	
93061202	攻击判定	1	1	3.5		1	0			4			0.1						-1		FxMo1CyborgsoldierAtk01Hit						-1			1					0	0	0										0							0	1				930612021	801050									0	HitCase		0		1				1																	
97600104	左子弹	1	4	16	-3	15	500			4			2						-1					WeaponCase4	FxZhanJianZiDan		-1			1					0	0	0										0							0	1					976002									0	HitCase		0		0				0																	
97600106	右子弹	1	4	16	3	15	500			4			2						-1					WeaponCase4	FxZhanJianZiDan		-1			1					0	0	0										0							0	1					976002									0	HitCase		0		0				0																	
97610102	子弹	1	2	4	0	4	300			4			2.5					1	1		FxMeFeijiAttack03Shouji			HitCase	FxMeFeijiAttack03		-1			1					0	0	0										0							0	1					976003									0	HitCase	1	0		0				0																	
97610202	二周年-天火-小攻击判定	2	3				0			4			0.6						-1								-1			1					0	0	0										3			1	97610203			0	1					778390	778351				778354				0	HitCase		0		1		0.5		0																	
97610203	二周年-天火-小特效	2	0.1				0			4			2						-1						FxCizhuiTianhuo01		-1			1					0	0	0										2							0	1														0	HitCase		0		1				0																	
