Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	LineParams[8]	LineParams[9]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[2]	MagicLauncherNpc[3]	MagicLauncherNpc[4]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	DeathWithNpc	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	BindBornNpc	SingleClientEffect	TimeScale	TimeScaleDuration	ReboundTimes	ReboundType	CollideFilterType	BuffFilter	NpcHitCount	ShakeMagic	CollideMissileType
10140407		2	0.3				0			4			10						999						FxR3BiankaAttack04Dilie		-1			1																								0																																						
10140606		2	0.3				0			4			10						999						FxR3BiankaAttack11Dandao		-1			1																								0																																						
10140706		2	0.3				0			4			10						999						FxR3BiankaAttack11Dandao		-1			1																								0																																						
10140806		2	0.3				0			4			10						999						FxR3BiankaAttack13Dandao		-1			1																								0																																						
10140904		2	0.3				0			4			10						999						FxR3BiankaAttack21		-1			1																								0																																						
10141004		2	0.3				0			4			10						999						FxR3BiankaAttack21		-1			1																								0																																						
10141104		2	0.3				0			4			10						999						FxR3BiankaAttack21		-1			1																								0																																						
10141221		2	0.3				0			4			10						999						FxR3BiankaAttack31Xiaoshi		-1			1																								0																																						
10141222		2	0.3				0			4			10						999						FxR3BiankaAttack31Chuxian		-1			1																								0																																						
10141321		2	0.3				0			4			10						999						FxR3BiankaAttack31Xiaoshi		-1			1																								0																																						
10141322		2	0.3				0			4			10						999						FxR3BiankaAttack31Chuxian		-1			1																								0																																						
10141421		2	0.3				0			4			10						999						FxR3BiankaAttack31Xiaoshi		-1			1																								0																																						
10141422		2	0.3				0			4			10						999						FxR3BiankaAttack31Chuxian		-1			1																								0																																						
10141510		2	0.3				0			4			10						999						FxQte		-1			1																								0																																						
10141511		2	0.3				0			4			10						999						FxQte		-1			1																								0																																						
10141821		2	0.3				0			4			10						999						FxR3BiankaAttack51Jian		-1			1																								0																																						
10142204		2	0.3				0			4			10						999						FxR3BiankaAttack41Dandao		-1			1																								0																																						
10142304		2	0.3				0			4			10						999						FxR3BiankaAttack41Dandao		-1			1																								0																																						
10142506		2	0.3				0			4			10						999						FxR3BiankaAttack13Dandao		-1			1																								0																																						
10142607		2	0.3				0			4			10						999						FxR3BiankaAttack31Xiaoshi		-1			1																								0																																						
10142608		2	0.3				0			4			10						999						FxR3BiankaAttack31Xiaoshi		-1			1																								0																																						
10142707		2	0.3				0			4			10						999						FxR3BiankaAttack31Xiaoshi		-1			1																								0																																						
10142708		2	0.3				0			4			10						999						FxR3BiankaAttack31Xiaoshi		-1			1																								0																																						
10142805		2	0.3				0			4			10						999						FxR3BiankaAttack41Dandao		-1			1																								0																																						
11020313		2	0.3				0			4			10						999						FxR2KuluomuAttack03Dilie		-1			1																								0																																						
11020413		2	0.3				0			4			10						999						FxR2KuluomuAttack04Dilie		-1			1																								0																																						
11020414		2	0.3				0			4			10						999						FxR2KuluomuAttack04Dilie		-1			1																								0																																						
11020805		2	0.3				0			4			10						999						FxR2KuluomuAttack21		-1			1																								0																		1																				
11020905		2	0.3				0			4			10						999						FxR2KuluomuAttack21		-1			1																								0																		1																				
11021005		2	0.3				0			4			10						999						FxR2KuluomuAttack23		-1			1																								0																		1																				
11021105		2	0.3				0			4			10						999						FxR2KuluomuAttack31Dilie		-1			1																								0																																						
11021205		2	0.3				0			4			10						999						FxR2KuluomuAttack31Dilie		-1			1																								0																																						
11021305		2	0.3				0			4			10						999						FxR2KuluomuAttack33Dilie		-1			1																								0																																						
11021404		2	0.3				0			4			10						999						FxR2KuluomuAttackQteDilie		-1			1																								0															0.3																							
11021405		2	0.3				0			4			10						999						FxQte		-1			1																								0																																						
11021504		2	0.3				0			4			10						999						FxR2KuluomuMove01		-1			1																								0																																						
11021604		2	0.3				0			4			10						999						FxR2KuluomuMove02		-1			1																								0																																						
11022305		2	0.3				0			4			10						999						FxR2KuluomuAttack33Dilie		-1			1																								0																																						
11022421		2	0.3				0			4			1						999						FxR2KuluomuAttack41Chunxian		-1			1																								0																																						
11022422		2	0.3				0			4			10						999						FxR2KuluomuAttack51MoveCanying		-1			1																								0																																						
11022424		2	0.3				0			4			10						999						FxR2KuluomuAttack41Dilie		-1			1																								0																																						
11022521		2	0.3				0			4			1						999						FxR2KuluomuAttack42Chunxian		-1			1																								0																																						
11022522		2	0.3				0			4			10						999						FxR2KuluomuAttack51MoveCanying		-1			1																								0																																						
11022523		2	0.3				0			4			10						999						FxR2KuluomuAttack42Dilie01		-1			1																								0																																						
11022524		2	0.3				0			4			10						999						FxR2KuluomuAttack42Dilie02		-1			1																								0																																						
11022621		2	0.3				0			4			1						999						FxR2KuluomuAttack43Chunxian		-1			1																								0																																						
11022622		2	0.3				0			4			10						999						FxR2KuluomuAttack51MoveCanying		-1			1																								0																																						
11022623		2	0.3				0			4			10						999						FxR2KuluomuAttack43Dilie		-1			1																								0																																						
11022624		2	0.3				0			4			10						999						FxR2KuluomuAttack43Dilie		-1			1																								0																																						
11022721		2	0.3				0			4			1						999						FxR2KuluomuAttack44Chunxian		-1			1																								0																																						
11022722		2	0.3				0			4			10						999						FxR2KuluomuAttack51MoveCanying		-1			1																								0																																						
11022723		2	0.3				0			4			10						999						FxR2KuluomuAttack44Dilie01		-1			1																								0																																						
11022724		2	0.3				0			4			10						999						FxR2KuluomuAttack44Dilie02		-1			1																								0																																						
11022801		2	0.3				0			4			10						999						FxR2KuluomuAttack48		-1			1																								0																																						
11023003		2	0.3				0			4			10						999						FxR2KuluomuAttack49		-1			1																								0																																						
11030308		2	0.3				0			4			10						999						FxR2WeilaAttack0301Dilie		-1			1																								0																																						
11030409		2	0.3				0			4			10						999						FxR2WeilaAttack0403		-1			1																								0																																						
11030613		2	0.3				0			4			10						999						FxR2WeilaAttack1101		-1			1																								0																																						
11030614		2	0.3				0			4			10						999						FxR2WeilaAttack1102		-1			1																								0																																						
11030615		2	0.3				0			4			10						999						FxR2WeilaAttack1103		-1			1																								0																																						
11030616		2	0.3				0			4			10						999						FxR2WeilaAttack1104		-1			1																								0																																						
11030617		2	0.3				0			4			10						999						FxR2WeilaAttack1105		-1			1																								0																																						
11030618		2	0.3				0			4			10						999						FxR2WeilaAttack1101Tuowei		-1			1																								0																																						
11030619		2	0.3				0			4			10						999						FxR2WeilaAttack1102Tuowei		-1			1																								0																																						
11030620		2	0.3				0			4			10						999						FxR2WeilaAttack1103Tuowei		-1			1																								0																																						
11030713		2	0.3				0			4			10						999						FxR2WeilaAttack1101		-1			1																								0																																						
11030714		2	0.3				0			4			10						999						FxR2WeilaAttack1102		-1			1																								0																																						
11030715		2	0.3				0			4			10						999						FxR2WeilaAttack1103		-1			1																								0																																						
11030716		2	0.3				0			4			10						999						FxR2WeilaAttack1104		-1			1																								0																																						
11030717		2	0.3				0			4			10						999						FxR2WeilaAttack1105		-1			1																								0																																						
11030718		2	0.3				0			4			10						999						FxR2WeilaAttack1101Tuowei		-1			1																								0																																						
11030719		2	0.3				0			4			10						999						FxR2WeilaAttack1102Tuowei		-1			1																								0																																						
11030720		2	0.3				0			4			10						999						FxR2WeilaAttack1103Tuowei		-1			1																								0																																						
11030813		2	0.3				0			4			10						999						FxR2WeilaAttack1301		-1			1																								0																																						
11030814		2	0.3				0			4			10						999						FxR2WeilaAttack1302		-1			1																								0																																						
11030815		2	0.3				0			4			10						999						FxR2WeilaAttack1303		-1			1																								0																																						
11030816		2	0.3				0			4			10						999						FxR2WeilaAttack1304		-1			1																								0																																						
11030817		2	0.3				0			4			10						999						FxR2WeilaAttack1305		-1			1																								0																																						
11030818		2	0.3				0			4			10						999						FxR2WeilaAttack1301Tuowei		-1			1																								0																																						
11030819		2	0.3				0			4			10						999						FxR2WeilaAttack1302Tuowei		-1			1																								0																																						
11030820		2	0.3				0			4			10						999						FxR2WeilaAttack1303Tuowei		-1			1																								0																																						
11030904		2	0.3				0			4			10						999						FxR2WeilaAttack21Dilie		-1			1																								0																																						
11031004		2	0.3				0			4			10						999						FxR2WeilaAttack21Dilie		-1			1																								0																																						
11031104		2	0.3				0			4			10						999						FxR2WeilaAttack23Dilie		-1			1																								0																																						
11031212		2	0.3				0			4			10						999						FxR2WeilaAttack31Dandao		-1			1																								0																																						
11031312		2	0.3				0			4			10						999						FxR2WeilaAttack31Dandao		-1			1																								0																																						
11031412		2	0.3				0			4			10						999						FxR2WeilaAttack31Dandao		-1			1																								0																																						
11031503		2	0.3			1.8	0			3			10						999						FxR2WeilaQte		-1			1																								0																																						
11031504		2	0.3				0			4			10						999						FxQte		-1			1																								0																																						
11032413		2	0.3				0			4			10						999						FxR2WeilaAttack1301		-1			1																								0																																						
11032414		2	0.3				0			4			10						999						FxR2WeilaAttack1302		-1			1																								0																																						
11032415		2	0.3				0			4			10						999						FxR2WeilaAttack1303		-1			1																								0																																						
11032416		2	0.3				0			4			10						999						FxR2WeilaAttack1304		-1			1																								0																																						
11032417		2	0.3				0			4			10						999						FxR2WeilaAttack1305		-1			1																								0																																						
11032418		2	0.3				0			4			10						999						FxR2WeilaAttack1301Tuowei		-1			1																								0																																						
11032419		2	0.3				0			4			10						999						FxR2WeilaAttack1302Tuowei		-1			1																								0																																						
11032420		2	0.3				0			4			10						999						FxR2WeilaAttack1303Tuowei		-1			1																								0																																						
11033207		2	0.3				0			4			10						999						FxR2WeilaAttack1002		-1			1																								0																																						
11060205		2	0.3				0			4			10						999						FxR2QuAtk0201Dilie		-1			1																								0																																						
11060206		2	0.3				0			4			10						999						FxR2QuAtk0202Dilie		-1			1																								0																																						
11060304		2	0.3				0			4			10						999						FxR2QuAtk03Dilie		-1			1																								0																																						
