Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	LineParams[8]	LineParams[9]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[2]	MagicLauncherNpc[3]	MagicLauncherNpc[4]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	DeathWithNpc	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	BindBornNpc	SingleClientEffect	TimeScale	TimeScaleDuration	ReboundTimes	ReboundType	CollideFilterType	BuffFilter	NpcHitCount	ShakeMagic
13060104		2	0.3				0			4			2						999						FxR2NuoanAtk01		-1			1																								0																		2		0																	
13060105		2	0.3				0			4			2						999						FxR2NuoanAtk01Dilie		-1			1																								0																		0		0																	
13060206		2	0.3				0			4			2						999						FxR2NuoanAtk02		-1			1																								0																		0		0																	
13060305		2	0.3				0			4			1.2						999						FxR2NuoanAtk0301		-1			1																								0																		2		0																	
13060306		2	0.3				0			4			1						999						FxR2NuoanAtk0302		-1			1																								0																		2		0																	
13060406		2	0.3				0			4			1.2						999						FxR2NuoanAtk0301		-1			1																								0																		0		0																	
13060407		2	0.3			0	0			4			1						999						FxR2NuoanAtk0302		-1			1																								0																		1		0																	
13060418		2	0.3				0			4			2						999						FxR2NuoanAtk04		-1			1																								0																		1		0																	
13060505		2	0.3				0			4			2						999						FxR2NuoanAtk0501		-1			1																								0																		2		0																	
13060506		2	0.3				0			4			2						999						FxR2NuoanAtk0501Dilie		-1			1																								0																				0																	
13060507		2	0.3				0			4			2						999						FxR2NuoanAtk0502		-1			1																								0																				0																	
13060508		2	0.3				0			4			2						999						FxR2NuoanAtk0502Dilie		-1			1																								0																				0																	
13060605		2	0.3				0			4			2						999						FxR2NuoanAtk06Xuli		-1			1																								0																		2		0																	
13060606		2	0.3				0			4			2						999						FxR2NuoanAtk06		-1			1																								0																				0																	
13060607		2	0.3				0			4			2						999						FxR2NuoanAtk06Dilie		-1			1																								0																				0																	
