Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	LineParams[8]	LineParams[9]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[2]	MagicLauncherNpc[3]	MagicLauncherNpc[4]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	DeathWithNpc	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	BindBornNpc	SingleClientEffect	TimeScale	TimeScaleDuration	ReboundTimes	ReboundType	CollideFilterType	BuffFilter	NpcHitCount	ShakeMagic	CollideMissileType	FollowHeightJoint	BindLauncherFrame	BindSkillFrame
42030218		2	0.3				0			4			10						999						FxPet3HeonAtk11Wuli		-1			1																								0																																									
42030318		2	0.3				0			4			10						999						FxPet3HeonAtk11Huo		-1			1																								0																																									
42030423		2	0.3				0			4			10						999						FxPet3HeonAtk11Lei		-1			1																								0																																									
42030518		2	0.3				0			4			10						999						FxPet3HeonAtk11Bing		-1			1																								0																																									
42030618		2	0.3				0			4			10						999						FxPet3HeonAtk11An		-1			1																								0																																									
42030701		2	0.3				0			4			10						999						FxQte		-1			1																								0																																									
42030801		2	0.3				0			4			10						999						FxQte		-1			1																								0																																									
42030901		2	0.3				0			4			10						999						FxQte		-1			1																								0																																									
42031001		2	0.3				0			4			10						999						FxQte		-1			1																								0																																									
42031101		2	0.3				0			4			10						999						FxQte		-1			1																								0																																									
42040203		2	0.3				0			4			5						999						FxPet3MaonAtk01Wuli		-1			1																								0																																									
42040303		2	0.3				0			4			5						999						FxPet3MaonAtk01Huo		-1			1																								0																																									
42040403		2	0.3				0			4			5						999						FxPet3MaonAtk01Lei		-1			1																								0																																									
42040503		2	0.3				0			4			5						999						FxPet3MaonAtk01Bing		-1			1																								0																																									
42040603		2	0.3				0			4			5						999						FxPet3MaonAtk01An		-1			1																								0																																									
42040703		2	0.3				0			4			5						999						FxPet3MaonAtk01Luosaita		-1			1																								0																																									
