Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	LineParams[8]	LineParams[9]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[2]	MagicLauncherNpc[3]	MagicLauncherNpc[4]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	DeathWithNpc	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	BindBornNpc	SingleClientEffect	TimeScale	TimeScaleDuration	ReboundTimes	ReboundType	CollideFilterType	BuffFilter	NpcHitCount	ShakeMagic
84600501		2	0.1			4.5	0			4			10						999						FxMb1Lamiya01Atk09Dilie		-1			1																								0																																					
84600603		2	0.1		-0.3	1.5	0			4			5						999						FxMb1Lamiya01Atk21Dilie		-1			1																								0																																					
84600704		2	0.1				0			4			10						999						FxMb1Lamiya01Atk2302		-1			1																								0															8																						
84600705		2	0.1				0			4			10						999						FxMb1Lamiya01Atk2201		-1			1																								0																																					
84601001		2	0.1				0			4			10						999						FxMb1Lamiya01Atk13		-1			1																								0																																					
84601101		2	0.1				0			4			5						999						FxMb1Lamiya01Atk14		-1			1																								0																																					
84601501		2	0.1				0			4			10						999						FxMb1Lamiya01Atk15		-1			1																								0																																					
84601702		2	0.1				0			4			10						999						FxMb1Lamiya03Atk50Xuli		-1			1																								0																		1																			
84601703		2	0.1				0			4			7						999						FxMb1Lamiya03Luolei		-1			1																								0																																					
84601704		2	0.1				0			4			10						999						FxMb1Lamiya03Atk5001		-1			1																								0																																					
84601705		2	0.1				0			4			10						999						FxMb1Lamiya03Atk5001B		-1			1																								0																																					
84601706		2	0.1				0			4			10						999						FxMb1Lamiya03Atk5001C		-1			1																								0																																					
84601707		2	0.1				0			4			10						999						FxMb1Lamiya03Atk5001D		-1			1																								0																																					
84601708		2	0.1				0			4			10						999						FxMb1Lamiya03Atk5001E		-1			1																								0																																					
84601715		2	0.1				0			4			10						999						FxMb1Lamiya03Atk5101		-1			1																								0																																					
84601716		2	0.1				0			4			10						999						FxMb1Lamiya01Atk2302		-1			1																								0															15																						
84611409		2	0.1				0			4			10						999						FxMb1Lamiya02Atk1607Dilie		-1			1																								0																																					
