Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	LineParams[8]	LineParams[9]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[2]	MagicLauncherNpc[3]	MagicLauncherNpc[4]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	DeathWithNpc	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	BindBornNpc	SingleClientEffect	TimeScale	TimeScaleDuration	ReboundTimes	ReboundType	CollideFilterType	BuffFilter	NpcHitCount	ShakeMagic	CollideMissileType	FollowHeightJoint	BindLauncherFrame	BindSkillFrame	SlopeTargetJoint	IgnoreCollideType
81501101		2	0.3				0			4			10						999						FxMb1OrphanMd030001Attack11		-1			1																								0																																											
81702103		2	0.3				0			4			10						999						FxMb1VirginbioMd030001Attack13		-1			1																								0																																											
81900803		2	0.3				0			4			10						999						FxMb1LuxiyaMd000003Attack45Dilie		-1			1																								0																																											
81900904		2	0.3			2.5	0			4			10						999						FxMb1LuxiyaMd000003Attack11Dandao		-1			1																								0																																											
81902404		2	0.3				0			4			10						999						FxMb1LuxiyaMd000003Attack46Dilie		-1			1																								0																																											
81902505		2	0.3				0			4			10						999						FxMb1LuxiyaMd000003Attack47Dilie		-1			1																								0																																											
81903005		2	0.3				0			4			10						999						FxMb1LuxiyaMd000003Attack47Dilie		-1			1																								0																																											
81903603		2	0.3				0			4			10						999						FxMb1LuxiyaMd000003Attack45Dilie		-1			1																								0																																											
81903904		2	0.3				0			4			10						999						FxMb1LuxiyaMd000003Attack46Dilie		-1			1																								0																																											
81904005		2	0.3				0			4			10						999						FxMb1LuxiyaMd000003Attack47Dilie		-1			1																								0																																											
83100113		2	0.3				0			4			2						999						FxMb1XiuMd010001Attack01Dilie		-1			1																								0																																											
83100114		2	0.3				0			4			2						999						FxMb1XiuMd010001Attack01Dilie02		-1			1																								0																																											
83100222		2	0.3				0			4			10						999						FxMb1XiuMd010001Attack02Dilie		-1			1																								0																																											
83100406		2	0.3				0			4			10						999						FxMb1XiuMd010001Attack04Dilie		-1			1																								0																																											
83100512		2	0.3				0			4			10						999						FxMb1XiuMd010001Attack05Dilie		-1			1																								0																																											
83100605		2	0.3				0			4			10						999						FxMb1XiuMd010001Attack06Dilie		-1			1																								0																																											
83101304		2	0.3				0			4			10						999						FxMb1XiuMd010001Attack13Bo		-1			1																								0																																											
83101405		2	0.3				0			4			10						999						FxMb1XiuMd010001Attack14Dilie		-1			1																								0																																											
83101608		2	0.3				0			4			10						999						FxMb1XiuMd010001Attack13Bo		-1			1																								0																																											
83101805		2	0.3				0			4			10						999						FxMb1XiuMd010001Attack06Dilie		-1			1																								0																																											
83101907		2	0.3				0			4			10						999						FxMb1XiuMd010001Attack13Bo		-1			1																								0																																											
