Id	AttribId	PromotedId	Kind	Type	Name	MoveUseFaceDir	HasRunTilt	HasSquatState	AttribType	SquatMotionOffset	ModelId	BaseHeight	ColliderType	PolygonId	BodyRadius	CameraCollideRadius	HitRadius	IgnoreCollisionToNpc	IgnoreCollisionFromNpc	ModelScale	OffsetScale	EffectScale	MissileScale	UiResId	BossHp	HpWdigetCount	HpWidgetHeight	HpWidgetType	RollCharHeight	LieOnFloorTime	StandUpTailTime	StandUpImmuneHitTime	MaxHitValue	BeHitInterval	ImmuneHitLevel	Ball	RandomBall	AttackSkillId	DodgeSkillId	CatchType	NoThreat	NotToThreatTarget	DeathTime	HasRunToStand	HasRunStart	HasStandTransition	WalkMotionOffset	RunMotionOffset	HasSprintState	SprintMotionOffset	HasSprintTilt	HasSprintToStand	CollisionPriority	ForceSqueezeOut	UseShadowMesh	ShadowQuadScale	DisableMotionRotation	DeathMagic[1]	DeathMagic[2]	DeathMagic[3]	DeathMagic[4]	RobotBornMagic[1]	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	BornMagic[5]	BornMagic[6]	BornMagic[7]	BornMagic[8]	BornMagic[9]	BornMagic[10]	BornMagic[11]	BornMagic[12]	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	SkillId[7]	SkillId[8]	SkillId[9]	SkillId[10]	SkillId[11]	SkillId[12]	SkillId[13]	SkillId[14]	SkillId[15]	SkillId[16]	SkillId[17]	SkillId[18]	SkillId[19]	SkillId[20]	SkillId[21]	SkillId[22]	SkillId[23]	SkillId[24]	SkillId[25]	SkillId[26]	SkillId[27]	SkillId[28]	SkillId[29]	SkillId[30]	SkillId[31]	SkillId[32]	SkillId[33]	SkillId[34]	SkillId[35]	SkillId[36]	SkillId[37]	SkillId[38]	SkillId[39]	SkillId[40]	SkillId[41]	SkillId[42]	SkillId[43]	SkillId[44]	SkillId[45]	SkillId[46]	SkillId[47]	SkillId[48]	SkillId[49]	SkillId[50]	SkillId[51]	SkillId[52]	SkillId[53]	SkillId[54]	SkillId[55]	SkillId[56]	SkillId[57]	SkillId[58]	SkillId[59]	SkillId[60]	SkillId[61]	SkillId[62]	SkillId[63]	SkillId[64]	SkillId[65]	SkillId[66]	SkillId[67]	SkillId[68]	SkillId[69]	SkillId[70]	SkillId[71]	SkillId[72]	SkillId[73]	SkillId[74]	SkillId[75]	SkillId[76]	SkillId[77]	SkillId[78]	SkillId[79]	SkillId[80]	SkillId[81]	SkillId[82]	SkillId[83]	SkillId[84]	SkillId[85]	SkillId[86]	SkillId[87]	SkillId[88]	SkillId[89]	SkillId[90]	SkillId[91]	SkillId[92]	SkillId[93]	SkillId[94]	SkillId[95]	SkillId[96]	SkillId[97]	SkillId[98]	SkillId[99]	SkillId[100]
9093	9093	9300	3	1	Monkfish				0		Mo1YingdengyuMd010001		1		1	1				1	1	1			0				1.5			0.3	10										0.05	0									3			1		90930098	90930096	90930094	90930092		9093	900007	900008	100027	900011	900051							909301	909302	909303	909304	909305	909306	909307	909308	909309	909310	909311	909312																																																																																								
9094	9094	9300	3	1	Bronto Scorpion				0		Mo1CiganxieMd010001		1		1	1				1	1	1			0				1.5			0.3	10										0										3			1		90940098	90940096	90940094	90940092		9094	900007	900011										909401	909402	909403	909404	909405	909406	909407	909408	909409	909410	909411																																																																																									
8450	8420	9300	1	1	Voodoo				0		Mb1VoodooMd010001		1		1	1				1	1	1			1	5	0.8	2	1.5	0		0.3	10										0										3		1			84500098	84500096	84500094	84500092		8450	900007	900011										845001	845002	845003	845004	845005	845006	845007	845008	845009	845010	845011	845012	845013	845014	845015	845016	845017	845018	845019	845020	845021	845022	845023	845024	845025	845026	845027	845028	845029	845030	845031	845032	845033	845034	845035	845036	845037	845038	845039	845040	845041	845042	845043	845044	845045	845046	845047	845048	845049	845050	845051	845052	845053	845054	845055	845056																																												
8451	8420	9300	1	1	Voodoo Beast Form				0		Mb1VoodooMd010002		1		1	1				1	1	1			1	5	0.8	2	1.5			0.3	10										0										3		1			84510098	84510096	84510094	84510092		8451																																																																																																															
8452	8420	9300	1	1	Voodoo Bird Form				0		Mb1VoodooMd010001		1		1	1				1	1	1			1	5	0.8	2	1.5	0		0.3	10										0										3		1			84520098	84520096	84520094	84520092		8452																																																																																																															
8481	8420	9300	1	1	Red Tide's Daughter				0		Mb1PunishdataMd010001		1		2.5	1				1	1	1			1	100	0.8	2	1.5	0		0.3	10										0										3		1			84810098	84810096	84810094	84810092		8481	845107	100097	900011	848107	845196	845197						848101	848102	848103	848104	848105	848106	848107	848108	848109	848110	848111	848112	848113	848114	848115	848116	848117	848118																																																																																		
8480	8420	9300	3	1	The Punishing Virus Data Set				0				0		1	1		1	1	1	1	1			1	5	0.8	2	1.5	0		0.3	10										0										3			1		84800098	84800096	84800094	84800092		8480	777313	777314	777315	777316	777317	777318	777319					848001																																																																																																			
8488	8420	9300	3	1	Magic Circle				0				0		1	1		1	1	1	1	1			1	5	0.8	2	1.5	0		0.3	10										0										3			1							8488	777313	777314	777315	777316	777317	777318	777319					848801																																																																																																			
8220	8350	8350	1	1	MC Solar				0		Mb1RapperMd000001		1		1.5	1				1	1	1			1	100	0.8	2	1.5	0		0.3	10										0				1	1					3		1			82200098	82200096	82200094	82200092		8220	845107	777326	777331	822086	822087	822093						822001	822002	822003	822004	822005	822006	822007	822008	822009	822010	822011	822012	822013	822014	822015	822016	822017	822018	822019	822020	822021	822022	822023	822024	822025	822026	822027	822028	822029	822030	822031	822032	822033	822034	822035	822036	822037	822038	822039	822040	822041	822042	822043	822044	822045	822046	822047	822048	822049	822050	822051	822052	822053	822054	822055	822056	822057	822058	822059	822060	822061	822062	822063	822064	822065	822066	822067																																	
8221	8420	9300	2	1	Guitar Player				0		Me1GuitaristMd000001		1		1.5	1				1	1	1			1	20	0.8	2	1.5	0		0.3	10										0										3			1.5		82210098	82210096	82210094	82210092		8221	822008	845107	822040	777317	777313	777328	777314					822101	822102	822103	822104																																																																																																
8222	8420	9300	2	1	Keyboard Player				0		Me1KeyboardistMd000001		1		1.5	1				1	1	1			1	20	0.8	2	1.5	0		0.3	10										0										3			1.5		82220098	82220096	82220094	82220092		8222	822008	845107	822041	777317	777313	777328	777314					822201	822202	822203																																																																																																	
8223	8420	9300	2	1	Drummer				0		Me1DrummerMd000001		1		1.5	1				1	1	1			1	20	0.8	2	1.5	0		0.3	10										0										3			1.5		82230098	82230096	82230094	82230092		8223	822008	845107	822042	777317	777313	777328	777314					822301	822302	822303																																																																																																	
8229	9094	9300	1	1	Rapper				0		Mb1PunishdataMd010002		1		1	1				1	1	1			0				1.5			0.3	10										0										3		1			82290098	82290096	82290094	82290092		8229	822008	845107										822901																																																																																																			
8540	8350	8350	1	1	Lithos				0		Mb1HuoshaMd010001		1		3	1				1	1	1			1	100	0.8	2	1.5	0		0.3	10										0										3		1			85400098	85400096	85400094	85400092		8540	845107	845196	777328	854143	854144							854001	854002	854003	854004	854005	854006	854007	854008	854009	854010	854011	854012	854013	854014	854015	854016	854017	854018	854019	854020	854021	854022	854023	854024	854025	854026	854027	854028	854029	854030	854031	854032	854033	854034	854035	854036	854037	854038	854039	854040	854041	854042	854043	854044	854045	854046	854047	854048	854049	854050	854051	854052	854053	854054	854055	854056																																												
8541	8420	9300		1	Lithos				0		Mb1HuoshaMd010001		1		3	1				1	1	1			1	100	0.8	2	1.5	0		0.3	10										0										3			3		85410098	85410096	85410094	85410092		8541	854049	854056										854101																																																																																																			
8542	8420	9300	3	1	Paper Crane				0				1		1	1				1	1	1			1	5	0.8	2	1.5	0		0.3	10										0										3			1		85420098	85420096	85420094	85420092		8542	777313	777314	777315	777316	777317	777318	777319					854201																																																																																																			
8543	8420	9300	3	1	Serpent Tail				0		Mb1HuoshatailMd010002		1		1	1				1	1	1			1	5	0.8	2	1.5	0		0.3	10										0										3			1		85430098	85430096	85430094	85430092		8543	777313	777314	777315	777316	777317	777318	777319					854301	854302	854303	854304																																																																																																
8544	8420	9300	3	1	Lithos' Wheelchair				0		Mb1HuoshachairMd010001		1		3	1				1	1	1			1	100	0.8	2	1.5	0		0.3	10										0										3			3		85440098	85440096	85440094	85440092		8544	777313	777314	777315	777316	777317	777318	777319					854401																																																																																																			
8545	8420	9300	3	1	Tornado				0				1		1	1				1	1	1			1	5	0.8	2	1.5	0		0.3	10										0										3			1		85450098	85450096	85450094	85450092		8545	777313	777314	777315	777316	777317	777318	777319					854501																																																																																																			
