Id	AttribId	PromotedId	Kind	Type	Name	MoveUseFaceDir	HasRunTilt	HasSquatState	AttribType	SquatMotionOffset	ModelId	BaseHeight	ColliderType	PolygonId	BodyRadius	CameraCollideRadius	HitRadius	IgnoreCollisionToNpc	IgnoreCollisionFromNpc	ModelScale	OffsetScale	EffectScale	MissileScale	UiResId	BossHp	HpWdigetCount	HpWidgetHeight	HpWidgetType	RollCharHeight	LieOnFloorTime	StandUpTailTime	StandUpImmuneHitTime	MaxHitValue	BeHitInterval	Ball	RandomBall	AttackSkillId	DodgeSkillId	CatchType	NoThreat	NotToThreatTarget	DeathTime	HasRunToStand	HasRunStart	HasStandTransition	WalkMotionOffset	RunMotionOffset	HasSprintState	SprintMotionOffset	CollisionPriority	UseShadowMesh	ShadowQuadScale	DeathMagic[1]	DeathMagic[2]	DeathMagic[3]	DeathMagic[4]	RobotBornMagic[1]	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	BornMagic[5]	BornMagic[6]	BornMagic[7]	BornMagic[8]	BornMagic[9]	BornMagic[10]	BornMagic[11]	BornMagic[12]	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	SkillId[7]	SkillId[8]	SkillId[9]	SkillId[10]	SkillId[11]	SkillId[12]	SkillId[13]	SkillId[14]	SkillId[15]	SkillId[16]	SkillId[17]	SkillId[18]	SkillId[19]	SkillId[20]	SkillId[21]	SkillId[22]	SkillId[23]	SkillId[24]	SkillId[25]	SkillId[26]	SkillId[27]	SkillId[28]	SkillId[29]	SkillId[30]	SkillId[31]	SkillId[32]	SkillId[33]	SkillId[34]	SkillId[35]	SkillId[36]	SkillId[37]	SkillId[38]	SkillId[39]	SkillId[40]	SkillId[41]	SkillId[42]	SkillId[43]	SkillId[44]	SkillId[45]	SkillId[46]	SkillId[47]	SkillId[48]	SkillId[49]	SkillId[50]	SkillId[51]	SkillId[52]	SkillId[53]	SkillId[54]	SkillId[55]	SkillId[56]	SkillId[57]	SkillId[58]	SkillId[59]	SkillId[60]	SkillId[61]	SkillId[62]	SkillId[63]	SkillId[64]	SkillId[65]	SkillId[66]	SkillId[67]	SkillId[68]	SkillId[69]	SkillId[70]	SkillId[71]	SkillId[72]	SkillId[73]	SkillId[74]	SkillId[75]	SkillId[76]	SkillId[77]	SkillId[78]	SkillId[79]	SkillId[80]	SkillId[81]	SkillId[82]	SkillId[83]	SkillId[84]	SkillId[85]	SkillId[86]	SkillId[87]	SkillId[88]	SkillId[89]	SkillId[90]	SkillId[91]	SkillId[92]	SkillId[93]	SkillId[94]	SkillId[95]	SkillId[96]	SkillId[97]	SkillId[98]	SkillId[99]	SkillId[100]
900300	90030	90024	2	3	Repairer (Extreme)	1			0		Mo1XiulijigongMd000001		1		0.7	0.7	0.1			1.2	1	1.2			0	5	0.8	2	1.5	0		0.3	20									0.05	0							3		0.7	90030098	90030096	90030094	90030092		301210	900007	900008	100027	900011	900051							900307	900308																																																																																																		
900900	90090	90025	2	3	Ground Monitor (Extreme)	1			0		Mo1DimianjianshiqiMd000001		1		1	1	0.1			1	1	1			0	5	1	2	1.5			0.3	20									0.05	0							3		1	90090098	90090096	90090094	90090092		301230	900007	900008	100027	900011	900051							900903	900904																																																																																																		
901000	9010	9300	2	3	Aerial Monitor (Extreme)	1			0		Mo1KongzhongjianshiqiMd000001		1		1	1	0.1			1.2	1	1.2			0	5	0.8	2	1.5			0.3	20									0.05	0							3		1	90100098	90100096	90100094	90100092			900007	900008	100027	900011	900051							901001	901002																																																																																																		
901100	9011	9302	2	3	Pilgrim (Extreme)	1			0		Me1XunjingzheMd000001		1		1	1	0.2			1	1	1			0	5	1.1	2	1.5			0.3	20									0.05	0							3		1	90110098	90110096	90110094	90110092			900007	900008	100027	900011	900051							901101	901102	901103																																																																																																	
901200	9012	9300	2	3	Protector (Extreme)	1			0		Mo1BaohuzheMd000001		1		1.3	1.3	0.2			1.2	1	1.2			0	5	1.1	2	1.5			0.3	20									0.05	0							3		1.3	90120098	90120096	90120094	90120092			900007	900008	100027	900011	900051							901201	901202	901203																																																																																																	
901300	90130	90023	2	3	Tamer (Extreme)	1			0		Me1XunshoushiMd000001		1		1.7	1.7	1.5			1.2	1	1.2			0	5	0.8	2	1.5			0.3	20									0.05	0							3		1.7	90130098	90130096	90130094	90130092		301330	900007	900008	100027	900011	900051	730061						901305	901306	901307																																																																																																	
901400	9014	9300	2	3	Jitterbomb (Extreme)	1			0		Mo1LiebianyuanchongMd000001		1		0.6	0.6	0.1			1.2	1	1.2		100201	0	5	0.8	2	1.5			0.3	20		1#994201|2#994203|3#994202	1#1#15|2#1#15|3#1#15						0	0							3		0.6							900008	100027	900011	900051	901412							901401	901402																																																																																																		
901500	90150	90026	2	3	Hydraulic (Extreme)	1			0		Mo1YeyaMd000001		1		1.2	1.2	0.5			1.2	1	1.2			0	5	1.1	2	1.5			0.3	20									0.05	0							3		1.2	90150098	90150096	90150094	90150092		301270	900007	900008	100027	900011	900051	730061						901507	901508																																																																																																		
901600	9016	9300	2	3	Sentry Gun (Extreme)	1			0		Mo1ShaojiejipaoMd000001		1		0.8	0.8	0.3			1.2	1	1.2			0	5	0.8	2	1.5			0.3	20									0.05	0							3		0.8	90160098	90160096	90160094	90160092			900007	900008	100027	900011	900051							901601	901602																																																																																																		
901700	9017	9300	2	3	Missionary (Extreme)	1			0		Mo1BudaozheMd000001		1		0.5	0.5	0.1			1.2	1	1.2			0	5	0.8	2	1.5			0.3	20									0.05	0							3		0.5	90170098	90170096	90170094	90170092			900007	900008	100027	900011	900051							901701	901702	901703	901704	901705	901706																																																																																														
