Role	Animation	Layer	TotalFrame	TailLength
Mb1SandwormMd030001	Attack01	0	54	0
Mb1SandwormMd030001	Attack02	0	49	0
Mb1SandwormMd030001	Attack03	0	58	0
Mb1SandwormMd030001	Attack04	0	127	0
Mb1SandwormMd030001	Attack05	0	199	0
Mb1SandwormMd030001	Attack06	0	40	0
Mb1SandwormMd030001	Attack07	0	21	0
Mb1SandwormMd030001	Attack08	0	40	0
Mb1SandwormMd030001	Attack09	0	74	0
Mb1SandwormMd030001	Attack11	0	64	0
Mb1SandwormMd030001	Attack12	0	47	0
Mb1SandwormMd030001	Attack13	0	40	0
Mb1SandwormMd030001	Born	0	112	0
Mb1SandwormMd030001	Death	0	78	0
Mb1SandwormMd030001	Stand1	0	41	0
Mb1SandwormMd030001	Stand2	0	41	0
Mb1SandwormMd030001	Walk	0	41	0
