Role	Animation	Layer	TotalFrame	TailLength
Mb1TankarmorMd030002	Attack07	0	106	0
Mb1TankarmorMd030002	Attack08	0	65	0
Mb1TankarmorMd030002	Attack09	0	82	0
Mb1TankarmorMd030002	Attack10	0	171	0
Mb1TankarmorMd030002	Attack11	0	67	0
Mb1TankarmorMd030002	Attack12	0	65	0
Mb1TankarmorMd030002	Attack13	0	71	0
Mb1TankarmorMd030002	Attack27	0	20	0
Mb1TankarmorMd030002	Attack28	0	21	0
Mb1TankarmorMd030002	Attack29	0	29	0
Mb1TankarmorMd030002	Attack31	0	29	0
Mb1TankarmorMd030002	Attack32	0	31	0
Mb1TankarmorMd030002	Attack33	0	31	0
Mb1TankarmorMd030002	Attack34	0	35	0
Mb1TankarmorMd030002	Attack35	0	35	0
Mb1TankarmorMd030002	Attack36	0	67	0
Mb1TankarmorMd030002	Born	0	106	0
Mb1TankarmorMd030002	Death	0	33	0
Mb1TankarmorMd030002	Run	0	41	0
Mb1TankarmorMd030002	Stand2	0	40	0
Mb1TankarmorMd030002	Straight	0	10	0
Mb1TankarmorMd030002	StraightAfter	0	41	0
Mb1TankarmorMd030002	StraightBefore	0	26	0
