Role	Animation	Layer	TotalFrame	TailLength
Mb1TrackalienMd010001	Attack01	0	211	0
Mb1TrackalienMd010001	Attack02	0	224	0
Mb1TrackalienMd010001	Attack03	0	211	0
Mb1TrackalienMd010001	Attack04	0	121	0
Mb1TrackalienMd010001	Attack05	0	121	0
Mb1TrackalienMd010001	Attack06	0	121	0
Mb1TrackalienMd010001	Attack07	0	114	0
Mb1TrackalienMd010001	Attack08	0	127	0
Mb1TrackalienMd010001	Attack09	0	127	0
Mb1TrackalienMd010001	Attack10	0	127	0
Mb1TrackalienMd010001	Attack11	0	127	0
Mb1TrackalienMd010001	Attack12	0	81	0
Mb1TrackalienMd010001	Attack13	0	81	0
Mb1TrackalienMd010001	Attack14	0	174	0
Mb1TrackalienMd010001	Attack15	0	174	0
Mb1TrackalienMd010001	Attack16	0	67	0
Mb1TrackalienMd010001	Attack17	0	67	0
Mb1TrackalienMd010001	Attack19	0	41	0
Mb1TrackalienMd010001	Attack20	0	41	0
Mb1TrackalienMd010001	Attack21	0	61	0
Mb1TrackalienMd010001	Attack22	0	61	0
Mb1TrackalienMd010001	Attack23	0	87	0
Mb1TrackalienMd010001	Attack24	0	77	0
Mb1TrackalienMd010001	Attack25	0	77	0
Mb1TrackalienMd010001	Attack26	0	77	0
Mb1TrackalienMd010001	Attack27	0	94	0
Mb1TrackalienMd010001	Born	0	157	0
Mb1TrackalienMd010001	Death	0	101	0
Mb1TrackalienMd010001	Hit1	0	24	0
Mb1TrackalienMd010001	Hit2	0	24	0
Mb1TrackalienMd010001	Stand2	0	94	0
Mb1TrackalienMd010001	Stand3	0	41	0
