Role	Animation	Layer	TotalFrame	TailLength	OffsetX[1]	OffsetZ[1]	Cos[1]	Sin[1]	OffsetX[2]	OffsetZ[2]	Cos[2]	Sin[2]	OffsetX[3]	OffsetZ[3]	Cos[3]	Sin[3]	OffsetX[4]	OffsetZ[4]	Cos[4]	Sin[4]	OffsetX[5]	OffsetZ[5]	Cos[5]	Sin[5]	OffsetX[6]	OffsetZ[6]	Cos[6]	Sin[6]	OffsetX[7]	OffsetZ[7]	Cos[7]	Sin[7]	OffsetX[8]	OffsetZ[8]	Cos[8]	Sin[8]	OffsetX[9]	OffsetZ[9]	Cos[9]	Sin[9]	OffsetX[10]	OffsetZ[10]	Cos[10]	Sin[10]	OffsetX[11]	OffsetZ[11]	Cos[11]	Sin[11]	OffsetX[12]	OffsetZ[12]	Cos[12]	Sin[12]	OffsetX[13]	OffsetZ[13]	Cos[13]	Sin[13]	OffsetX[14]	OffsetZ[14]	Cos[14]	Sin[14]	OffsetX[15]	OffsetZ[15]	Cos[15]	Sin[15]	OffsetX[16]	OffsetZ[16]	Cos[16]	Sin[16]	OffsetX[17]	OffsetZ[17]	Cos[17]	Sin[17]	OffsetX[18]	OffsetZ[18]	Cos[18]	Sin[18]	OffsetX[19]	OffsetZ[19]	Cos[19]	Sin[19]	OffsetX[20]	OffsetZ[20]	Cos[20]	Sin[20]	OffsetX[21]	OffsetZ[21]	Cos[21]	Sin[21]	OffsetX[22]	OffsetZ[22]	Cos[22]	Sin[22]	OffsetX[23]	OffsetZ[23]	Cos[23]	Sin[23]	OffsetX[24]	OffsetZ[24]	Cos[24]	Sin[24]	OffsetX[25]	OffsetZ[25]	Cos[25]	Sin[25]	OffsetX[26]	OffsetZ[26]	Cos[26]	Sin[26]	OffsetX[27]	OffsetZ[27]	Cos[27]	Sin[27]	OffsetX[28]	OffsetZ[28]	Cos[28]	Sin[28]	OffsetX[29]	OffsetZ[29]	Cos[29]	Sin[29]	OffsetX[30]	OffsetZ[30]	Cos[30]	Sin[30]	OffsetX[31]	OffsetZ[31]	Cos[31]	Sin[31]	OffsetX[32]	OffsetZ[32]	Cos[32]	Sin[32]	OffsetX[33]	OffsetZ[33]	Cos[33]	Sin[33]	OffsetX[34]	OffsetZ[34]	Cos[34]	Sin[34]	OffsetX[35]	OffsetZ[35]	Cos[35]	Sin[35]	OffsetX[36]	OffsetZ[36]	Cos[36]	Sin[36]	OffsetX[37]	OffsetZ[37]	Cos[37]	Sin[37]	OffsetX[38]	OffsetZ[38]	Cos[38]	Sin[38]	OffsetX[39]	OffsetZ[39]	Cos[39]	Sin[39]	OffsetX[40]	OffsetZ[40]	Cos[40]	Sin[40]	OffsetX[41]	OffsetZ[41]	Cos[41]	Sin[41]	OffsetX[42]	OffsetZ[42]	Cos[42]	Sin[42]	OffsetX[43]	OffsetZ[43]	Cos[43]	Sin[43]	OffsetX[44]	OffsetZ[44]	Cos[44]	Sin[44]	OffsetX[45]	OffsetZ[45]	Cos[45]	Sin[45]	OffsetX[46]	OffsetZ[46]	Cos[46]	Sin[46]	OffsetX[47]	OffsetZ[47]	Cos[47]	Sin[47]	OffsetX[48]	OffsetZ[48]	Cos[48]	Sin[48]	OffsetX[49]	OffsetZ[49]	Cos[49]	Sin[49]	OffsetX[50]	OffsetZ[50]	Cos[50]	Sin[50]	OffsetX[51]	OffsetZ[51]	Cos[51]	Sin[51]	OffsetX[52]	OffsetZ[52]	Cos[52]	Sin[52]	OffsetX[53]	OffsetZ[53]	Cos[53]	Sin[53]	OffsetX[54]	OffsetZ[54]	Cos[54]	Sin[54]	OffsetX[55]	OffsetZ[55]	Cos[55]	Sin[55]	OffsetX[56]	OffsetZ[56]	Cos[56]	Sin[56]	OffsetX[57]	OffsetZ[57]	Cos[57]	Sin[57]	OffsetX[58]	OffsetZ[58]	Cos[58]	Sin[58]	OffsetX[59]	OffsetZ[59]	Cos[59]	Sin[59]	OffsetX[60]	OffsetZ[60]	Cos[60]	Sin[60]	OffsetX[61]	OffsetZ[61]	Cos[61]	Sin[61]	OffsetX[62]	OffsetZ[62]	Cos[62]	Sin[62]	OffsetX[63]	OffsetZ[63]	Cos[63]	Sin[63]	OffsetX[64]	OffsetZ[64]	Cos[64]	Sin[64]	OffsetX[65]	OffsetZ[65]	Cos[65]	Sin[65]	OffsetX[66]	OffsetZ[66]	Cos[66]	Sin[66]	OffsetX[67]	OffsetZ[67]	Cos[67]	Sin[67]	OffsetX[68]	OffsetZ[68]	Cos[68]	Sin[68]	OffsetX[69]	OffsetZ[69]	Cos[69]	Sin[69]	OffsetX[70]	OffsetZ[70]	Cos[70]	Sin[70]	OffsetX[71]	OffsetZ[71]	Cos[71]	Sin[71]	OffsetX[72]	OffsetZ[72]	Cos[72]	Sin[72]	OffsetX[73]	OffsetZ[73]	Cos[73]	Sin[73]	OffsetX[74]	OffsetZ[74]	Cos[74]	Sin[74]	OffsetX[75]	OffsetZ[75]	Cos[75]	Sin[75]	OffsetX[76]	OffsetZ[76]	Cos[76]	Sin[76]	OffsetX[77]	OffsetZ[77]	Cos[77]	Sin[77]	OffsetX[78]	OffsetZ[78]	Cos[78]	Sin[78]	OffsetX[79]	OffsetZ[79]	Cos[79]	Sin[79]	OffsetX[80]	OffsetZ[80]	Cos[80]	Sin[80]	OffsetX[81]	OffsetZ[81]	Cos[81]	Sin[81]	OffsetX[82]	OffsetZ[82]	Cos[82]	Sin[82]	OffsetX[83]	OffsetZ[83]	Cos[83]	Sin[83]	OffsetX[84]	OffsetZ[84]	Cos[84]	Sin[84]	OffsetX[85]	OffsetZ[85]	Cos[85]	Sin[85]	OffsetX[86]	OffsetZ[86]	Cos[86]	Sin[86]	OffsetX[87]	OffsetZ[87]	Cos[87]	Sin[87]	OffsetX[88]	OffsetZ[88]	Cos[88]	Sin[88]	OffsetX[89]	OffsetZ[89]	Cos[89]	Sin[89]	OffsetX[90]	OffsetZ[90]	Cos[90]	Sin[90]	OffsetX[91]	OffsetZ[91]	Cos[91]	Sin[91]	OffsetX[92]	OffsetZ[92]	Cos[92]	Sin[92]	OffsetX[93]	OffsetZ[93]	Cos[93]	Sin[93]	OffsetX[94]	OffsetZ[94]	Cos[94]	Sin[94]	OffsetX[95]	OffsetZ[95]	Cos[95]	Sin[95]	OffsetX[96]	OffsetZ[96]	Cos[96]	Sin[96]	OffsetX[97]	OffsetZ[97]	Cos[97]	Sin[97]	OffsetX[98]	OffsetZ[98]	Cos[98]	Sin[98]	OffsetX[99]	OffsetZ[99]	Cos[99]	Sin[99]	OffsetX[100]	OffsetZ[100]	Cos[100]	Sin[100]	OffsetX[101]	OffsetZ[101]	Cos[101]	Sin[101]	OffsetX[102]	OffsetZ[102]	Cos[102]	Sin[102]	OffsetX[103]	OffsetZ[103]	Cos[103]	Sin[103]	OffsetX[104]	OffsetZ[104]	Cos[104]	Sin[104]	OffsetX[105]	OffsetZ[105]	Cos[105]	Sin[105]	OffsetX[106]	OffsetZ[106]	Cos[106]	Sin[106]	OffsetX[107]	OffsetZ[107]	Cos[107]	Sin[107]	OffsetX[108]	OffsetZ[108]	Cos[108]	Sin[108]
Me1PoliceMd010001	Attack01	0	42	0.016667	0	0	1	0	0	-0.0149	1	0	0	-0.031	1	0	0	-0.0487	1	0	0	-0.072	1	0	0	-0.1163	1	0	0	-0.164	1	0	0	-0.1834	1	0	0	-0.16	1	0	0	-0.1501	1	0	0	-0.1651	1	0	0	-0.1902	1	0	0	-0.2199	1	0	0	-0.2481	1	0	0	-0.2686	1	0	0	-0.2753	1	0	0	-0.262	1	0	0	-0.2606	1	0	0	0.453	1	0	0	0.4699	1	0	0	0.201	1	0	0	0.1583	1	0	0	0.147	1	0	0	0.1282	1	0	0	0.117	1	0	0	0.1244	1	0	0	0.161	1	0	0	0.1941	1	0	0	0.198	1	0	0	0.1851	1	0	0	0.161	1	0	0	0.1304	1	0	0	0.084	1	0	0	0.0328	1	0	0	-0.005	1	0	0	-0.0287	1	0	0	-0.048	1	0	0	-0.063	1	0	0	-0.068	1	0	0	-0.0556	1	0	0	-0.032	1	0	0	-0.0074	1	0	0	0	1	0																																																																																																																																																																																																																																																																				
Me1PoliceMd010001	Attack02	0	44	0.016667	0	0	1	0	0	-0.0524	1	0	0	-0.106	1	0	0	-0.1712	1	0	0	-0.26	1	0	0	-0.3283	1	0	0	-0.319	1	0	0	-0.2471	1	0	0	-0.174	1	0	0	-0.1223	1	0	0	-0.076	1	0	0	-0.0361	1	0	0	0.0053	1	0	0	0.0448	1	0	0	0.068	1	0	0	0.0596	1	0	0	-0.005	1	0	0	-0.093	1	0	0	-0.19	1	0	0	0.9148	1	0	0	2.131	1	0	0	2.7815	1	0	0	3.389	1	0	0	4.023	1	0	0	4.288	1	0	0	4.4162	1	0	0	4.4954	1	0	0	4.5632	1	0	0	4.622	1	0	0	4.6537	1	0	0	4.699	1	0	0	4.7746	1	0	0	4.8208	1	0	0	4.8463	1	0	0	4.8678	1	0	0	4.8857	1	0	0	4.9	1	0	0	4.906	1	0	0	4.903	1	0	0	4.8895	1	0	0	4.867	1	0	0	4.8381	1	0	0	4.799	1	0	0	4.7574	1	0	0	4.744	1	0																																																																																																																																																																																																																																																												
Me1PoliceMd010001	Attack03	0	47	0.033333	0	0	1	0	0	-0.017	1	0	0	-0.035	1	0	0	-0.0493	1	0	0	-0.061	1	0	0	-0.0751	1	0	0	-0.0899	1	0	0	-0.1031	1	0	0	-0.112	1	0	0	-0.1142	1	0	0	-0.1075	1	0	0	-0.0941	1	0	0	-0.0773	1	0	0	-0.057	1	0	0	-0.0329	1	0	0	-0.005	1	0	0	0.027	1	0	0	0.0632	1	0	0	0.104	1	0	0	0.1824	1	0	0	0.361	1	0	0	0.1739	1	0	0	0.06	1	0	0	0.0232	1	0	0	-0.008	1	0	0	-0.009	1	0	0	-0.001	1	0	0	-0.0011	1	0	0	0.001	1	0	0	0.0065	1	0	0	0.021	1	0	0	0.0467	1	0	0	0.0782	1	0	0	0.1087	1	0	0	0.136	1	0	0	0.1646	1	0	0	0.1919	1	0	0	0.2131	1	0	0	0.224	1	0	0	0.1939	1	0	0	0.148	1	0	0	0.1248	1	0	0	0.106	1	0	0	0.088	1	0	0	0.07	1	0	0	0.0512	1	0	0	0.033	1	0	0	0.02	1	0																																																																																																																																																																																																																																																
Me1PoliceMd010001	Attack04	0	47	0.033333	0	0	1	0	0	0.0339	1	0	0	0.0668	1	0	0	0.0993	1	0	0	0.1324	1	0	0	0.1669	1	0	0	0.2037	1	0	0	0.2437	1	0	0	0.2861	1	0	0	0.3305	1	0	0	0.3766	1	0	0	0.424	1	0	0	0.4726	1	0	0	0.522	1	0	0	0.572	1	0	0	0.6223	1	0	0	0.6723	1	0	0	0.7239	1	0	0	0.7806	1	0	0	0.8408	1	0	0	1.004	1	0	0	0.9365	1	0	0	0.941	1	0	0	0.8833	1	0	0	0.82	1	0	0	0.7784	1	0	0	0.744	1	0	0	0.7062	1	0	0	0.674	1	0	0	0.6595	1	0	0	0.6529	1	0	0	0.6388	1	0	0	0.601	1	0	0	0.5352	1	0	0	0.448	1	0	0	0.3473	1	0	0	0.241	1	0	0	0.082	1	0	0	-0.032	1	0	0	-0.0955	1	0	0	-0.096	1	0	0	-0.0582	1	0	0	-0.017	1	0	0	-0.0021	1	0	0	-0.0118	1	0	0	-0.0317	1	0	0	-0.053	1	0	0	-0.066	1	0																																																																																																																																																																																																																																																
Me1PoliceMd010001	Attack05	0	18	0	0	0	1	0	0	0.0093	1	0	0	0.013	1	0	0	-0.0327	1	0	0	-0.147	1	0	0	-0.2591	1	0	0	-0.297	1	0	0	-0.2818	1	0	0	-0.263	1	0	0	-0.2553	1	0	0	-0.248	1	0	0	-0.2447	1	0	0	-0.2424	1	0	0	-0.2409	1	0	0	-0.242	1	0	0	-0.2475	1	0	0	-0.2611	1	0	0	-0.2777	1	0	0	-0.273	1	0																																																																																																																																																																																																																																																																																																																																																																				
Me1PoliceMd010001	Attack06	0	10	0	0	0	1	0	0	0.0167	1	0	0	0.0316	1	0	0	0.0335	1	0	0	0.0181	1	0	0	0.0017	1	0	0	0.009	1	0	0	0.0318	1	0	0	0.031	1	0	0	0.0166	1	0	0	0	1	0																																																																																																																																																																																																																																																																																																																																																																																																				
Me1PoliceMd010001	Attack07	0	34	0.016667	0	0	1	0	0	0.5693	1	0	0	1.131	1	0	0	1.615	1	0	0	2.048	1	0	0	2.4394	1	0	0	2.795	1	0	0	3.0941	1	0	0	3.2869	1	0	0	3.4097	1	0	0	3.511	1	0	0	3.5761	1	0	0	3.63	1	0	0	3.6857	1	0	0	3.7358	1	0	0	3.7863	1	0	0	3.8409	1	0	0	3.8979	1	0	0	3.9549	1	0	0	4.0078	1	0	0	4.053	1	0	0	4.0897	1	0	0	4.122	1	0	0	4.1544	1	0	0	4.189	1	0	0	4.2146	1	0	0	4.22	1	0	0	4.2097	1	0	0	4.196	1	0	0	4.1849	1	0	0	4.176	1	0	0	4.167	1	0	0	4.158	1	0	0	4.149	1	0	0	4.146	1	0																																																																																																																																																																																																																																																																																																				
Me1PoliceMd010001	Attack08	0	18	0.016667	0	0	1	0	0	-0.0493	1	0	0	-0.103	1	0	0	-0.1288	1	0	0	-0.104	1	0	0	-0.0346	1	0	0	0.055	1	0	0	0.1447	1	0	0	0.6	1	0	0	0.7164	1	0	0	0.7766	1	0	0	0.8179	1	0	0	0.86	1	0	0	0.8979	1	0	0	0.9302	1	0	0	0.9592	1	0	0	0.9878	1	0	0	1.0189	1	0	0	1.03	1	0																																																																																																																																																																																																																																																																																																																																																																				
Me1PoliceMd010001	Attack09	0	33	0.033333	0	0	1	0	0	0.3445	1	0	0	0.509	1	0	0	0.5618	1	0	0	0.591	1	0	0	0.5922	1	0	0	0.5786	1	0	0	0.5636	1	0	0	0.551	1	0	0	0.5376	1	0	0	0.521	1	0	0	0.4933	1	0	0	0.4716	1	0	0	0.4785	1	0	0	0.53	1	0	0	0.6222	1	0	0	0.7335	1	0	0	0.8374	1	0	0	0.916	1	0	0	0.9606	1	0	0	0.981	1	0	0	0.9863	1	0	0	0.984	1	0	0	0.9436	1	0	0	0.892	1	0	0	0.8692	1	0	0	0.8527	1	0	0	0.8382	1	0	0	0.823	1	0	0	0.8046	1	0	0	0.7843	1	0	0	0.7631	1	0	0	0.742	1	0	0	0.728	1	0																																																																																																																																																																																																																																																																																																								
Me1PoliceMd010001	Attack10	0	51	0	0	0	1	0	0	-0.0314	1	0	0	-0.0621	1	0	0	-0.0933	1	0	0	-0.126	1	0	0	-0.1625	1	0	0	-0.2088	1	0	0	-0.2589	1	0	0	-0.3026	1	0	0	-0.3283	1	0	0	-0.358	1	0	0	-0.3757	1	0	0	-0.192	1	0	0	0.6782	1	0	0	1.869	1	0	0	2.9608	1	0	0	3.228	1	0	0	3.3592	1	0	0	3.487	1	0	0	3.6038	1	0	0	3.713	1	0	0	3.824	1	0	0	3.953	1	0	0	4.0965	1	0	0	4.24	1	0	0	4.3872	1	0	0	4.498	1	0	0	4.5675	1	0	0	4.6231	1	0	0	4.6667	1	0	0	4.7003	1	0	0	4.725	1	0	0	4.7366	1	0	0	4.7409	1	0	0	4.747	1	0	0	4.7629	1	0	0	4.7894	1	0	0	4.8209	1	0	0	4.853	1	0	0	4.8824	1	0	0	4.9132	1	0	0	4.9413	1	0	0	4.955	1	0	0	4.9458	1	0	0	4.922	1	0	0	4.8969	1	0	0	4.882	1	0	0	4.8709	1	0	0	4.861	1	0	0	4.8505	1	0	0	4.84	1	0																																																																																																																																																																																																																																				
