Role	Animation	Layer	TotalFrame	TailLength	OffsetX[1]	OffsetZ[1]	Cos[1]	Sin[1]	OffsetX[2]	OffsetZ[2]	Cos[2]	Sin[2]	OffsetX[3]	OffsetZ[3]	Cos[3]	Sin[3]	OffsetX[4]	OffsetZ[4]	Cos[4]	Sin[4]	OffsetX[5]	OffsetZ[5]	Cos[5]	Sin[5]	OffsetX[6]	OffsetZ[6]	Cos[6]	Sin[6]	OffsetX[7]	OffsetZ[7]	Cos[7]	Sin[7]	OffsetX[8]	OffsetZ[8]	Cos[8]	Sin[8]	OffsetX[9]	OffsetZ[9]	Cos[9]	Sin[9]	OffsetX[10]	OffsetZ[10]	Cos[10]	Sin[10]	OffsetX[11]	OffsetZ[11]	Cos[11]	Sin[11]	OffsetX[12]	OffsetZ[12]	Cos[12]	Sin[12]	OffsetX[13]	OffsetZ[13]	Cos[13]	Sin[13]	OffsetX[14]	OffsetZ[14]	Cos[14]	Sin[14]	OffsetX[15]	OffsetZ[15]	Cos[15]	Sin[15]	OffsetX[16]	OffsetZ[16]	Cos[16]	Sin[16]	OffsetX[17]	OffsetZ[17]	Cos[17]	Sin[17]	OffsetX[18]	OffsetZ[18]	Cos[18]	Sin[18]	OffsetX[19]	OffsetZ[19]	Cos[19]	Sin[19]	OffsetX[20]	OffsetZ[20]	Cos[20]	Sin[20]	OffsetX[21]	OffsetZ[21]	Cos[21]	Sin[21]	OffsetX[22]	OffsetZ[22]	Cos[22]	Sin[22]	OffsetX[23]	OffsetZ[23]	Cos[23]	Sin[23]	OffsetX[24]	OffsetZ[24]	Cos[24]	Sin[24]	OffsetX[25]	OffsetZ[25]	Cos[25]	Sin[25]	OffsetX[26]	OffsetZ[26]	Cos[26]	Sin[26]	OffsetX[27]	OffsetZ[27]	Cos[27]	Sin[27]	OffsetX[28]	OffsetZ[28]	Cos[28]	Sin[28]	OffsetX[29]	OffsetZ[29]	Cos[29]	Sin[29]	OffsetX[30]	OffsetZ[30]	Cos[30]	Sin[30]	OffsetX[31]	OffsetZ[31]	Cos[31]	Sin[31]	OffsetX[32]	OffsetZ[32]	Cos[32]	Sin[32]	OffsetX[33]	OffsetZ[33]	Cos[33]	Sin[33]	OffsetX[34]	OffsetZ[34]	Cos[34]	Sin[34]	OffsetX[35]	OffsetZ[35]	Cos[35]	Sin[35]	OffsetX[36]	OffsetZ[36]	Cos[36]	Sin[36]	OffsetX[37]	OffsetZ[37]	Cos[37]	Sin[37]	OffsetX[38]	OffsetZ[38]	Cos[38]	Sin[38]	OffsetX[39]	OffsetZ[39]	Cos[39]	Sin[39]	OffsetX[40]	OffsetZ[40]	Cos[40]	Sin[40]	OffsetX[41]	OffsetZ[41]	Cos[41]	Sin[41]	OffsetX[42]	OffsetZ[42]	Cos[42]	Sin[42]	OffsetX[43]	OffsetZ[43]	Cos[43]	Sin[43]	OffsetX[44]	OffsetZ[44]	Cos[44]	Sin[44]	OffsetX[45]	OffsetZ[45]	Cos[45]	Sin[45]	OffsetX[46]	OffsetZ[46]	Cos[46]	Sin[46]	OffsetX[47]	OffsetZ[47]	Cos[47]	Sin[47]	OffsetX[48]	OffsetZ[48]	Cos[48]	Sin[48]	OffsetX[49]	OffsetZ[49]	Cos[49]	Sin[49]	OffsetX[50]	OffsetZ[50]	Cos[50]	Sin[50]	OffsetX[51]	OffsetZ[51]	Cos[51]	Sin[51]	OffsetX[52]	OffsetZ[52]	Cos[52]	Sin[52]	OffsetX[53]	OffsetZ[53]	Cos[53]	Sin[53]	OffsetX[54]	OffsetZ[54]	Cos[54]	Sin[54]	OffsetX[55]	OffsetZ[55]	Cos[55]	Sin[55]	OffsetX[56]	OffsetZ[56]	Cos[56]	Sin[56]	OffsetX[57]	OffsetZ[57]	Cos[57]	Sin[57]	OffsetX[58]	OffsetZ[58]	Cos[58]	Sin[58]	OffsetX[59]	OffsetZ[59]	Cos[59]	Sin[59]	OffsetX[60]	OffsetZ[60]	Cos[60]	Sin[60]	OffsetX[61]	OffsetZ[61]	Cos[61]	Sin[61]	OffsetX[62]	OffsetZ[62]	Cos[62]	Sin[62]	OffsetX[63]	OffsetZ[63]	Cos[63]	Sin[63]	OffsetX[64]	OffsetZ[64]	Cos[64]	Sin[64]	OffsetX[65]	OffsetZ[65]	Cos[65]	Sin[65]	OffsetX[66]	OffsetZ[66]	Cos[66]	Sin[66]	OffsetX[67]	OffsetZ[67]	Cos[67]	Sin[67]	OffsetX[68]	OffsetZ[68]	Cos[68]	Sin[68]	OffsetX[69]	OffsetZ[69]	Cos[69]	Sin[69]	OffsetX[70]	OffsetZ[70]	Cos[70]	Sin[70]	OffsetX[71]	OffsetZ[71]	Cos[71]	Sin[71]	OffsetX[72]	OffsetZ[72]	Cos[72]	Sin[72]	OffsetX[73]	OffsetZ[73]	Cos[73]	Sin[73]	OffsetX[74]	OffsetZ[74]	Cos[74]	Sin[74]	OffsetX[75]	OffsetZ[75]	Cos[75]	Sin[75]	OffsetX[76]	OffsetZ[76]	Cos[76]	Sin[76]	OffsetX[77]	OffsetZ[77]	Cos[77]	Sin[77]	OffsetX[78]	OffsetZ[78]	Cos[78]	Sin[78]	OffsetX[79]	OffsetZ[79]	Cos[79]	Sin[79]	OffsetX[80]	OffsetZ[80]	Cos[80]	Sin[80]	OffsetX[81]	OffsetZ[81]	Cos[81]	Sin[81]	OffsetX[82]	OffsetZ[82]	Cos[82]	Sin[82]	OffsetX[83]	OffsetZ[83]	Cos[83]	Sin[83]	OffsetX[84]	OffsetZ[84]	Cos[84]	Sin[84]	OffsetX[85]	OffsetZ[85]	Cos[85]	Sin[85]	OffsetX[86]	OffsetZ[86]	Cos[86]	Sin[86]	OffsetX[87]	OffsetZ[87]	Cos[87]	Sin[87]	OffsetX[88]	OffsetZ[88]	Cos[88]	Sin[88]	OffsetX[89]	OffsetZ[89]	Cos[89]	Sin[89]	OffsetX[90]	OffsetZ[90]	Cos[90]	Sin[90]	OffsetX[91]	OffsetZ[91]	Cos[91]	Sin[91]	OffsetX[92]	OffsetZ[92]	Cos[92]	Sin[92]	OffsetX[93]	OffsetZ[93]	Cos[93]	Sin[93]	OffsetX[94]	OffsetZ[94]	Cos[94]	Sin[94]	OffsetX[95]	OffsetZ[95]	Cos[95]	Sin[95]	OffsetX[96]	OffsetZ[96]	Cos[96]	Sin[96]	OffsetX[97]	OffsetZ[97]	Cos[97]	Sin[97]	OffsetX[98]	OffsetZ[98]	Cos[98]	Sin[98]	OffsetX[99]	OffsetZ[99]	Cos[99]	Sin[99]	OffsetX[100]	OffsetZ[100]	Cos[100]	Sin[100]	OffsetX[101]	OffsetZ[101]	Cos[101]	Sin[101]	OffsetX[102]	OffsetZ[102]	Cos[102]	Sin[102]	OffsetX[103]	OffsetZ[103]	Cos[103]	Sin[103]	OffsetX[104]	OffsetZ[104]	Cos[104]	Sin[104]	OffsetX[105]	OffsetZ[105]	Cos[105]	Sin[105]	OffsetX[106]	OffsetZ[106]	Cos[106]	Sin[106]	OffsetX[107]	OffsetZ[107]	Cos[107]	Sin[107]	OffsetX[108]	OffsetZ[108]	Cos[108]	Sin[108]	OffsetX[109]	OffsetZ[109]	Cos[109]	Sin[109]	OffsetX[110]	OffsetZ[110]	Cos[110]	Sin[110]	OffsetX[111]	OffsetZ[111]	Cos[111]	Sin[111]	OffsetX[112]	OffsetZ[112]	Cos[112]	Sin[112]	OffsetX[113]	OffsetZ[113]	Cos[113]	Sin[113]	OffsetX[114]	OffsetZ[114]	Cos[114]	Sin[114]	OffsetX[115]	OffsetZ[115]	Cos[115]	Sin[115]
NPC1GouzaotiMd10001	Attack01	0	26	0.016667	0	0	1	0	0	-0.0904	1	0	0	-0.164	1	0	0	-0.245	1	0	0	-0.344	1	0	0	-0.4233	1	0	0	-0.452	1	0	0	-0.4635	1	0	0	-0.466	1	0	0	-0.4636	1	0	0	-0.46	1	0	0	-0.4582	1	0	0	-0.463	1	0	0	-0.477	1	0	0	-0.5	1	0	0	-0.5374	1	0	0	-0.559	1	0	0	-0.5577	1	0	0	-0.553	1	0	0	-0.5495	1	0	0	-0.545	1	0	0	-0.54	1	0	0	-0.535	1	0	0	-0.5295	1	0	0	-0.525	1	0	0	-0.5191	1	0	0	-0.518	1	0																																																																																																																																																																																																																																																																																																																																																																
NPC1GouzaotiMd10001	Attack02	0	6	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
NPC1GouzaotiMd10001	Attack03	0	19	0.033333	0	0	1	0	0	0.0997	1	0	0	0.214	1	0	0	0.327	1	0	0	0.422	1	0	0	0.4844	1	0	0	0.514	1	0	0	0.5216	1	0	0	0.519	1	0	0	0.5175	1	0	0	0.517	1	0	0	0.5127	1	0	0	0.513	1	0	0	0.5135	1	0	0	0.514	1	0	0	0.515	1	0	0	0.516	1	0	0	0.517	1	0	0	0.518	1	0	0	0.518	1	0																																																																																																																																																																																																																																																																																																																																																																																												
NPC1GouzaotiMd10001	Attack04	0	21	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
NPC1GouzaotiMd10001	Attack11	0	37	0.033333	0	0	1	0	0	-0.0418	1	0	0	-0.088	1	0	0	-0.1146	1	0	0	-0.131	1	0	0	-0.1456	1	0	0	-0.158	1	0	0	-0.1671	1	0	0	-0.175	1	0	0	-0.1809	1	0	0	-0.18	1	0	0	-0.164	1	0	0	-0.148	1	0	0	-0.1394	1	0	0	-0.132	1	0	0	-0.1245	1	0	0	-0.117	1	0	0	-0.1096	1	0	0	-0.101	1	0	0	-0.0901	1	0	0	-0.077	1	0	0	-0.0145	1	0	0	-0.024	1	0	0	-0.0423	1	0	0	-0.064	1	0	0	-0.0866	1	0	0	-0.108	1	0	0	-0.1244	1	0	0	-0.134	1	0	0	-0.1322	1	0	0	-0.118	1	0	0	-0.0984	1	0	0	-0.081	1	0	0	-0.0641	1	0	0	-0.046	1	0	0	-0.028	1	0	0	-0.011	1	0	0	0	1	0																																																																																																																																																																																																																																																																																																																				
NPC1GouzaotiMd10001	Attack12	0	87	0.033333	0	0	1	0	0	-0.0318	1	0	0	-0.068	1	0	0	-0.0995	1	0	0	-0.121	1	0	0	-0.1396	1	0	0	-0.155	1	0	0	-0.1682	1	0	0	-0.178	1	0	0	-0.1807	1	0	0	-0.162	1	0	0	-0.1436	1	0	0	-0.132	1	0	0	-0.1205	1	0	0	-0.109	1	0	0	-0.0952	1	0	0	-0.077	1	0	0	-0.0134	1	0	0	-0.024	1	0	0	-0.0576	1	0	0	-0.098	1	0	0	-0.128	1	0	0	-0.141	1	0	0	-0.1462	1	0	0	-0.148	1	0	0	-0.1456	1	0	0	-0.141	1	0	0	-0.1364	1	0	0	-0.125	1	0	0	-0.1006	1	0	0	-0.056	1	0	0	0.0089	1	0	0	-0.024	1	0	0	-0.4452	1	0	0	-0.682	1	0	0	-0.7274	1	0	0	-0.72	1	0	0	-0.6766	1	0	0	-0.586	1	0	0	-0.4165	1	0	0	-0.212	1	0	0	-0.0685	1	0	0	0.012	1	0	0	0.052	1	0	0	0.02	1	0	0	-0.0748	1	0	0	-0.065	1	0	0	-0.0147	1	0	0	-0.059	1	0	0	-0.1248	1	0	0	-0.194	1	0	0	-0.2606	1	0	0	-0.316	1	0	0	-0.2862	1	0	0	-0.369	1	0	0	-1.1571	1	0	0	-1.627	1	0	0	-1.7114	1	0	0	-1.636	1	0	0	-1.5307	1	0	0	-1.467	1	0	0	-1.42	1	0	0	-1.391	1	0	0	-1.3734	1	0	0	-1.358	1	0	0	-1.3449	1	0	0	-1.333	1	0	0	-1.3239	1	0	0	-1.316	1	0	0	-1.3099	1	0	0	-1.305	1	0	0	-1.2957	1	0	0	-1.293	1	0	0	-1.3221	1	0	0	-1.402	1	0	0	-1.5277	1	0	0	-1.667	1	0	0	-1.7886	1	0	0	-1.873	1	0	0	-1.9318	1	0	0	-1.977	1	0	0	-2.0178	1	0	0	-2.054	1	0	0	-2.0718	1	0	0	-2.075	1	0	0	-2.069	1	0	0	-2.062	1	0	0	-2.062	1	0																																																																																																												
NPC1GouzaotiMd10001	Attack13	0	66	0.016667	0	0	1	0	0	-0.0093	1	0	0	-0.013	1	0	0	-0.0137	1	0	0	-0.01	1	0	0	-0.0055	1	0	0	0	1	0	0	0.017	1	0	0	0.043	1	0	0	0.1027	1	0	0	0.149	1	0	0	-0.0061	1	0	0	-0.448	1	0	0	-0.5733	1	0	0	-0.594	1	0	0	-0.5763	1	0	0	-0.518	1	0	0	-0.4043	1	0	0	-0.213	1	0	0	-0.0214	1	0	0	0.097	1	0	0	0.1634	1	0	0	0.188	1	0	0	0.1212	1	0	0	0.043	1	0	0	0.0931	1	0	0	0.114	1	0	0	0.0539	1	0	0	-0.014	1	0	0	-0.0828	1	0	0	-0.147	1	0	0	-0.2058	1	0	0	-0.106	1	0	0	-0.473	1	0	0	-1.254	1	0	0	-1.5504	1	0	0	-1.561	1	0	0	-1.4649	1	0	0	-1.37	1	0	0	-1.3158	1	0	0	-1.274	1	0	0	-1.2506	1	0	0	-1.234	1	0	0	-1.2194	1	0	0	-1.207	1	0	0	-1.1959	1	0	0	-1.187	1	0	0	-1.1799	1	0	0	-1.174	1	0	0	-1.1682	1	0	0	-1.159	1	0	0	-1.1643	1	0	0	-1.208	1	0	0	-1.3065	1	0	0	-1.44	1	0	0	-1.577	1	0	0	-1.687	1	0	0	-1.7606	1	0	0	-1.814	1	0	0	-1.8566	1	0	0	-1.897	1	0	0	-1.928	1	0	0	-1.94	1	0	0	-1.9399	1	0	0	-1.932	1	0	0	-1.9277	1	0	0	-1.928	1	0																																																																																																																																																																																																
NPC1GouzaotiMd10001	Attack14	0	19	0.033333	0	0	1	0	0	-0.0454	1	0	0	-0.038	1	0	0	0.0054	1	0	0	0.096	1	0	0	0.2655	1	0	0	0.47	1	0	0	0.6135	1	0	0	0.694	1	0	0	0.734	1	0	0	0.702	1	0	0	0.6072	1	0	0	0.617	1	0	0	0.6673	1	0	0	0.623	1	0	0	0.5572	1	0	0	0.488	1	0	0	0.4214	1	0	0	0.365	1	0	0	0.337	1	0																																																																																																																																																																																																																																																																																																																																																																																												
NPC1GouzaotiMd10001	Attack15	0	33	0.033333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0174	1	0	0	0.042	1	0	0	-0.0248	1	0	0	-0.103	1	0	0	-0.0529	1	0	0	-0.032	1	0	0	-0.0921	1	0	0	-0.16	1	0	0	-0.2288	1	0	0	-0.293	1	0	0	-0.3518	1	0	0	-0.252	1	0	0	-0.619	1	0	0	-1.4	1	0	0	-1.6964	1	0	0	-1.707	1	0	0	-1.6109	1	0	0	-1.516	1	0	0	-1.4618	1	0	0	-1.42	1	0	0	-1.3966	1	0	0	-1.38	1	0	0	-1.3654	1	0	0	-1.353	1	0	0	-1.3419	1	0	0	-1.333	1	0	0	-1.3259	1	0	0	-1.32	1	0	0	-1.317	1	0																																																																																																																																																																																																																																																																																																																																				
NPC1GouzaotiMd10001	Attack21	0	49	0.033333	0	0	1	0	0	0.2313	1	0	0	0.385	1	0	0	0.4843	1	0	0	0.543	1	0	0	0.5693	1	0	0	0.583	1	0	0	0.5863	1	0	0	0.585	1	0	0	0.5826	1	0	0	0.579	1	0	0	0.5687	1	0	0	0.554	1	0	0	0.5404	1	0	0	0.537	1	0	0	0.5441	1	0	0	1.034	1	0	0	1.1089	1	0	0	1.141	1	0	0	1.1392	1	0	0	1.116	1	0	0	1.0824	1	0	0	1.042	1	0	0	0.9867	1	0	0	0.919	1	0	0	0.8422	1	0	0	0.763	1	0	0	0.6827	1	0	0	0.608	1	0	0	0.5352	1	0	0	0.459	1	0	0	0.381	1	0	0	0.304	1	0	0	0.2302	1	0	0	0.161	1	0	0	0.1002	1	0	0	0.052	1	0	0	0.0268	1	0	0	0.015	1	0	0	0.0045	1	0	0	-0.006	1	0	0	-0.006	1	0	0	-0.006	1	0	0	-0.005	1	0	0	-0.004	1	0	0	-0.003	1	0	0	-0.002	1	0	0	-0.0015	1	0	0	0	1	0	0	0	1	0																																																																																																																																																																																																																																																																				
