Role	Layer	State	Target	TransitionDuration
R4YongyechaobotMd010031	0		Born	0
R4YongyechaobotMd010031	0		Stand1	0.1
R4YongyechaobotMd010031	0		Stand2	0.1
R4YongyechaobotMd010031	0		Stand3	0.1
R4YongyechaobotMd010031	0		Death	0.1
R4YongyechaobotMd010031	0		Standchange	0.1
R4YongyechaobotMd010031	0		Run	0.1
R4YongyechaobotMd010031	0		Walk	0.1
R4YongyechaobotMd010031	0		Runb	0.2
R4YongyechaobotMd010031	0		Runl	0.2
R4YongyechaobotMd010031	0		Runr	0.2
R4YongyechaobotMd010031	0		Walkb	0.1
R4YongyechaobotMd010031	0		Walkl	0.1
R4YongyechaobotMd010031	0		Walkr	0.1
R4YongyechaobotMd010031	0		TurnLeft	0.1
R4YongyechaobotMd010031	0		TurnRight	0.1
R4YongyechaobotMd010031	0		Move1	0.1
R4YongyechaobotMd010031	0		Move2	0.1
R4YongyechaobotMd010031	0		Move3	0.1
R4YongyechaobotMd010031	0		RunStart	0.1
R4YongyechaobotMd010031	0		RunStartEnd01	0.1
R4YongyechaobotMd010031	0		Hit1	0.05
R4YongyechaobotMd010031	0		Hit2	0.05
R4YongyechaobotMd010031	0		Hit3	0.05
R4YongyechaobotMd010031	0		Hit4	0.05
R4YongyechaobotMd010031	0		Behitfly	0.05
R4YongyechaobotMd010031	0		Hoverhit	0.05
R4YongyechaobotMd010031	0		Falldown	0.1
R4YongyechaobotMd010031	0		Hitdown	0.05
R4YongyechaobotMd010031	0		Lieonfloor	0.1
R4YongyechaobotMd010031	0		Standup	0.1
R4YongyechaobotMd010031	0		Straight	0.1
R4YongyechaobotMd010031	0		Stun	0.1
R4YongyechaobotMd010031	0		StraightBefore	0.1
R4YongyechaobotMd010031	0		StraightAfter	0.1
R4YongyechaobotMd010031	0		Win	0
R4YongyechaobotMd010031	0		Win2	0.1
R4YongyechaobotMd010031	0		Stop	0.1
R4YongyechaobotMd010031	0		Fail	0.1
R4YongyechaobotMd010031	0		Save	0.1
R4YongyechaobotMd010031	0		AttackQte	0
R4YongyechaobotMd010031	0		Caught	0.1
R4YongyechaobotMd010031	0		Squatdown	0.1
R4YongyechaobotMd010031	0		RunStartEnd02	0.1
R4YongyechaobotMd010031	0		StopR	0.1
R4YongyechaobotMd010031	0		Attack01	0.1
R4YongyechaobotMd010031	0		Attack02	0.1
R4YongyechaobotMd010031	0		Attack03	0.1
R4YongyechaobotMd010031	0		Attack07	0.1
R4YongyechaobotMd010031	0		Attack11	0.1
R4YongyechaobotMd010031	0		Attack12	0.1
R4YongyechaobotMd010031	0		Attack21	0.1
R4YongyechaobotMd010031	0		Attack22	0.1
R4YongyechaobotMd010031	0		Attack23	0.1
R4YongyechaobotMd010031	0		Attack24	0.1
R4YongyechaobotMd010031	0		Attack31	0.1
R4YongyechaobotMd010031	0		Attack32	0.1
R4YongyechaobotMd010031	0		Attack36	0.1
R4YongyechaobotMd010031	0		Attack39	0.1
R4YongyechaobotMd010031	0		Attack40	0.1
R4YongyechaobotMd010031	0		Attack42	0.1
R4YongyechaobotMd010031	0		Attack43	0.1
R4YongyechaobotMd010031	0		Attack44	0.1
R4YongyechaobotMd010031	0		Attack45	0.1
R4YongyechaobotMd010031	0		Attack46	0.1
R4YongyechaobotMd010031	0		Attack47	0.1
R4YongyechaobotMd010031	0	Attack43	Attack47	1
R4YongyechaobotMd010031	0	Attack43	Attack48	1
R4YongyechaobotMd010031	0	Attack47	Attack48	1
R4YongyechaobotMd010031	0	Attack48	Attack47	1
R4YongyechaobotMd010031	0	Attack48	Attack43	1
R4YongyechaobotMd010031	0	Attack47	Attack43	1
R4YongyechaobotMd010031	0		Attack48	0.1
R4YongyechaobotMd010031	0		Attack70	0.1
R4YongyechaobotMd010031	0		Attack71	0.1
R4YongyechaobotMd010031	0		Attack72	0.1
R4YongyechaobotMd010031	0		Attack73	0.1
R4YongyechaobotMd010031	0		Attack74	0.1
R4YongyechaobotMd010031	0		Attack75	0.1
R4YongyechaobotMd010031	0		Attack80	0.1
R4YongyechaobotMd010031	0		Attack81	0.1
R4YongyechaobotMd010031	0		Attack82	0.1
R4YongyechaobotMd010031	0		Attack92	0.1
R4YongyechaobotMd010031	0		Attack93	0.1
R4YongyechaobotMd010031	0		Attack94	0.1
R4YongyechaobotMd010031	0		Attack25_Front_Loop	0.1
R4YongyechaobotMd010031	0		Attack25_Left_End	0.1
R4YongyechaobotMd010031	0		Attack25_Left_Loop	0.1
R4YongyechaobotMd010031	0		Attack25_Right_End	0.1
