Id	LightHitTime	HeavyHitTime	HeavyHitChange	HitFlyChange	HitDownChange	SuppressChange
841000	1	1.5		5	6	1
8410	1	1.5		5	6	1
841100	1	1.5		5	6	1
84200	1	1.5		5	6	1
84206	1	1.5		5	6	1
84209	1	1.5		5	6	1
84210	1	1.5		5	6	1
8420	1	1.5		5	6	1
8421	1	1.5		5	6	1
8431	1	1.5		5	6	5
84310	1	1.5		5	6	5
84311	1	1.5		5	6	5
84100	1	1.5		5	6	1
84109	1	1.5		5	6	1
84111	1	1.5		5	6	1
8471	1		1	2	1	2
8472	1		2	1	2	1
847100	1		1	2	1	2
847200	1		2	1	2	1
8501	1		1	2	1	2
8502	1		2	1	2	1
8482	1	1.5	2	1	1	1
848200	1	1.5	2	1	1	1
1054	1	1.5		5	6	6
10510041	1	1.5		5	6	6
10510042	1	1.5		5	6	6
10510043	1	1.5		5	6	6
10510044	1	1.5		5	6	6
10510045	1	1.5		5	6	6
10510046	1	1.5		5	6	6
85010	1		1	2	1	2
85020	1		2	1	2	1
93311	1	1.5		1	2	1
93312	1	1.5		1	2	1
93313	1	1.5		1	2	1
