Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	OriginType	ImmuneHitValue	Acceleration	HitFlyMoveSpeed	HitFlyMoveAcceleration	HitFlyUpSpeed	HitFlyDownSpeed	Rebound	IgnoreImmuneLevel	KeepBeHitFlyUp	ForceBeHit	ResetBeHitFlyHeight	BeHitFlyHeight
111201011	1	0.8	0				0	0		1.5	-2	3	0						
111202011	2	0.8	0				0	0		1.5	-2	3	0						
111202021	5	0.8	0				0			1.5	-2	3	0						
111203011	3	0.8	0				0	3		2	-1	5	0						
111204011	1	0.8	0				0	0		1.5	-2	3	0						
111204021	2	0.8	0				0	0		1.5	-2	3	0						
111205011	1	0.8	0				0	0		1.5	-2	3	0						
111205021	3	0.8	0				0	3		6	-5	0	17	0.35					
111206011	3	0.8	0				0	3		10	-10	4	0	0.35					
111291011	1	0.8	0				0	0		1.5	-2	3	0						
111207011	1	0.8	0				1	0		1.5	-2	3	0						
111207021	4	0.8	0	2	7	0.3	1	3	-16										
111208011	1	0.8	0				1	0		1.5	-2	3	0						
111208021	4	0.8	0	2	7	0.3	1	3	-16										
111209011	1	0.8	0				1	0		1.5	-2	3	0						
111209021	4	0.8	0	2	7	0.3	1	3	-16										
111223011	1	0.8	0				1	0		1.5	-2	3	0						
111223021	4	0.8	0	2	7	0.3	1	3	-16										
111210011	4	0.8	0	2	3		1	3	-3										
111211011	4	0.8	0	2	3		1	3	-3										
111212011	6	0.8	0				1			1.5	-2	3	0						
111212021	4	0.8	0	2	3		1	3	-3										
111224011	3	0.8	0				1	3		5	-5	6	0						
111213031	1	0.8	0				1	0		1.5	-2	3	0						
111213041	3	0.8	0				1	3		2	-2	5	0						
111214031	1	0.8	0				1	0		1.5	-2	3	0						
111214041	4	0.8	0	2	3		1	3	-3										
111215031	1	0.8	0				1	0		1.5	-2	3	0						
111215041	4	0.8	0	2	3		1	3	-3										
111215051	1	0.8	0				1	0		1.5	-2	3	0						
111225031	1	0.8	0				1	0		1.5	-2	3	0						
111225041	4	0.8	0	2	3		1	3	-3										
111216011	1	0.8	0		1		0	0		1.5	-2	3	0						
111217011	5	0.8	0				0			1.5	-2	3	0						
111218011	6	0.8	0				0			1.5	-2	3	0						
111218021	6	0.8	0		2		0		-2	1.5	-2	3	0						
111222041	3	0.8	0				1	3		2	-2	6	0						
111227031	1	0.8	0				1	0		1.5	-2	3	0						
111227041	4	0.8	0	2	3		1	3	-3										
111231011	2	0.8	0				1	0		1.5	-2	3	0						
111231021	6	0.8	0		2		1		-2	1.5	-2	3	0						
