Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	OriginType	ImmuneHitValue	Acceleration	HitFlyMoveSpeed	HitFlyMoveAcceleration	HitFlyUpSpeed	HitFlyDownSpeed	Rebound	IgnoreImmuneLevel	KeepBeHitFlyUp	ForceBeHit	ResetBeHitFlyHeight	BeHitFlyHeight
900001721	1	0.8	0				1	0		1.5	-2	3	0						
971000101	3	1	0		300	1	1	1	100	0	0	5	0						
903901011	6	0.6	0		2	0.6	1		-1.5	1.5	-2	3	0						
903902011	5	0.6	0				1			1.5	-2	3	0						
903903011	3	0.8	0		2	0.8	1	1	-1	3	-2	7	0						
903904011	4	0.4	0	2	25	0.5	1	3	-25	25	-50	0	0						
903905021	3	0.8	0		10	0.8	1	1		2	-2	7.7	0						
903909011	6	0.6	0		2	0.6	1		-1.5	1.5	-2	3	0						
903910011	5	0.6	0				1			1.5	-2	3	0						
821300021	2	0.6	0				1	0		1.5	-2	3	0						
821301011	4	0.5	0	2	10	0.5	1	3	-10	10	-20	0	0						
821302011	4	0.5	0	2	10	0.5	1	3	-10	10	-20	0	0						
821303011	4	0.5	0	2	10	0.5	1	3	-10	10	-20	0	0						
821304011	4	0.5	0	2	10	0.5	1	3	-10	10	-20	0	0						
821401011	4	0.5	0	2	10	0.5	1	3	-10	10	-20	0	0						
821500021	2	0.6	0				1	0		1.5	-2	3	0						
821500061	2	0.6	0				1	0		1.5	-2	3	0						
821500101	2	0.6	0				1	0		1.5	-2	3	0						
821501011	4	0.5	0	2	10	0.5	1	3		10	-20	0	0						
821501021	4	0.5	0	2	10	0.5	1	3		10	-20	0	0						
821503121	1	0.2	0				1	0		1.5	-2	3	0						
821504011	4	0.5	0	2	15	0.5	1	3		10	-20	0	0						
821506011	3	0.5	0		15	0.5	1	1	10	15	-5	3	0						
821510021	2	0.6	0		0	0.6	1	0		1.5	-2	3	0						
821513011	4	0.5	0	2	10	0.5	1	3		10	-20	0	0						
821513021	4	0.5	0	2	10	0.5	1	3		10	-20	0	0						
821515011	4	0.5	0	2	10	0.5	1	3		10	-20	0	0						
821515021	4	0.5	0	2	10	0.5	1	3		10	-20	0	0						
821517121	1	0.2	0				1	0		1.5	-2	3	0						
821518011	4	0.5	0	2	15	0.5	1	3		10	-20	0	0						
821520011	3	0.5	0		15	0.5	1	1	10	15	-5	3	0						
821522121	1	0.2	0				1	0		1.5	-2	3	0						
821523011	4	0.5	0	2	15	0.5	1	3		10	-20	0	0						
201401011	2	0.6	0				1	0		1.5	-2	3	0						
