Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	OriginType	ImmuneHitValue	Acceleration	HitFlyMoveSpeed	HitFlyMoveAcceleration	HitFlyUpSpeed	HitFlyDownSpeed	Rebound	IgnoreImmuneLevel	KeepBeHitFlyUp	ForceBeHit	ResetBeHitFlyHeight	BeHitFlyHeight
900102021	1	1.5	0.2		1	0.2	1	0		1.5	-2	3	0						
900103011	1	0.3	0.2		1	0.2	1	0		1.5	-2	3	0						
900301011	5	0.5	0		20	0.1	1		-200	1.5	-2	3	0						
900302011	1	0.3	0				1	0		1.5	-2	3	0						
900302021	6	0.3	0				1			1.5	-2	3	0						
900303011	1	0.6	0				1	0		1.5	-2	3	0						
900304021	3	0.6	0				1	1		7	-11	5	0						
900307011	5	0.5	0		20	0.1	1		-200	1.5	-2	3	0						
900308011	1	0.3	0				1	0		1.5	-2	3	0						
900308021	6	0.3	0				1			1.5	-2	3	0						
900901011	6	0.3	0		10	0.1	1		-100	1.5	-2	3	0						
900902041	3	0.5	0				1	1		7	-11	5	0						
900903011	6	0.3	0		10	0.1	1		-100	1.5	-2	3	0						
900904041	3	0.5	0				1	1		7	-11	5	0						
901001011	4	0.5	0	2	20	0.4	1	3	-50										
901002021	1	0.3	0				1	0		1.5	-2	3	0						
901101041	5	0.5	0		10	0.1	1		-100	1.5	-2	3	0						
901102031	1	0.3	0				0	0		1.5	-2	3	0						
901102041	2	0.3	0				0	0		1.5	-2	3	0						
901102051	5	0.3	0		5	0.1	0		-10	1.5	-2	3	0						
901103031	5	0.3	0				1			1.5	-2	3	0						
901201011	6	0.3	0		10	0.1	1		-100	1.5	-2	3	0						
901202011	5	0.5	0		10	0.1	1		-100	1.5	-2	3	0						
901203011	3	0.5	0		20	0.4	1	1	-50	7	-11	5	0						
901301011	2	0.5	0		20	0.1	1	0	-200	1.5	-2	3	0						
901302011	3	0.5	0		20	0.4	1	1	-50	7	-11	5	0						
901303021	5	0.5	0		20	0.5	1		-40	1.5	-2	3	0						
901303031	6	0.5	0		20	0.5	1		-40	1.5	-2	3	0						
901305011	2	0.5	0		20	0.1	1	0	-200	1.5	-2	3	0						
901306011	3	0.5	0		20	0.4	1	1	-50	7	-11	5	0						
901307021	5	0.5	0		20	0.5	1		-40	1.5	-2	3	0						
901307031	6	0.5	0		20	0.5	1		-40	1.5	-2	3	0						
901401011	5	0.6	0				1			1.5	-2	3	0						
901501011	5	0.3	0		15	0.1	1		-150	1.5	-2	3	0						
901502011	5	0.3	0		10	0.1	1		-100	1.5	-2	3	0						
901504021	3	0.5	0		10	0.4	1	1		5.5	-13	5.5	2						
901506021	1	0.5	0				1	0		1.5	-2	3	0						
901507011	5	0.3	0		15	0.1	1		-150	1.5	-2	3	0						
901508011	5	0.3	0		10	0.1	1		-100	1.5	-2	3	0						
901601011	1	0.2	0		10	0.1	1	0	-50	1.5	-2	3	0						
901601021	2	0.5	0		10	0.1	1	0	-50	1.5	-2	3	0						
901602021	1	0.2	0				1	0		1.5	-2	3	0						
901602031	2	0.2	0				1	0		1.5	-2	3	0						
901602041	1	0.2	0				1	0		1.5	-2	3	0						
901602051	2	0.2	0				1	0		1.5	-2	3	0						
901602061	1	0.2	0				1	0		1.5	-2	3	0						
901602071	2	0.2	0				1	0		1.5	-2	3	0						
901602081	1	0.2	0				1	0		1.5	-2	3	0						
901602091	2	0.2	0				1	0		1.5	-2	3	0						
901701011	5	0.5	0				1			1.5	-2	3	0						
901702011	3	0.6	0		15	0.5	1	1	-15	18	-30	5	0						
901703011	1	0.5	0				1	0		1.5	-2	3	0						
901704011	5	0.5	0		20	0.1	1		-200	1.5	-2	3	0						
901705011	5	0.5	0				1			1.5	-2	3	0						
901705021	5	0.5	0				1			1.5	-2	3	0						
901705031	5	0.5	0				1			1.5	-2	3	0						
901705041	5	0.5	0				1			1.5	-2	3	0						
901705051	5	0.5	0				1			1.5	-2	3	0						
901801011	6	0.3	0		10	0.1	1		-100	1.5	-2	3	0						
901802011	6	0.3	0		15	0.1	1		-150	1.5	-2	3	0						
901803011	3	0.5	0		10	0.4	1	1		5.5	-13	5	0						
901804011	6	0.3	0		15	0.1	1		-150	1.5	-2	3	0						
901805011	6	0.3	0		10	0.1	1		-100	1.5	-2	3	0						
901806011	3	0.5	0		10	0.4	1	1		5.5	-13	5	0						
901901011	4	0.5	0	2	15	0.4	1	3	-37.5	15	-37.5	5	0						
901902011	6	0.3	0		10	0.1	1		-100	1.5	-2	3	0						
901904011	3	0.6	0		20	0.5	1	1	-30	7	-11	5	0						
901913011	4	0.5	0	2	15	0.4	1	3	-37.5	15	-37.5	5	0						
901914011	6	0.3	0		10	0.1	1		-100	1.5	-2	3	0						
901916011	3	0.6	0		20	0.5	1	1	-30	7	-11	5	0						
902002011	2	0.6	0		20	0.1	1	0	-40	1.5	-2	3	0						
902101011	5	0.5	0		20	0.1	1		-200	1.5	-2	3	0						
902102011	5	0.3	0		20	0.1	1		-200	1.5	-2	3	0						
902103011	2	0.15	0		5	0.1	1	0	-50	1.5	-2	3	0						
902103021	2	0.15	0		5	0.1	1	0	-50	1.5	-2	3	0						
902103031	2	0.15	0		5	0.1	1	0	-50	1.5	-2	3	0						
902104011	6	0.5	0		20	0.1	1		-200	1.5	-2	3	0						
902106011	3	0.5	0		15	0.4	1	1	-20	15	-20	5	0						
902111011	5	0.5	0		20	0.1	1		-200	1.5	-2	3	0						
902112011	2	0.15	0		5	0.1	1	0	-50	1.5	-2	3	0						
902112021	2	0.15	0		5	0.1	1	0	-50	1.5	-2	3	0						
902112031	2	0.15	0		5	0.1	1	0	-50	1.5	-2	3	0						
902114011	3	0.5	0		15	0.4	1	1	-20	15	-20	5	0						
902501011	4	0.5	0	2			1	3											
902502011	1	0.3	0				1	0		1.5	-2	3	0						
902502021	2	0.3	0				1	0		1.5	-2	3	0						
902502031	3	0.5	0		5	0.3	1	1		15	-20	5	0						
902503011	5	0.5	0		15	0.2	1		-75	1.5	-2	3	0						
902504011	5	0.3	0		15	0.2	1		-75	1.5	-2	3	0						
902505011	6	0.4	0				1			1.5	-2	3	0						
902505021	5	0.4	0				1			1.5	-2	3	0						
902507011	4	0.5	0	2			1	3											
902508011	5	0.5	0		15	0.2	1		-75	1.5	-2	3	0						
903601011	1	0.5	0				1	0		1.5	-2	3	0						
903601021	2	0.5	0				1	0		1.5	-2	3	0						
903601031	1	0.5	0				1	0		1.5	-2	3	0						
903601041	2	0.5	0				1	0		1.5	-2	3	0						
903601051	1	0.5	0				1	0		1.5	-2	3	0						
