Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	OriginType	ImmuneHitValue	Acceleration	HitFlyMoveSpeed	HitFlyMoveAcceleration	HitFlyUpSpeed	HitFlyDownSpeed	Rebound	IgnoreImmuneLevel	KeepBeHitFlyUp	ForceBeHit	ResetBeHitFlyHeight	BeHitFlyHeight
851001021	5	0.6	0				1			1.5	-2	3	0		1				
851001051	3	0.6	0		40	0.2	1	1		20	0	15	0						
851002041	2	0.35	0				1	0		1.5	-2	3	0						
851002051	6	0.6	0		10	0.2	1			1.5	-2	3	0						
851003131	3	0.4	0		30	0.15	1	1		4	0	6	0						
851004061	2	0.6	0				1	0		1.5	-2	3	0		1				
851004071	1	0.6	0				1	0		1.5	-2	3	0		1				
851004081	2	0.6	0				1	0		1.5	-2	3	0		1				
851004091	1	0.6	0				1	0		1.5	-2	3	0		1				
851004101	2	0.6	0				1	0		1.5	-2	3	0		1				
851004111	1	0.6	0				1	0		1.5	-2	3	0		1				
851004121	2	0.6	0				1	0		1.5	-2	3	0		1				
851004131	1	0.6	0				1	0		1.5	-2	3	0		1				
851004141	2	0.6	0				1	0		1.5	-2	3	0		1				
851004151	2	0.6	0				1	0		1.5	-2	3	0		1				
851004161	2	0.6	0				1	0		1.5	-2	3	0		1				
851004171	5	0.6	0		20	0.4	1		-50	1.5	-2	3	0		1				
851005181	5	0.6	0		20	0.1	1			1.5	-2	3	0						
851005191	4	0.6	0	2	30	0.2	1	3											
851006491	5	0.6	0		10	0.2	1			1.5	-2	3	0						
851006501	5	0.6	0		10	0.2	1			1.5	-2	3	0						
851007071	3	1	0				1	1		3	0	3	0						
851008021	3	1	0				1	1		3	0	3	0						
851009111	5	0.6	0		20	0.15	1			1.5	-2	3	0						
851014211	3	0.6	0		30	0.2	1	1		5	0	5	1						
851016051	5	0.6	0		10	0.2	1			1.5	-2	3	0						
851017141	1	0.6	0		5	0.2	1	0		1.5	-2	3	0						
851018131	1	0.6	0		5	0.2	1	0		1.5	-2	3	0						
851019131	1	0.6	0		5	0.2	1	0		1.5	-2	3	0						
851020131	1	0.6	0		5	0.2	1	0		1.5	-2	3	0						
851021151	5	0.6	0				1			1.5	-2	3	0						
851021161	5	0.6	0				1			1.5	-2	3	0						
851022261	6	0.6	0				1			1.5	-2	3	0						
851022271	5	0.6	0				1			1.5	-2	3	0						
851022281	6	0.6	0				1			1.5	-2	3	0						
851022291	3	0.6	0		35	0.2	1	1		15	-20	5	0		1				
851024061	5	0.6	0		10	0.2	1			1.5	-2	3	0						
851024071	2	0.6	0		10	0.2	1	0		1.5	-2	3	0						
851024081	2	0.6	0		10	0.2	1	0		1.5	-2	3	0						
851025101	1	0.6	0				1	0		1.5	-2	3	0						
851025111	2	0.6	0				1	0		1.5	-2	3	0						
851025121	1	0.6	0				1	0		1.5	-2	3	0						
851025131	2	0.6	0				1	0		1.5	-2	3	0						
851025141	1	0.6	0				1	0		1.5	-2	3	0						
851025151	2	0.6	0				1	0		1.5	-2	3	0						
851025161	1	0.6	0				1	0		1.5	-2	3	0						
851025171	2	0.6	0				1	0		1.5	-2	3	0						
851025181	1	0.6	0				1	0		1.5	-2	3	0						
851025191	2	0.6	0				1	0		1.5	-2	3	0						
851025201	1	0.6	0				1	0		1.5	-2	3	0						
851025211	2	0.6	0				1	0		1.5	-2	3	0						
851025221	1	0.6	0				1	0		1.5	-2	3	0						
851025231	2	0.6	0				1	0		1.5	-2	3	0						
851025241	1	0.6	0				1	0		1.5	-2	3	0						
851025251	2	0.6	0				1	0		1.5	-2	3	0						
851026161	2	0.6	0				1	0		1.5	-2	3	0						
851026171	2	0.6	0				1	0		1.5	-2	3	0						
851026181	2	0.6	0				1	0		1.5	-2	3	0						
851026191	2	0.6	0				1	0		1.5	-2	3	0						
851026201	2	0.6	0				1	0		1.5	-2	3	0						
851026211	2	0.6	0				1	0		1.5	-2	3	0						
851026221	2	0.6	0				1	0		1.5	-2	3	0						
851026231	2	0.6	0				1	0		1.5	-2	3	0						
851026241	2	0.6	0				1	0		1.5	-2	3	0						
851026251	2	0.6	0				1	0		1.5	-2	3	0						
851026261	2	0.6	0				1	0		1.5	-2	3	0						
851026271	2	0.6	0				1	0		1.5	-2	3	0						
851026281	2	0.6	0				1	0		1.5	-2	3	0						
851026291	2	0.6	0				1	0		1.5	-2	3	0						
851026301	2	0.6	0				1	0		1.5	-2	3	0						
851026311	2	0.6	0				1	0		1.5	-2	3	0						
851027241	5	0.6	0				1			1.5	-2	3	0						
851027261	5	0.6	0		20	0.1	1			1.5	-2	3	0						
851027271	6	0.6	0		20	0.1	1			1.5	-2	3	0						
851028161	3	0.6	0				1	1		5	0	5	1						
851029221	4	0.6	0	2	10	0.2	1	3											
851029231	5	0.6	0				1			1.5	-2	3	0						
851029241	6	0.6	0				1			1.5	-2	3	0						
851029251	3	0.6	0				1	1		5	0	5	1						
851030091	3	0.6	0		10	0.2	1	1		8	0	6	0						
851030111	1	0.6	0				1	0		1.5	-2	3	0						
851031051	3	0.6	0				1	1		5	0	5	1						
851032101	1	0.1	0				1	0		1.5	-2	3	0						
851032191	3	0.6	0				1	1		5	0	5	1						
851034081	2	0.6	0		5	0.1	1	0		1.5	-2	3	0						
851034091	6	0.6	0		15	0.15	1			1.5	-2	3	0						
