Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	OriginType	ImmuneHitValue	Acceleration	HitFlyMoveSpeed	HitFlyMoveAcceleration	HitFlyUpSpeed	HitFlyDownSpeed	Rebound	IgnoreImmuneLevel	KeepBeHitFlyUp	ForceBeHit	ResetBeHitFlyHeight	BeHitFlyHeight
900200021	6	0.5	0				1			1.5	-2	3	0						
900400011	1	0.5	0				1	0		1.5	-2	3	0						
900050011	1	0.5	0				1	0		1.5	-2	3	0						
900050021	2	0.5	0				1	0		1.5	-2	3	0						
900050031	3	0.5	0				1	1		25	-25	8	1						
900050041	4	0.5	0	2			1	3											
900050051	4	0.5	0	2			1	3											
970701011	1	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
970701021	1	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
970701031	1	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
970701041	1	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
970701051	1	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
970702011	3	0.4	0		50	0.5	1	1	-80	25	-21	6	1						
970703011	4	1	0	2	10	0.05	1	3											
970705011	1	0.9	0.2				1	0		1.5	-2	3	0						
970706011	3	0.4	0		50	0.5	1	1	-80	25	-21	6	1						
812001011	1	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
812001021	2	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
812001031	1	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
812001041	2	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
812001051	1	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
812001081	1	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
812001091	2	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
812001101	1	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
812001111	2	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
812001121	1	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
812001131	2	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
812001141	1	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
812001151	2	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
812001161	1	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
812001171	2	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
812001181	1	0.7	0.2		5	0.2	1	0		1.5	-2	3	0						
