Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	OriginType	ImmuneHitValue	Acceleration	HitFlyMoveSpeed	HitFlyMoveAcceleration	HitFlyUpSpeed	HitFlyDownSpeed	Rebound	IgnoreImmuneLevel	KeepBeHitFlyUp	ForceBeHit	ResetBeHitFlyHeight	BeHitFlyHeight
832001011	1	0.7	0				1	0		1.5	-2	3	0						
832002021	1	0.7	0				1	0		1.5	-2	3	0						
832003011	1	0.7	0				1	0		1.5	-2	3	0						
832004011	1	0.4	0				1	0		1.5	-2	3	0						
832004041	3	0.7	0				1	1		20	-25	5	0						
832005011	7	0.4	0				1												
832006011	3	0.8	0				1	1		3.5	-4	5	0						
832006041	3	0.8	0				1	1		9	-8	4	0						
832007011	5	0.8	0.5				1			1.5	-2	3	0						
832007021	6	0.8	0.5				1			1.5	-2	3	0						
832007031	5	0.8	0.5				1			1.5	-2	3	0						
832007041	6	0.8	0.5				1			1.5	-2	3	0						
832007051	5	0.8	0.5				1			1.5	-2	3	0						
832008021	4	0.7	0	2	15	0.5	1	3	-10	0	0	1	0						
832011021	4	0.7	0	2	15	0.5	1	3	-10	0	0	1	0						
832016011	3	0.5	0				1	1		15	-20	6	0						
832016021	3	0.5	0				1	1		15	-20	6	0						
832016031	3	0.5	0				1	1		15	-20	6	0						
832017031	1	0.5	0				1	0		1.5	-2	3	0						
832017041	2	0.5	0				1	0		1.5	-2	3	0						
832019011	5	0.6	0				1			1.5	-2	3	0						
832019021	6	0.6	0				1			1.5	-2	3	0						
832019031	3	0.5	0				1	1		15	-20	5	0						
832031081	4	0.7	0	2			1	3		0	0	1	0						
832032081	4	0.7	0	2	15	0.5	1	3	-10	0	0	1	0						
832035021	1	0.7	0		15	0.5	1	0	-10	0	0	1	0						
832201011	5	0.7	0		15	0.2	1		-8	1.5	-2	3	0						
832201021	3	0.5	0				1	1		32	-38	6.7	0						
832202011	5	1	0				1			1.5	-2	3	0						
832202021	2	0.7	0				1	0		1.5	-2	3	0						
832203011	6	0.7	0				1			1.5	-2	3	0						
832203021	5	0.7	0				1			1.5	-2	3	0						
832203031	4	0.7	0	2	15	0.7	1	3	-8	0	0	1	0						
832204011	6	0.7	0				1			1.5	-2	3	0						
832204021	5	0.7	0				1			1.5	-2	3	0						
832204031	6	0.7	0				1			1.5	-2	3	0						
832204041	4	0.7	0	2	20	0.7	1	3	-20	0	0	1	0						
832204051	6	0.7	0				1			1.5	-2	3	0						
832204061	6	0.7	0				1			1.5	-2	3	0						
832205011	5	0.7	0		6	0.1	1		-6	1.5	-2	3	0						
832205021	2	0.7	0		6	0.1	1	0	-6	1.5	-2	3	0						
832205031	1	0.7	0		6	0.1	1	0	-6	1.5	-2	3	0						
832205041	2	0.7	0		6	0.1	1	0	-6	1.5	-2	3	0						
832205051	4	0.7	0	2	15	0.7	1	3	-8	0	0	1	0						
832206241	5	0.7	0		15	0.2	1		-8	1.5	-2	3	0						
832207041	5	0.7	0				1			1.5	-2	3	0						
832207051	2	0.7	0		6	0.1	1	0	-6	1.5	-2	3	0						
832211011	3	0.5	0				1	1		9	-10	7.8	0						
832211021	3	0.5	0				1	1		9	-10	7.8	0						
832211031	3	0.5	0				1	1		9	-10	7.8	0						
832212011	5	0.8	0.5				1			1.5	-2	3	0						
832212021	6	0.8	0.5				1			1.5	-2	3	0						
832212031	5	0.8	0.5				1			1.5	-2	3	0						
832212041	6	0.8	0.5				1			1.5	-2	3	0						
832212051	5	0.8	0.5				1			1.5	-2	3	0						
832214011	5	0.7	0				1			1.5	-2	3	0						
832215011	5	0.7	0				1			1.5	-2	3	0						
832215021	2	0.7	0				1	0		1.5	-2	3	0						
832215031	4	0.7	0	2	15	0.7	1	3	-8	0	0	1	0						
832216011	3	0.5	0				1	1		9	-10	7.8	0						
832216021	3	0.5	0				1	1		9	-10	7.8	0						
832216031	3	0.5	0				1	1		9	-10	7.8	0						
832231011	5	1	0				1			1.5	-2	3	0						
832231021	2	0.7	0				1	0		1.5	-2	3	0						
832232011	6	0.7	0				1			1.5	-2	3	0						
832232021	5	0.7	0				1			1.5	-2	3	0						
832232031	6	0.7	0				1			1.5	-2	3	0						
832232041	4	0.7	0	2	20	0.7	1	3	-20	0	0	1	0						
832232051	6	0.7	0				1			1.5	-2	3	0						
832232061	6	0.7	0				1			1.5	-2	3	0						
832233011	5	0.7	0				1			1.5	-2	3	0						
832233021	2	0.7	0				1	0		1.5	-2	3	0						
832233031	4	0.7	0	2	15	0.7	1	3	-8	0	0	1	0						
833301051	5	0.7	0				1			1.5	-2	3	0						
833314011	5	0.8	0.5				1			1.5	-2	3	0						
835001011	5	0.6	0				1			1.5	-2	3	0						
835001021	2	0.5	0				1	0		1.5	-2	3	0						
835001031	1	0.5	0				1	0		1.5	-2	3	0						
835001041	2	0.2	0				1	0		1.5	-2	3	0						
835001051	1	0.5	0		-20	0.3	1	0		1.5	-2	3	0						
835002011	2	0.1	0				1	0		1.5	-2	3	0						
835002021	1	0.1	0				1	0		1.5	-2	3	0						
835002031	2	0.1	0				1	0		1.5	-2	3	0						
835002041	1	0.1	0				1	0		1.5	-2	3	0						
835002051	6	0.5	0				1			1.5	-2	3	0						
835002061	5	0.5	0				1			1.5	-2	3	0						
835002071	6	0.35	0				1			1.5	-2	3	0						
835002081	3	0.8	0		30	0.8	1	1	-10	20	-25	5	0						
835005011	1	0.2	0				1	0		1.5	-2	3	0						
835005021	2	0.2	0				1	0		1.5	-2	3	0						
835005031	3	0.5	0		10	0.5	1	1	5	20	-25	5	0						
835006031	3	0.5	0		10	0.5	1	1	5	20	-25	5	0						
835011011	5	0.3	0				1			1.5	-2	3	0						
835011021	3	0.8	0		20	0.8	1	1	-15	20	-25	5	0						
835012011	5	0.6	0				1			1.5	-2	3	0						
835012021	3	0.8	0		20	0.8	1	1	-15	20	-25	5	0						
835013011	5	0.5	0				1			1.5	-2	3	0						
835013021	3	0.5	0		20	0.5	1	1	-5	20	-25	5	0						
835014011	5	0.6	0				1			1.5	-2	3	0						
835021111	3	0.5	0		10	0.5	1	1	5	30	-40	5	0						
835022111	3	0.5	0		10	0.5	1	1	5	30	-40	5	0						
835023111	3	0.5	0				1	1		20	-25	5	0						
835023121	3	0.5	0				1	1		20	-25	5	0						
835023131	3	0.5	0				1	1		20	-25	5	0						
835030011	3	0.5	0		10	0.4	1	1		20	-25	5	0						
835031011	7	0.5	0				1												
835032011	5	0.4	0				1			1.5	-2	3	0						
835032031	3	0.5	0		20	0.5	1	1	-5	20	-25	5	0						
835033011	6	0.5	0				1			0	0	6	0						
835033021	1	0.5	0				1	0		1.5	-2	3	0						
835033031	3	0.5	0		20	0.5	1	1	-5	30	-40	5	0						
835041011	5	0.8	0				1			1.5	-2	3	0						
835042011	6	0.8	0				1			1.5	-2	3	0						
835043011	7	0.8	0				1												
835044111	3	0.5	0		10	0.5	1	1	5	20	-25	5	0						
835045111	3	0.5	0		10	0.5	1	1	5	20	-25	5	0						
835046111	3	0.5	0		10	0.5	1	1	5	20	-25	5	0						
835051011	1	0.4	0				1	0		1.5	-2	3	0						
835051021	2	0.3	0				1	0		1.5	-2	3	0						
835051031	3	0.8	0		20	0.8	1	1	-5	20	-25	5	0						
835052011	3	1.3	0				1	1		0	0	6	0						
835052021	1	0.3	0				1	0		1.5	-2	3	0						
835052031	3	0.4	0		30	0.4	1	1	-5	40	-60	0	10						
835053011	3	1.3	0				1	1		0	0	5	0						
835201111	3	0.8	0.1				1	1		0	0	6	1						
835204111	3	0.8	0		10	0.8	1	1	-5	20	-25	5	0						
835204131	3	0.8	0		10	0.8	1	1	-5	20	-25	5	0						
835204151	3	0.8	0		10	0.8	1	1	-5	20	-25	5	0						
835211111	1	0.7	0				1	0		1.5	-2	3	0						
835211121	3	0.5	0		10	0.5	1	1	5	20	-25	5	0						
835213011	5	0.5	0				1			1.5	-2	3	0						
835213021	3	0.8	0		10	0.8	1	1	-5	20	-25	5	0						
835214011	1	0.5	0				1	0		1.5	-2	3	0						
835214021	6	0.5	0		20	0.2	1		-15	1.5	-2	3	0						
835221031	7	0.8	0				1												
835222111	3	0.8	0		20	0.8	1	1	-5	20	-25	5	0						
835222121	3	0.8	0		20	0.8	1	1	-5	20	-25	5	0						
835222131	3	0.8	0		20	0.8	1	1	-5	20	-25	5	0						
