Id	Range	DistanceCoe	AngleCoe	WithBuffs[1]	WithBuffs[2]	WithBuffs[3]	WithBuffs[4]	WithBuffs[5]	WithoutBuffs[1]	WithoutBuffs[2]	WithoutBuffs[3]	WithoutBuffs[4]	WithoutBuffs[5]
12031902	60	-4	1										
12031903	60	-4	1										
12031904	60	-4	1										
12031905	60	-4	1										
12031906	60	-4	1										
12031907	60	-4	1										
12031908	60	-4	1										
12031909	60	-4	1										
12031910	60	-4	1										
12031911	60	-4	1										
12031912	60	-4	1										
12031913	60	-4	1										
12031914	60	-4	1										
12031915	60	-4	1										
12031916	60	-4	1										
12031917	60	-4	1										
12032804	60	-4	1										
12032805	60	-4	1										
12032806	60	-4	1										
12032807	60	-4	1										
12032808	60	-4	1										
12032809	60	-4	1										
12032810	60	-4	1										
12032811	60	-4	1										
12032812	60	-4	1										
12032813	60	-4	1										
12032814	60	-4	1										
12032815	60	-4	1										
12033204	60	-4	1										
12033205	60	-4	1										
12033206	60	-4	1										
12033207	60	-4	1										
12033208	60	-4	1										
12033209	60	-4	1										
12033210	60	-4	1										
12033211	60	-4	1										
12033212	60	-4	1										
12033213	60	-4	1										
12033214	60	-4	1										
12033215	60	-4	1										
