Id	Icon[1]	Icon[2]	Icon[3]	Icon[4]	LinkEffect[1]	LinkEffect[2]	LinkEffect[3]	LinkEffect[4]	ReleaseEffect[1]	ReleaseEffect[2]	ReleaseEffect[3]	ReleaseEffect[4]	ExEffect[1]	ExEffect[2]	ExEffect[3]	ExEffect[4]
100101	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Li11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
100102	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Li21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
100103	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Li31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
100501	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Yongyechao11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
100502	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Yongyechao21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
100503	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Yongyechao31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
100701	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Kalienina11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
100702	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Kalienina21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
100703	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Kalienina31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
100801	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Dubian11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
100802	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Dubian21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
100803	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Dubian31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
101301	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Lifu11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
101302	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Lifu21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
101303	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Lifu31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
