Id	Icon[1]	Icon[2]	Icon[3]	Icon[4]	Icon[5]	Icon[6]	LinkEffect[1]	LinkEffect[2]	LinkEffect[3]	LinkEffect[4]	LinkEffect[5]	LinkEffect[6]	ReleaseEffect[1]	ReleaseEffect[2]	ReleaseEffect[3]	ReleaseEffect[4]	ReleaseEffect[5]	ReleaseEffect[6]	ExEffect[1]	ExEffect[2]	ExEffect[3]	ExEffect[4]	ExEffect[5]	ExEffect[6]	ClickEffect[1]	ClickEffect[2]	ClickEffect[3]	ClickEffect[4]	ClickEffect[5]	ClickEffect[6]
500101	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Li11.png						FxUiBallLinkRed						FxUi009						FxUijixianshanbi											
500102	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Li21.png						FxUiBallLinkBlue						FxUi009						FxUijixianshanbi											
500103	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Li31.png						FxUiBallLinkYellow						FxUi009						FxUijixianshanbi											
500201	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Kalienina11.png						FxUiBallLinkRed						FxUi009						FxUijixianshanbi											
500202	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Kalienina21.png						FxUiBallLinkBlue						FxUi009						FxUijixianshanbi											
500203	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Kalienina31.png						FxUiBallLinkYellow						FxUi009						FxUijixianshanbi											
500301	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Lifu11.png												FxUi009																	
500302	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Lifu21.png												FxUi009																	
500303	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Lifu31.png												FxUi009																	
500401	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Luosaita11.png						FxUiBallLinkRed						FxUi009						FxUijixianshanbi											
500402	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Luosaita21.png						FxUiBallLinkBlue						FxUi009						FxUijixianshanbi											
500403	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Luosaita31.png						FxUiBallLinkYellow						FxUi009						FxUijixianshanbi											
