Id	Icon[1]	LinkEffect[1]	ReleaseEffect[1]	ExEffect[1]
903761	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
903762	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
903763	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
975106	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
975107	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
975108	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
903461	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
903462	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
903463	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
904310	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
