Id	Icon[1]	LinkEffect[1]	ReleaseEffect[1]	ExEffect[1]
811062	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Lifu11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
811063	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Lifu21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
811064	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Lifu31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
811072	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei11.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
811073	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
811074	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei31.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
812062	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Lifu11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
812063	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Lifu21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
812064	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Lifu31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
812072	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei11.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
812073	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
812074	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei31.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
813062	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Lifu11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
813063	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Lifu21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
813064	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Lifu31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
813072	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei11.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
813073	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
813074	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei31.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
814061	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
814062	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
814063	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
814071	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei11.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
814072	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
814073	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei31.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
