Id	Model	Shape	ShapeParams[1]	ShapeParams[2]	Lifetime	Destructible	Type	BlockNpc	NpcTargetType	BlockMissile	MissileKind	MissileTargetType	MissileInteractType	MissileInteractParams
101		2	101		0	0	2	1	2	1	3	1	1	1
102		2	102		0	0	2	1	2	1	3	1	1	1
103	S01301_19Jianzhuposun05Ani	2	103		0	1	2	1	2	1	3	1	1	1
104	S01301_19Jianzhuposun05Ani	2	103		0	0	2	1	2	1	3	1	1	1
105		2	105		0	0	2	1	1	1	3	1	1	1
108		2	108		0	0	2	1	1	0	3	1	1	1
109		2	1015010901		0	0	2	1	4	1	3	1	1	1
110		2	1015010902		0	0	2	1	4	1	3	1	1	1
111		2	1015011601		0	0	3	1	4	1	3	1	1	1
112		2	1015011602		0	0	3	1	4	1	3	1	1	1
113		2	1015011603		0	0	3	1	4	1	3	1	1	1
114		2	1015011604		0	0	3	1	4	1	3	1	1	1
115	Mt1PaokuzhangaiMd000001	2	1704000101		0	0	3	1	7	1	3	7	2	1
116	Mt1MotuoqichezhangaiyiMd010001	2	1704000102		0	5	3	1	7	1	3	7	2	1
117	Mt1ChengshiLuzhangMd000001	2	1704000103		0	0	3	1	7	1	3	7	2	1
118	Mb1CubedizuoMd000001	2	1704000104		0	0	3	1	7	1	3	7	2	1
119	Mt1XuediLuzhangMd000002	2	1704000105		0	0	3	1	7	1	3	7	2	1
120	Mt1XuediLuzhangMd000004	2	1704000106		0	0	3	1	7	1	3	7	2	1
121	Mt1XuediLuzhangMd000001	2	1704000107		0	0	3	1	7	1	3	7	2	1
122	Mt1GongcangLuzhangMd000001	2	1704000108		0	0	3	1	7	1	3	7	2	1
123	Mt1GongcangLuzhangMd000002	2	1704000109		0	0	3	1	7	1	3	7	2	1
124	Mt1MotuoqichezhangaiyiMd010001	2	1704000102		0	0	3	1	7	1	3	7	2	1
125		2	125		0	0	3	1	7	1	3	7	2	1
126		2	126		0	0	2	1	1	1	3	1	1	1
99110		2	99110		0	0	3	1	7	1	3	7	2	1
99111		2	99111		0	0	3	1	7	1	3	7	2	1
99112		2	99112		0	0	3	1	7	1	3	7	2	1
99113		2	99113		0	0	3	1	7	1	3	7	2	1
99114		2	99112		0	0	3	1	7	1	3	7	2	1
99115		2	99113		0	0	3	1	7	1	3	7	2	1
99116		2	99116		0	0	3	1	7	1	3	7	2	1
99117		2	99117		0	0	3	1	7	1	3	7	2	1
99118		2	99118		0	0	3	1	7	1	3	7	2	1
99119		2	99119		0	0	3	1	7	1	3	7	2	1
99121		2	99121		0	0	3	1	7	1	3	7	2	1
99122		2	99122		0	0	3	1	7	1	3	7	2	1
99123		2	99123		0	0	3	1	7	1	3	7	2	1
96300		2	96300		0	0	3	1	7	1	3	7	2	1
930801		2	930801		0	0	2	1	1	1	3	7	2	1
96301		2	96301		0	0	3	1	7	1	3	7	2	1
96302		2	96302		0	0	3	1	7	1	3	7	2	1
96304		2	96304		0	0	3	1	7	1	3	7	2	1
96305		2	96305		0	0	3	1	7	1	3	7	2	1
96306		2	96306		0	0	3	1	7	1	3	7	2	1
96307		2	96307		0	0	3	1	7	1	3	7	2	1
96308		2	96308		0	0	3	1	7	1	3	7	2	1
96309		2	96309		0	0	3	1	7	1	3	7	2	1
96310		2	96310		0	0	3	1	7	1	3	7	2	1
96311		2	96311		0	0	3	1	7	1	3	7	2	1
1019010201	S02502_Fumu	2	1019010201		0	0	3	1	7	0	3	1	1	1
1019010202		2	1019010202		0	0	3	1	7	0	3	1	1	1
1019010203		2	1019010203		0	0	3	1	7	0	3	1	1	1
1019010204		2	1019010204		0	0	3	1	7	0	3	1	1	1
1019011301		2	1019011301		0	0	2	1	6	0	3	6	1	1
1019011302		2	1019011302		0	0	2	1	6	0	3	6	1	1
1019011303		2	1019011303		0	0	2	1	6	0	3	6	1	1
1019011304		2	1019011304		0	0	2	1	6	0	3	6	1	1
1019011305		2	1019011305		0	0	2	1	6	0	3	6	1	1
1019011306		2	1019011306		0	0	2	1	6	0	3	6	1	1
301311220	S07000azhuzi1	2	301311220		0	0	3	1	7	0	3	1	1	1
301311221		2	301311221		0	0	3	1	7	0	3	1	1	1
301311222		2	301311222		0	0	3	1	7	0	3	1	1	1
301311223		2	301311223		0	0	3	1	7	0	3	1	1	1
301311224	S07000azhuzi2	2	301311224		0	0	3	1	7	0	3	1	1	1
301311225		2	301311225		0	0	3	1	7	0	3	1	1	1
301311226		2	301311226		0	0	3	1	7	0	3	1	1	1
301311227		2	301311227		0	0	3	1	7	0	3	1	1	1
301311228		2	301311228		0	0	3	1	7	0	3	1	1	1
300615600		2	99919801		0	0	3	1	7	0	3	1	1	1
300615601	SummerWater001	2	300615601		0	0	2	1	7	0	3	1	1	1
300615602	ForestFlowerpot001	2	300615601		0	0	2	1	7	0	3	1	1	1
