Id	Name	SkillType	CastTime	AfterTime	Animation	StandStage	CastMagicIds	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime	SkillPriority	Snapshot	SkillAnimationPriority	CoexistSkills
111301	普攻1	1	0.55	1.783	Attack01					10	2		3	0	0					
111302	普攻2	1	0.8	1.6	Attack02					10	2		3	0	0					
111303	普攻3	1	0.7	2.233	Attack03					10	2		3	0	0					
111304	普攻4	1	0.95	2.017	Attack04					10	2		3	0	0					
111305	普攻5	1	0.9	2.1	Attack05					10	2		3	0	0					
111306	普攻6	1	0.7	2.8	Attack06					10	2		3	0	0					
111307	红球1消	11	1.2	2.233	Attack11		111344			10	2		3	0	0					
111308	红球2消	12	1.2	2.233	Attack11		111344			10	2		3	0	0					
111309	红球3消	13	1.2	2.233	Attack11		111341	111349		10	2		3	0	0					
111310	蓝球1消	21	0.6	2.6	Attack21		111344			10	2		3	0	0					
111311	蓝球2消	22	0.6	2.6	Attack21		111344			10	2		3	0	0					
111312	蓝球3消	23	0.6	2.6	Attack21		111342	111349		10	2		3	0	0					
111313	黄球1消	31	1.3	1.767	Attack31		111344	111379		10	2		3	0	0					
111314	黄球2消	32	1.3	1.767	Attack31		111344	111379		10	2		3	0	0					
111315	黄球3消	33	1.3	1.767	Attack31		111343	111349|111379		10	2		3	0	0					
111316	红球派生	1	0.55	3.217	Attack12		111344	111379		10	6		3	0	4					
111317	蓝球派生	1	0.7	2.033	Attack22		111344			10	2		3	0	0					
111318	前闪	5	0.4	1.633	Move1		100090	100094		10	2		3	0	0	0.5				
111319	后闪	6	0.5	1.167	Move2		100090	100094		10	2		3	0	0	0.5				
111320	闪避普攻	1	0.7	2.233	Attack03					10	2		3	0	0					
111321	普攻1（突进版）	1	0.55	1.783	Attack01					10	2		3	0	0					
111322	雷枪（大招派生）	42	1.6	2.433	Attack42		111345|111351	111346|111379|119331|119336|119338|119341|119344|119347|119349		10	2		3	0	0					
111323	黄球派生	1	0.55	1.85	Attack32		111344			10	2		3	0	0					
111324	QTE	7	2.7	0	AttackQte		111370	111371|111369		10	2		3	0	0					
111325	雷枪	42	1.4	2.433	Attack41		111345|111351	111346|111379|119331|119336|119341|119344|119347|119349		10	2		3	0	0					
111326	大招	2	4	2.6	Attack51		100091|111345|111377	100092|111346|111379|111394|119344|119347		10	2		3	0	0					
111327	出场技	3	1.2	2.233	Attack11		111341	111349		10	2		3	0	0					
111328	出生动作	4	0	3.933	Born		111367	111366		10	2		3	0	0					
111329	胜利1	8	999	0	Win		111366			10	2		3	0	0					
111330	胜利2	8	999	0	Win2					10	2		3	0	0					
111331	踢怪1（关卡用）	9	2.6	1.3	Attack71					10	2		3	0	0					
111332	踢怪2（关卡用）	9	0.9	1.933	Attack72		100090	100094		10	2		3	0	0					
111333	交互动作	9	0	100	Save					10	2		3	0	0					
111334	雷枪（入场用）	42	1.4	2.433	Attack41		111345|111351	111346|111379|119331|119336|119341|119344|119347|119349		10	2		3	0	0					
111335	蓝球派生（突进版）	1	0.7	2.033	Attack22		111344			10	2		3	0	0					
119301	QTE（SS-退场用）	7	2.7	0						0	2		3	0	0					
119302	QTE（SS-国庆武器退场用）	7	2.7	0						0	2		3	0	0					
119303	QTE（SS-夏活武器退场用）	7	2.7	0						0	2		3	0	0					
