Id	Name	SkillType	CastTime	AfterTime	Animation	StandStage	CastMagicIds	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime	SkillPriority	Snapshot	SkillAnimationPriority	CoexistSkills
900101	机枪扫射		5.4	0	Attack11					99	2				0					
900102	弹射		5.5	0	Attack21					99	2				0					
900103	光束炮击		6.4	0	Attack31					99	2				0					
900104	跺脚		3.7	0	Attack41					99	2				0					
900301	扳手机械挥劈		1.4	0.6	Attack01					10	2				0					
900302	扳手机械二连击		1.8	0.7	Attack02					10	2				0					
900303	扳手机械潜行半径		0.1	0	Attack02					10	2				0					
900304	扳手机械重击		2	1	Attack03					10	2				4					
900305	扳手机械站立		2	0	stand1					10	0				0					
900306	瘫痪		999	0	Lieonfloor					10	0				0					
900307	扳手机械挥劈		2	0	Attack01					10	2				0					
900308	扳手机械二连击		1.8	0.7	Attack02			301103		10	2				0					
900901	干扰机械射击		2	0	Attack01					10	2				4					
900902	干扰机械对地轰炸		1.9	0	Attack02					10	2				0					
900903	干扰机械射击		2	0	Attack01					10	2				4					
900904	干扰机械对地轰炸		1.9	0	Attack02					10	2				0					
901001	侦查机撞击		1.87	0	Attack01					10	4				0					
901002	侦查机声波		1.83	0	Attack02					10	2				0					
901101	重构射击手燃烧弹		1.8	0	Attack01			700033		10	2				4					
901102	重构射击手连续射击		2.8	0	Attack02					10	2				4					
901103	重构射击手单发射击		1.8	0	Attack01			700033		10	2				4					
901201	半身爬行者横扫		2	0	Attack01					10	2				0					
901202	半身爬行者砸击		2.7	0	Attack02			700031		10	2				0					
901203	半身爬行者戳刺		1.7	0	Attack03					10	2				0					
901301	野猪骑士戳刺		2.2	0	Attack01			700031		10	2				0					
901302	野猪骑士冲锋撞击		3	0	Attack02			700031		10	1		2		0					
901303	野猪骑士跑动挥扫		3.4	0	Attack03			700031		10	1				0					
901304	野猪骑士后撤		1	0	Attack04					10	1				0					
901305	野猪骑士戳刺		2.2	0	Attack01			700031		10	2				0					
901306	野猪骑士冲锋撞击		3	0	Attack02			700031		10	1		2		0					
901307	野猪骑士跑动挥扫		3.4	0	Attack03			700031		10	1				0					
901401	自走雷虫自爆		3	0	Attack01					10	2				0					
901402	自走雷虫的技能1		3	0	Attack01					10	2				0					
901501	追踪者戳刺		1.7	0	Attack01					10	2				0					
901502	追踪者挠爪		1.9	0	Attack02					10	2				0					
901503	追踪者后跳		1	0	Attack03					10	1				1					
901504	追踪者跳砸		1.4	0	Attack04			730045		10	2		0.5		0					
901505	追踪者跳砸		1.4	0	Attack04					10	0				0					
901506	追踪者表演长距离跳（主线）		1.4	0	Attack04					10	2		0.5		1					
901507	追踪者戳刺		1.7	0	Attack01					10	2				0					
901508	追踪者挠爪		1.9	0	Attack02					10	2				0					
901601	重构保安射击		2.4	0	Attack01					10	2				4					
901602	重构保安旋转		4	0	Attack02					10	1				0					
901701	重构演出者落雷		3.9	0	Attack01					10	0				1					
901702	重构演出者雷阵		2.467	0	Attack02			700035		10	2				0					
901703	重构演出者慢速电球		2.2	0	Attack03					10	2				4					
901704	重构演出者挥劈		2.2	0	Attack04					10	2				4					
