Id	Name	SkillType	CastTime	AfterTime	Animation	StandStage	CastMagicIds	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime	SkillPriority	Snapshot	SkillAnimationPriority	CoexistSkills
991401	1技能消球		0	0	Stand2					10	2				0					
991402	2技能消球		0	0	Stand2					10	2				0					
991403	3技能消球		0	0	Stand2					10	2				0					
903801	打刀横挥		2.2	0	Attack21					10	4				4					
903802	射击		1.833	0	Attack11					10	6				4					
903803	起身		1.03	0	Standup					10	2				0					
903804	躺地		9999	0	Lieonfloor					10	2				0					
903805	被击倒		1.03	0	Hitdown					10	2				0					
903806	侧面躺地		9999	0	Attack04					10	2				0					
903807	进入瘫倒		1.267	0	Attack01					10	2				0					
903808	瘫倒		9999	0	Attack02					10	2				0					
903809	瘫倒起身		0.933	0	Attack03					10	2				0					
903810	华丽射击		5.033	0	Attack12					10	6				4					
903811	三连击		3.567	0	Attack22					10	1				4					
903812	蓄力射击		3.267	0	Attack13					10	6				4					
903813	空斩		2.9	0	Attack23					10	1				4					
903814	发射矛标		999	0	Attack14					10	2				0					
903815	矛标连接		999	0	Attack15					10	2				0					
903816	华丽射击（友方版）		5.033	0	Attack12					10	6				4					
903817	三连击（友方版）		3.567	0	Attack22					10	1				4					
903818	蓄力射击（友方版）		3.167	0	Attack13					10	6				4					
903819	空斩（友方版）		2.8	0	Attack23					10	1				4					
903820	打刀横挥（友方版）		2	0	Attack21					10	4				4					
903821	射击（友方版）		1.633	0	Attack11					10	6				4					
903822	疾跑		999	0	Attack31					10	6				4					
903823	二连爪击		3.367	0	Attack32					10	6				4					
903824	攀爬跳跃		3.9	0	Attack33					10	6				4					
903825	拍门		999	0	Attack34					10	6				4					
903826	丧尸状态待机		999	0	Attack35					10	6				4					
903827	坐在地上		99999	0	Attack36					10	2				0					
903828	卧倒1		99999	0	Attack90					10	2				0					
903829	卧倒2		99999	0	Attack91					10	2				0					
954701	打刀横挥		2.2	0	Attack21					10	4				4					
954702	射击		1.833	0	Attack11					10	6				4					
991301	第一次QTE成功闪开		8	0	Attack86					10	2				0					
991302	第一次QTE失败被击中		10	0	Attack82					10	2				0					
991303	出场动作		11	0	Attack90					10	2				0					
991304	第二次QTE失败闪开		8	0	Attack84					10	2				0					
991305	第一次QTE判定开始		9999	0	Attack80					10	2				0					
991306	第二次QTE判定开始		9999	0	Attack83					10	2				0					
991307	第一次Dive被击退		999	0	Falldown					10	2				0					
991308	表演用丢盾		3.1	0	Attack21					10	2				0					
991309	表演用突刺		2.25	0	Attack31					10	2				0					
991310	表演用后撤		1.15	0	Move2					10	2				0					
991311	表演用架炮		2	0	Attack40					10	2				0					
991312	表演用架炮（持续）		9999	0	Attack42					10	2				0					
991313	表演用开炮		2.12	0	Attack45					10	2				0					
991314	表演用连击第二段		1.5	0	Attack03					10	2				0					
991315	表演用飞天		7	0	Attack51					10	2				0					
991316	表演用连击第三段		1.5	0	Attack04					10	2				0					
991317	表演用连击第一段		1	0	Attack02					10	2				0					
991318	表演用跪地		999	0	Death					10	2				0					
991319	第二次QTE成功挡开		20	0	Attack85					10	2				0					
