Id	Key[1]	Key[2]	Key[3]	Key[4]	Key[5]	Key[6]	Key[7]	Key[8]	Key[9]	Key[10]	Key[11]	Key[12]	Key[13]	Key[14]	Key[15]	Key[16]	Key[17]	Key[18]	Key[19]	Key[20]	Key[21]	Key[22]	Key[23]	Key[24]	Key[25]	Key[26]	Key[27]	Key[28]	Key[29]	Key[30]	Key[31]	Key[32]	Key[33]	Key[34]	Key[35]	Key[36]	Key[37]	Key[38]	Key[39]	Key[40]	Key[41]	Key[42]	Key[43]	Key[44]	Key[45]	Key[46]	Key[47]	Key[48]	Key[49]	Key[50]	Key[51]	Key[52]	Key[53]	Key[54]	Key[55]	Key[56]	Key[57]	Key[58]	Key[59]	Key[60]	Key[61]	Key[62]	Key[63]	Key[64]	Key[65]	Key[66]	Key[67]	Key[68]	Key[69]	Key[70]	Key[71]	Key[72]	Key[73]	Key[74]	Key[75]	Key[76]	Key[77]	Key[78]	Key[79]	Key[80]	Key[81]	Key[82]
103201	4|Cast|10320101	0|Effect|FxR4LuxiyaAttack01A||1|																																																																																
103202	3|Cast|10320201	3|Cast|10320202	0|Effect|FxR4LuxiyaAttack02A||1|																																																																															
103203	8|Cast|10320301	0|Magic|103261|0	12|Magic|103262|1	8|Shake|3|0.5|-1.5|15|0.25|0	8|Cast|10320305	8|Cast|10320306	0|Effect|FxR4LuxiyaAttack03AXuli||1|																																																																											
103204	3|Cast|10320401	8|Cast|10320402	11|Cast|10320403	15|Cast|10320404	16|Cast|10320405	0|Effect|FxR4LuxiyaAttack04A||1|																																																																												
103205	2|Cast|10320501	7|Cast|10320502	0|Magic|103261|1	13|Magic|103262|1	7|Cast|10320505	0|Effect|FxR4LuxiyaAttack05A||1|																																																																												
103206	4|Cast|10320601	9|Cast|10320602	12|Cast|10320603	16|Cast|10320604	16|Shake|2|0.5|-0.75|15|0.3|3	16|Magic|103261|1	19|Magic|103262|1	16|Cast|10320608	0|Effect|FxR4LuxiyaAttack11A||1|																																																																									
103207	4|Cast|10320701	9|Cast|10320702	12|Cast|10320703	16|Cast|10320704	16|Shake|2|0.5|-0.75|15|0.3|3	16|Magic|103261|1	19|Magic|103262|1	18|Cast|10320708	0|Effect|FxR4LuxiyaAttack11A||1|																																																																									
103208	4|Cast|10320801	9|Cast|10320802	12|Cast|10320803	16|Cast|10320804	16|Shake|2|0.5|-0.75|15|0.3|3	16|Magic|103261|1	19|Magic|103262|1	0|Effect|FxR4LuxiyaAttack11MeshA||1|	18|Cast|10320809	0|Effect|FxR4LuxiyaAttack11A||1|	1|Cast|10320811	5|Cast|10320812	9|Cast|10320813	13|Cast|10320814																																																																				
103209	3|Cast|10320901	14|Cast|10320902	3|Shake|4|0.2|0.6|15|0.35|0	14|Shake|3|0.45|-1|15|0.3|1	14|Cast|10320905	0|Effect|FxR4LuxiyaAttack21A||1|	3|Cast|10320907	14|Cast|10320908	10|Magic|103261|1	15|Magic|103262|1																																																																								
103210	3|Cast|10321001	14|Cast|10321002	3|Shake|4|0.2|0.6|15|0.35|0	14|Shake|3|0.45|-1|15|0.3|1	14|Cast|10321005	0|Effect|FxR4LuxiyaAttack21A||1|	3|Cast|10321007	14|Cast|10321008	10|Magic|103261|1	15|Magic|103262|1																																																																								
