Id	Key[1]	Key[2]	Key[3]	Key[4]	Key[5]	Key[6]	Key[7]	Key[8]	Key[9]	Key[10]	Key[11]	Key[12]	Key[13]	Key[14]	Key[15]	Key[16]	Key[17]	Key[18]	Key[19]	Key[20]	Key[21]	Key[22]	Key[23]	Key[24]	Key[25]	Key[26]	Key[27]	Key[28]	Key[29]	Key[30]	Key[31]	Key[32]	Key[33]	Key[34]	Key[35]	Key[36]	Key[37]	Key[38]	Key[39]	Key[40]	Key[41]	Key[42]	Key[43]	Key[44]	Key[45]	Key[46]	Key[47]	Key[48]	Key[49]	Key[50]	Key[51]	Key[52]	Key[53]	Key[54]	Key[55]	Key[56]	Key[57]	Key[58]	Key[59]	Key[60]	Key[61]	Key[62]	Key[63]	Key[64]	Key[65]	Key[66]	Key[67]	Key[68]	Key[69]	Key[70]	Key[71]	Key[72]	Key[73]	Key[74]	Key[75]	Key[76]	Key[77]	Key[78]	Key[79]	Key[80]	Key[81]	Key[82]
873601	0|Cast|87360101	0|Effect|FxMb1CubeMd050001Attack01Bone027|Bone027|1|	17|Magic|873601|1																																																																															
873602	0|Cast|87360201	0|Effect|FxMb1CubeMd050001Attack02Bone027|Bone027|1|	17|Magic|873602|1																																																																															
873603	0|Cast|87360301	0|Effect|FxMb1CubeMd050001Attack03Bone027|Bone027|1|	19|Magic|873603|1																																																																															
873604	0|Effect|FxMb1CubeMd050001Attack04|||	0|Effect|FxMb1CubeMd050001Attack04Bone027|Bone027||	16|Cast|87360406																																																																															
873605	0|Magic|873605|1	17|Magic|873604|1	22|Magic|873604|1	37|Magic|873604|1	0|Effect|FxMb1CubeMd050001Attack05|||	0|Effect|FxMb1CubeMd050001Attack05Bone027|Bone027||																																																																												
873606	15|Cast|87360601|87360602	0|Effect|FxMb1CubeMd050001Attack06|||	0|Effect|FxMb1CubeMd050001Attack06Bone027|Bone027||	13|Cast|87360606|87360607|87360608|87360609	13|Cast|87360610|87360611|87360612|87360613	13|Cast|87360614|87360615|87360616|87360617	13|Cast|87360618|87360619|87360620|87360621																																																																											
873607	16|Cast|87360702	78|Cast|87360703	104|Cast|87360704	0|Effect|FxMb1CubeMd050001Attack07||1|	0|Effect|FxMb1CubeMd050001Attack07tx2|tx2|1|	78|Cast|87360707	0|Effect|FxMb1CubeMd050001Attack07Dimian||1|																																																																											
873608	0|Effect|FxMb1CubeMd050001Attack08||1|	19|Magic|873626|1	0|Effect|FxMb1CubeMd050001Attack08tx2|tx2|1|	61|Cast|87360810	0|Effect|FxMb1CubeMd050001Attack08Dilie||1|																																																																													
873609	12|Turn|90|0.8|1	28|Turn|180|0.5|1																																																																																
873610	13|Turn|90|0.35|1	20|Turn|180|0.5|1																																																																																
873611	0|Effect|FxMb1CubeMd050001Attack08||1|	19|Magic|873627|1	0|Effect|FxMb1CubeMd050001Attack08tx2|tx2|1|	61|Cast|87361110	0|Effect|FxMb1CubeMd050001Attack11Dilie||1|																																																																													
873612	0|Magic|873630|1	0|Effect|FxMb1CubeMd050001Born|||																																																																																
873613	43|Magic|900013|1	0|Cast|87361302	30|Magic|873638|1	30|Cast|87361304																																																																														
873614	0|Effect|FxMb1CubeMd050001Attack04|||	0|Effect|FxMb1CubeMd050001Attack04Bone027|Bone027||	16|Cast|87361406	14|Cast|87361409																																																																														
873615	0|Effect|FxMb1CubeMd050001Attack04|||	0|Effect|FxMb1CubeMd050001Attack04Bone027|Bone027||	16|Cast|87361506	14|Cast|87361509																																																																														
873901																																																																																		
873902	0|Turn|50|3|																																																																																	
873903	0|Turn|20|3|																																																																																	
873904	0|Cast|87390401|87390402|87390403	0|Turn|30|3|																																																																																
873905	0|Cast|87390501|87390502|87390503|87390504	0|Cast|87390505|87390506|87390507	0|Turn|40|3|																																																																															
873906	0|Turn|360|8|																																																																																	
873907	0|Turn|-360|8|																																																																																	
873908																																																																																		
873909																																																																																		
874001	0|Turn|50|3|																																																																																	
874002	0|Turn|75|3|																																																																																	
874003	0|Turn|100|3|																																																																																	
874101	0|Magic|874102|1																																																																																	
874102	0|Cast|87410201																																																																																	
874103	0|Cast|87410301|87410302|87410303|87410304	0|Cast|87410305|87410306|87410307|87410308																																																																																
874104	0|Cast|87410401																																																																																	
874105	0|Cast|87410501	0|Magic|873639|1	0|Magic|873640|1	0|Magic|873641|1	52|Magic|873642|1																																																																													
874106	0|Cast|87410601	10|Cast|87410602	0|Cast|87410603	10|Cast|87410604	0|Cast|87410605	10|Cast|87410606	0|Cast|87410607	10|Cast|87410608	17|Cast|87410609	27|Cast|87410610	17|Cast|87410611	27|Cast|87410612	17|Cast|87410613	27|Cast|87410614	17|Cast|87410615	27|Cast|87410616	17|Cast|87410617	27|Cast|87410618	17|Cast|87410619	27|Cast|87410620	17|Cast|87410621	27|Cast|87410622	17|Cast|87410623	27|Cast|87410624	0|Turn|360|1|1																																																									
874107	0|Cast|87410701	5|Magic|873639|1	5|Magic|873640|1	5|Magic|873641|1																																																																														
874108	0|Cast|87410801	0|Magic|873639|1	0|Magic|873640|1	0|Magic|873641|1	41|Magic|873642|1																																																																													
874109	0|Cast|87410901|87410902|87410903|87410904	0|Cast|87410905|87410906|87410907|87410908	17|Cast|87410909|87410910|87410911|87410912	17|Cast|87410913|87410914|87410915|87410916	17|Cast|87410917|87410918|87410919|87410920	17|Cast|87410921|87410922|87410923|87410924	190|Cast|87410925|87410926|87410927|87410928	190|Cast|87410929|87410930|87410931|87410932	17|Turn|-30|8.65|																																																																									
874110	7|Cast|87411001	7|Magic|873639|1	7|Magic|873640|1	7|Magic|873641|1																																																																														
874111	0|Cast|87411101	0|Magic|873639|1	0|Magic|873640|1	0|Magic|873641|1	57|Magic|873642|1																																																																													
874112	0|Cast|87411201	103|Cast|87411202	0|Turn|60|6|	17|Cast|87411205|87411206|87411207|87411208																																																																														
874113	0|Cast|87411301	23|Magic|873639|1	23|Magic|873640|1	23|Magic|873641|1																																																																														
874114	0|Magic|873639|1	0|Magic|873640|1	0|Magic|873641|1	57|Magic|873642|1																																																																														
874115																																																																																		
874116	23|Magic|873639|1	23|Magic|873640|1	23|Magic|873641|1																																																																															
874117	0|Cast|87411701	3|Cast|87411702	6|Cast|87411703	9|Cast|87411704	12|Cast|87411705	15|Cast|87411706	18|Cast|87411707	21|Cast|87411708	17|Cast|87411709	20|Cast|87411710	23|Cast|87411711	26|Cast|87411712	29|Cast|87411713	32|Cast|87411714	35|Cast|87411715	38|Cast|87411716	17|Cast|87411717	20|Cast|87411718	23|Cast|87411719	26|Cast|87411720	29|Cast|87411721	32|Cast|87411722	35|Cast|87411723	38|Cast|87411724	0|Turn|720|0.5|1																																																									
